d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.8967,2000.33,-2.3119,-5.8927,2000.33,-2.4151
-5.9374,2000.25,-2.6822,-5.926,2000.25,-2.4464
-5.8006,2000.17,-2.1756,-5.6708,2000.17,-2.1418
-5.8777,2000.08,-2.3963,-5.82,2000.08,-2.367
-5.9022,2000,-2.5315,-5.8061,2000,-2.3573
-6.0031,1999.92,-2.7,-5.768,1999.92,-2.3088
-6.0535,1999.83,-2.4791,-5.7704,1999.83,-2.4273
-5.9747,1999.75,-2.228,-5.7873,1999.75,-2.7594
-6.0981,1999.67,-2.4399,-5.8639,1999.67,-2.7232
-6.0085,1999.58,-2.5516,-5.8697,1999.58,-2.3134
-5.9393,1999.5,-2.38,-5.7888,1999.5,-2.0103
-5.9357,1999.42,-2.8326,-5.8628,1999.42,-2.1305
-5.8277,1999.33,-2.5948,-5.8951,1999.33,-2.318
-5.872,1999.25,-2.4439,-5.836,1999.25,-2.3581
-5.6851,1999.17,-2.0506,-5.8106,1999.17,-2.2403
-5.7934,1999.08,-2.639,-5.622,1999.08,-1.7811
-5.8559,1999,-2.9214,-5.2385,1999,-1.8142
-5.7496,1998.92,-2.3596,-5.5249,1998.92,-3.0651
-5.6041,1998.83,-3.208,-5.6864,1998.83,-2.4607
-5.8107,1998.75,-2.7133,-5.7247,1998.75,-2.2917
-5.8115,1998.67,-2.2359,-5.6823,1998.67,-2.6507
-5.7591,1998.58,-2.2361,-5.5512,1998.58,-2.3667
-5.7977,1998.5,-2.8764,-5.3998,1998.5,-2.1016
-5.6652,1998.42,-2.6199,-5.3001,1998.42,-1.9795
-5.542,1998.33,-2.4745,-5.43,1998.33,-2.2954
-5.4154,1998.25,-2.3419,-5.3408,1998.25,-2.4573
-5.3178,1998.17,-2.272,-5.2581,1998.17,-2.1923
-5.4273,1998.08,-2.2787,-5.5629,1998.08,-2.4001
-5.5263,1998,-2.4641,-5.599,1998,-2.5053
-5.5591,1997.92,-2.569,-5.6945,1997.92,-2.4943
-5.6511,1997.83,-2.6538,-5.6272,1997.83,-2.2645
-5.6623,1997.75,-2.6443,-5.6184,1997.75,-2.2277
-5.7211,1997.67,-2.2336,-5.6545,1997.67,-2.3259
-5.8568,1997.58,-2.502,-5.6359,1997.58,-2.4759
-5.6457,1997.5,-2.2859,-5.7285,1997.5,-2.5894
-5.6631,1997.42,-2.4383,-5.7026,1997.42,-1.9661
-5.7804,1997.33,-2.5624,-5.6565,1997.33,-2.1069
-5.8362,1997.25,-2.7251,-5.6017,1997.25,-1.8492
-5.6333,1997.17,-2.3444,-5.5447,1997.17,-2.638
-5.7396,1997.08,-2.0926,-5.6754,1997.08,-2.4037
