dD (permil),year (AD)
-206.967040265948,1987
-215.459100283116,1986
-205.613680019348,1985
-210.401612775906,1984
-198.018731854135,1983
-222.551473392348,1982
-215.076349791637,1981
-216.694651693932,1980
-218.51478503272,1979
-207.421287623422,1978
-223.25159866973,1977
-234.989123420364,1976
-221.46265710081,1975
-219.49868608232,1974
-232.712555746478,1973
-223.011360184136,1972
-220.500036187855,1971
-228.457980314689,1970
-219.791311249735,1969
-212.652415465309,1968
-200.559213161981,1967
-211.27937580985,1966
-224.821179605417,1965
-222.095197693468,1964
-222.317441690816,1963
-217.398600817705,1962
-215.761925523302,1961
-223.386146454074,1960
-223.169082073341,1959
-229.425119754274,1958
-224.564918670857,1957
-217.63617953706,1956
-212.282406065191,1955
-218.32313320408,1954
-226.657955187913,1953
-222.564692546252,1952
-214.581204676698,1951
-213.584959610298,1950
-210.971061842474,1949
-223.875506847144,1948
-206.603880683577,1947
-227.444983679895,1946
-217.900562410914,1945
-220.377475691008,1944
-215.952902849635,1943
-220.583065402506,1942
-219.974664454432,1941
-218.188339817696,1940
-221.165808128173,1939
-224.124126697601,1938
-241.468687153536,1937
-244.834244907837,1936
-230.089991889354,1935
-230.400999228637,1934
-226.626199528871,1933
-228.612382014993,1932
-225.484011511216,1931
-212.766932181647,1930
-219.09187529425,1929
-231.455029749704,1928
-215.61003155445,1927
-221.939778485105,1926
-220.560882647868,1925
-222.331739230255,1924
-206.19735053517,1923
-221.086663903696,1922
-218.72839923835,1921
-215.797551732245,1920
-237.225178150122,1919
-240.149546492096,1918
-242.993035724005,1917
-226.283224109429,1916
-220.52601933286,1915
-232.525972984244,1914
-218.817120452654,1913
-220.840103686299,1912
-222.717649931307,1911
-235.38350056259,1910
-242.198218737133,1909
-221.509425263656,1908
-229.742726641435,1907
-233.614560099977,1906
-229.868930245305,1905
-224.732416272037,1904
-225.265921493526,1903
-229.234533654519,1902
-221.612631825102,1901
-223.97135724895,1900
-226.980045883763,1899
-245.637227393012,1898
-229.923921664557,1897
-223.168953707535,1896
-207.392343468403,1895
-220.137621207821,1894
NA,1893
-225.502124006065,1892
-240.055650774882,1891
-235.89186870083,1890
-216.372474146465,1889
-220.654498544773,1888
-226.443670636766,1887
-223.503324807841,1886
-225.782502958898,1885
-222.602942603322,1884
-230.48912874975,1883
-223.47882650957,1882
-235.599527865988,1881
-224.990344726367,1880
-205.466374364762,1879
-216.463173914619,1878
-214.034121848841,1877
-234.37615838409,1876
-235.379540768303,1875
-221.34469665292,1874
-227.347330964744,1873
-220.782075945546,1872
-205.369962470656,1871
-213.964115515988,1870
-216.808285057516,1869
-210.569312777402,1868
-219.9030543561,1867
-228.374230419296,1866
-220.15179437371,1865
-217.314692103454,1864
-215.137904014517,1863
-186.992931735369,1862
-202.506676832743,1861
-209.613923572943,1860
-210.209973427274,1859
-223.396544913324,1858
-211.817570267729,1857
-211.479941932167,1856
-214.812045008384,1855
-223.713094374957,1854
-217.788055150797,1853
-224.753139771881,1852
-228.653647980391,1851
-226.533301387803,1850
-229.483133102316,1849
-230.216193654571,1848
-226.487930491623,1847
-213.440890374136,1846
-221.033854299227,1845
-219.584870130763,1844
-219.74565954973,1843
-244.01987182420999,1842
-244.271547462995,1841
-237.930024109472,1840
-230.124258483177,1839
-210.614982707208,1838
-215.565786324053,1837
-219.591596282518,1836
-219.752658795952,1835
-222.739429040817,1834
-221.584176910857,1833
-216.52894042664,1832
-212.248719566179,1831
-218.540285958367,1830
-221.688324628833,1829
-219.732569112877,1828
-220.002410528583,1827
-205.102500017005,1826
-224.168597598034,1825
-218.76720029824,1824
-222.066121623456,1823
-236.419010433341,1822
-228.647365466969,1821
-204.004921166776,1820
-203.975528550861,1819
-216.383191314564,1818
-227.984650355233,1817
-237.997266712045,1816
-225.800626215488,1815
-219.619188844154,1814
-226.192341008222,1813
-226.774391771976,1812
-225.017115144851,1811
-223.565478261799,1810
-228.344291313879,1809
-228.823119497616,1808
-225.710658444363,1807
-237.684363525737,1806
-228.950196480755,1805
-231.939169718851,1804
-229.261719128149,1803
-215.615046495743,1802
-222.132075917153,1801
-222.658403670559,1800
-212.775056731215,1799
-215.236245581857,1798
-221.663686054872,1797
-232.900665222279,1796
-217.270992587618,1795
-227.812763368761,1794
-232.578358497911,1793
-225.939206526361,1792
-222.879279559457,1791
-233.188183675411,1790
-227.34082998763,1789
-228.885206848856,1788
-232.664567804774,1787
-226.161183407824,1786
-223.175079366837,1785
-221.771884707274,1784
-221.271336251504,1783
-222.97606555878,1782
-234.757125241029,1781
-237.011883699697,1780
-230.54823565206,1779
-223.471251681933,1778
-220.016789988168,1777
-227.731180534082,1776
-221.959432194243,1775
-237.948165387544,1774
-228.869961572581,1773
-234.392578665478,1772
-223.701718354013,1771
-227.036513440344,1770
-231.076451084817,1769
-230.975377422178,1768
-225.446112946188,1767
-216.227119176291,1766
-219.300447375562,1765
-220.870885480915,1764
-219.022896575478,1763
-223.109095533962,1762
-235.005266655922,1761
-229.381446063888,1760
-217.905809015807,1759
-220.654749260876,1758
-227.124330470491,1757
