d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1]
-3.957,1940,-4.04,1922.09
-3.94,1940.09,-3.85,1922.17
-3.803,1940.17,-3.9,1922.25
-3.794,1940.35,-3.93,1922.42
-4.054,1940.44,-3.83,1922.58
-3.979,1940.53,-4.08,1922.67
-4.055,1940.63,-4.06,1922.75
-4.003,1940.72,-4.11,1922.84
-3.946,1940.81,-4.03,1922.92
-4.116,1940.9,-4.09,1923
-3.895,1940.99,-3.79,1923.17
-3.68,1941.17,-3.8,1923.33
-3.852,1941.27,-3.78,1923.42
-4.005,1941.47,-3.97,1923.5
-3.916,1941.57,-4.06,1923.58
-3.986,1941.67,-4.06,1923.67
-4.03,1941.77,-3.92,1923.75
-4.261,1941.88,-4.06,1923.84
-4.201,1941.97,-4.03,1923.92
-4.055,1942.08,-4.09,1924
-3.966,1942.17,-3.93,1924.09
-3.924,1942.25,-3.78,1924.17
-3.907,1942.33,-3.88,1924.28
-4.16,1942.42,-3.84,1924.39
-4.088,1942.5,-4.03,1924.5
-3.905,1942.59,-4.07,1924.61
-4.013,1944.75,-4.2,1924.72
-4.029,1944.84,-4.19,1924.84
-4.004,1945.01,-4.01,1924.95
-4.007,1945.09,-4.04,1925.06
-3.885,1945.17,-3.91,1925.17
-3.647,1945.35,-3.95,1925.29
-3.686,1945.44,-3.88,1925.42
-3.461,1945.53,-4.63,1925.54
-3.54,1945.62,-3.7,1925.67
-4.047,1945.72,-3.55,1927.67
-3.785,1945.81,-3.68,1927.79
-4.009,1945.9,-3.84,1927.92
-3.973,1945.99,-3.83,1928.04
-4.121,1946.08,-3.74,1928.17
-3.791,1946.17,-3.8,1928.42
-3.735,1946.26,-3.82,1928.54
-3.771,1946.35,-3.85,1928.79
-3.761,1946.44,-3.92,1929.04
-3.833,1946.53,-3.87,1929.17
-3.614,1946.62,-3.74,1929.33
-3.85,1946.72,-3.7,1929.5
-3.734,1946.81,-4.15,1930.3
-3.971,1946.9,-3.85,1930.33
-3.959,1946.99,-3.8,1930.44
-3.681,1947.17,-3.71,1930.59
-3.908,1947.24,-3.94,1930.73
-3.842,1947.31,-4.11,1930.88
-3.801,1947.38,-4.11,1931.02
-3.638,1947.52,-3.96,1931.17
-3.737,1947.6,-3.76,1931.5
-4.039,1947.67,-3.56,1931.67
-3.866,1947.74,-4.02,1931.84
-3.895,1947.81,-3.98,1932.17
-3.926,1947.88,-3.86,1932.29
-4.015,1947.92,-3.99,1932.42
-3.843,1948.26,-4.11,1932.54
-3.798,1948.44,-3.98,1932.67
-3.951,1948.53,-4.13,1932.79
-4.137,1948.72,-4.25,1932.92
-3.815,1948.81,-4.2,1933.04
-3.901,1948.9,-4.05,1933.17
-4.008,1949.08,-3.99,1933.29
-4.023,1949.17,-4.2,1933.42
-4.023,1949.27,-4.13,1933.54
-4.15,1949.37,-3.72,1933.67
-4.384,1949.47,-3.72,1933.79
-4.039,1949.57,-3.83,1933.92
-3.677,1949.67,-3.82,1934.04
-3.568,1949.77,-3.83,1934.17
-3.679,1949.88,-3.86,1934.33
-3.909,1949.98,-3.89,1934.5
-3.719,1950.08,-3.8,1934.67
-3.66,1950.17,-4,1935.17
-4.031,1950.25,-4.08,1935.25
-3.773,1950.33,-4.09,1935.33
-3.564,1950.42,-3.82,1935.42
-3.627,1950.5,-4.18,1935.5
-3.727,1950.59,-4.24,1935.67
-3.622,1950.67,-4.26,1936
-3.966,1950.75,-3.8,1936.33
-3.765,1950.84,-3.92,1936.67
-3.949,1950.92,-4,1937.01
-4.064,1951,-3.86,1937.17
-3.918,1951.09,-4.26,1937.29
-3.789,1951.17,-4.26,1937.42
-3.744,1951.35,-3.8,1937.54
-3.835,1951.44,-3.99,1937.67
-3.602,1951.53,-4.07,1937.92
-3.446,1951.72,-3.98,1938.04
-4.24,1951.81,-3.97,1938.17
-4.239,1951.9,-4.2,1938.25
-4.382,1951.99,-4.17,1938.33
-4.151,1952.08,-3.97,1938.42
-3.978,1952.17,-3.79,1938.5
-4.182,1952.27,-4.16,1938.59
-4.07,1952.37,-3.94,1938.67
-4.431,1952.47,-4.1,1938.75
-4.667,1952.67,-4.12,1938.84
-4.676,1952.77,-4.09,1938.92
-4.063,1952.88,-4.24,1939
-4.299,1952.98,-4.11,1939.09
-4.222,1953.08,-3.91,1939.17
-4.14,1953.17,-4.1,1939.44
-4.123,1953.27,-3.75,1939.59
-3.831,1953.37,-3.99,1939.73
-3.989,1953.47,-4.1,1939.88
-4.355,1953.57,-3.82,1940.02
-4.325,1953.57,-3.8,1940.17
-4.215,1953.67,-3.89,1940.28
-3.803,1953.77,-4.03,1940.5
-4.35,1953.88,-4.03,1940.72
-4.14,1953.98,-3.92,1940.84
-4.137,1954.08,-3.96,1940.95
-3.586,1954.17,-4.02,1941.06
-3.906,1954.25,-3.94,1941.17
-4.092,1954.33,-3.96,1941.3
-3.923,1954.42,-3.8,1941.59
-4.041,1954.5,-3.79,1941.73
-3.829,1954.59,-4.02,1941.88
-3.766,1954.75,-3.76,1942.02
-3.981,1954.84,-3.76,1942.17
-4.05,1954.92,-3.82,1942.25
-4.304,1955,-3.97,1942.33
-4.028,1955.09,-3.99,1942.42
-4.031,1955.17,-4.16,1942.5
-3.91,1955.37,-4.24,1942.59
-4.088,1955.47,-4.11,1942.75
-3.734,1955.57,-3.98,1942.84
-4.227,1955.67,-4.15,1942.92
-4.128,1955.77,-4.05,1943
-4.023,1955.88,-3.64,1943.09
-4.413,1955.97,-3.64,1943.17
-4.092,1956.08,-3.85,1943.25
-3.923,1956.17,-3.9,1943.37
-4.409,1956.34,-3.77,1943.5
-4.379,1956.42,-4.02,1943.58
-4.215,1956.5,-3.73,1943.67
-4.212,1956.59,-3.88,1943.75
-3.963,1956.67,-3.86,1943.84
-4.035,1956.75,-4.27,1943.92
-4.162,1956.84,-4.23,1944
-4.443,1956.92,-4.09,1944.09
-4.295,1957.01,-4.12,1944.17
-4.406,1957.09,-4.26,1944.25
-4.16,1957.17,-4.24,1944.33
-4.188,1957.45,-4.2,1944.42
-4.245,1957.85,-3.79,1944.5
-4.132,1958.05,-3.67,1944.59
-4.16,1958.17,-3.63,1944.67
-3.802,1958.3,-3.68,1944.75
-3.511,1958.44,-3.66,1944.84
-3.374,1958.73,-3.57,1944.92
