d18O (permil),year (AD)
-25.4284,1995
-25.3655,1994
-25.3027,1993
-25.2398,1992
-25.177,1991
-24.9112,1990
-24.6455,1989
-24.3797,1988
-24.114,1987
-23.8482,1986
-23.869,1985
-23.8897,1984
-23.9105,1983
-23.9312,1982
-23.952,1981
-24.1326,1980
-24.3131,1979
-24.4937,1978
-24.6742,1977
-24.8548,1976
-25.1059,1975
-25.3571,1974
-25.6083,1973
-25.8595,1972
-26.1106,1971
-25.9569,1970
-25.8032,1969
-25.6495,1968
-25.4958,1967
-25.3421,1966
-25.2393,1965
-25.1366,1964
-25.0338,1963
-24.9311,1962
-24.8283,1961
-24.8723,1960
-24.9163,1959
-24.9603,1958
-25.0042,1957
-25.0482,1956
-24.9595,1955
-24.8707,1954
-24.782,1953
-24.6933,1952
-24.6045,1951
-24.9258,1950
-25.2471,1949
-25.5684,1948
-25.8896,1947
-26.2109,1946
-26.2429,1945
-26.2749,1944
-26.3069,1943
-26.3389,1942
-26.3709,1941
-26.362,1940
-26.3531,1939
-26.3442,1938
-26.3354,1937
-26.3265,1936
-26.5709,1935
-26.8154,1934
-27.0599,1933
-27.3043,1932
-27.5488,1931
-27.3578,1930
-27.1668,1929
-26.9758,1928
-26.7847,1927
-26.5937,1926
-26.4762,1925
-26.3587,1924
-26.2412,1923
-26.1237,1922
-26.0062,1921
-26.0621,1920
-26.118,1919
-26.1739,1918
-26.2297,1917
-26.2856,1916
-26.1638,1915
-26.042,1914
-25.9203,1913
-25.7985,1912
-25.6767,1911
-25.7886,1910
-25.9005,1909
-26.0124,1908
-26.1243,1907
-26.2362,1906
-26.0625,1905
-25.8887,1904
-25.715,1903
-25.5413,1902
-25.3675,1901
-25.3203,1900
-25.273,1899
-25.2257,1898
-25.1785,1897
-25.1312,1896
-25.4231,1895
-25.7149,1894
-26.0067,1893
-26.2986,1892
-26.5904,1891
-26.503,1890
-26.4155,1889
-26.3281,1888
-26.2406,1887
-26.1532,1886
-26.1611,1885
-26.1691,1884
-26.1771,1883
-26.185,1882
-26.193,1881
-25.9494,1880
-25.7059,1879
-25.4623,1878
-25.2188,1877
-24.9752,1876
-25.1484,1875
-25.3216,1874
-25.4947,1873
-25.6679,1872
-25.841,1871
-25.7043,1870
-25.5676,1869
-25.4309,1868
-25.2942,1867
-25.1575,1866
-25.5913,1865
-26.025,1864
-26.4588,1863
-26.8925,1862
-27.3263,1861
-27.2209,1860
-27.1156,1859
-27.0102,1858
-26.9049,1857
-26.7995,1856
-26.5915,1855
-26.3836,1854
-26.1756,1853
-25.9677,1852
-25.7597,1851
-25.9667,1850
-26.1737,1849
-26.3806,1848
-26.5876,1847
-26.7946,1846
-26.5041,1845
-26.2136,1844
-25.9231,1843
-25.6326,1842
-25.3421,1841
-25.5592,1840
-25.7764,1839
-25.9935,1838
-26.2107,1837
-26.4278,1836
-26.1571,1835
