d18O (),year (AD),d18O ()
-1.198,1970,-1.271
0.487,1969,1.833
-0.527,1968,-0.191
0.885,1967,0.926
-2.681,1966,1.4
1.13,1965,-1.589
0.994,1964,-0.048
-0.5,1963,-0.209
0.065,1962,0.772
0.002,1961,0.518
-0.024,1960,-3.066
1.185,1959,-2.386
-2.788,1958,-0.479
0.9,1957,-2.209
-0.128,1956,0.218
-1.848,1955,-2.133
-0.221,1954,-2.147
-0.321,1953,1.662
-1.442,1952,-1.221
-0.021,1951,0.186
0.404,1950,0.858
-1.291,1949,-1.878
0.571,1948,-0.549
0.597,1947,-0.457
1.164,1946,-1.025
0.72,1945,-0.144
-0.137,1944,-0.799
-0.586,1943,0.441
1.564,1942,0.66
0.123,1941,-0.093
0.005,1940,-1.415
1.569,1939,-2.585
-0.282,1938,-0.165
1.67,1937,0.097
-0.701,1936,0.503
0.394,1935,0.939
1.343,1934,1.958
0.145,1933,-0.013
-0.453,1932,-1.861
0.204,1931,2.859
0.685,1930,0.88
0.095,1929,-0.424
0.157,1928,0.24
1.613,1927,0.968
-0.011,1926,-0.41
-0.493,1925,-0.353
-1.191,1924,-1.775
0.241,1923,-0.429
-0.006,1922,0.581
3.251,1921,-0.22
-1.057,1920,0.008
0.039,1919,-1.843
-2.102,1918,0.212
-0.858,1917,-3.504
0.629,1916,0.763
-1.237,1915,-0.412
-1.158,1914,-1.216
0.113,1913,-1.611
1.182,1912,1.665
0.434,1911,-0.01
-0.773,1910,-0.578
1.14,1909,0.301
0.897,1908,-0.122
-1.16,1907,1.15
-0.128,1906,-0.94
-0.341,1905,-0.521
-1.778,1904,0.422
0.579,1903,-0.787
-1.35,1902,1.76
1.734,1901,0.276
-0.29,1900,-0.848
-0.511,1899,0.776
1.296,1898,-0.224
2.206,1897,0.743
-0.69,1896,-0.437
-1.85,1895,1.216
-1.534,1894,-1.776
-2.218,1893,-0.451
-0.252,1892,-1.526
-0.185,1891,-0.44
-0.253,1890,-0.668
-1.212,1889,1.536
-1.231,1888,-1.735
-1.635,1887,-0.795
-0.634,1886,-1.352
0.8,1885,1.12
1.477,1884,1.085
0.979,1883,1.316
-0.084,1882,1.335
-1.05,1881,-0.368
0.064,1880,0.082
1.777,1879,-0.565
-0.323,1878,0.176
-0.154,1877,2.844
-0.242,1876,1.592
0.53,1875,-0.307
0.794,1874,2.396
-0.559,1873,0.343
1.384,1872,0.394
-0.704,1871,0.757
-0.374,1870,0.298
0.784,1869,-0.186
2.072,1868,2.21
0.106,1867,1.458
0.088,1866,0.868
1.803,1865,0.171
1.663,1864,1.171
3.383,1863,3.794
1.874,1862,0.634
0.244,1861,0.722
-1.073,1860,0.51
-0.395,1859,-1.046
-0.17,1858,0.364
-1.353,1857,0.507
0.068,1856,-1.479
0.605,1855,-0.587
-1.429,1854,-0.678
0.101,1853,0.39
0.192,1852,-0.46
-0.038,1851,0.159
-0.789,1850,-2.646
-0.614,1849,-2.679
0.729,1848,1.347
-0.999,1847,0.035
-0.186,1846,-0.726
-0.398,1845,-1.161
-0.755,1844,-1.664
0.311,1843,-1.482
0.977,1842,0.325
-0.542,1841,1.394
1.12,1840,0.689
-0.714,1839,2.16
-0.877,1838,-0.736
-0.882,1837,3.535
-0.806,1836,0.219
-0.51,1835,0.137
0.984,1834,0.622
1.567,1833,1.466
-0.475,1832,-0.715
1.412,1831,0.67
0.769,1830,-0.96
0.558,1829,-1.22
0.633,1828,-0.035
0.328,1827,0.074
0.065,1826,-0.86
-1.318,1825,0.626
0.12,1824,0.921
2.066,1823,-0.346
3.074,1822,2.35
-0.679,1821,-0.386
-0.499,1820,2.084
1.501,1819,-0.15
2.59,1818,3.051
-2.022,1817,0.391
0.535,1816,-2.026
-1.348,1815,-0.282
-0.247,1814,-0.96
-0.352,1813,2.853
-0.138,1812,-0.926
-0.528,1811,0.661
1.14,1810,1.494
1.002,1809,-0.787
-1.531,1808,-1.555
-2.053,1807,-1.647
-3.07,1806,-2.441
0.634,1805,-0.868
0.462,1804,-0.694
0.317,1803,1.903
-2.125,1802,-3.848
-0.909,1801,0.13
-1.075,1800,0.677
-0.876,1799,0.162
-0.609,1798,-0.498
-1.777,1797,-1.381
-1.666,1796,-1.691
0.089,1795,-0.3
-0.238,1794,2.202
1.345,1793,-1.189
2.434,1792,1.754
-1.481,1791,1.755
-0.207,1790,0.479
-0.517,1789,0.025
0.054,1788,-0.909
0.809,1787,-0.572
0.198,1786,-0.491
0.732,1785,0.145
-1.032,1784,-0.954
0.846,1783,1.785
0.784,1782,3.484
1.398,1781,1.916
0.726,1780,1.238
-2.426,1779,-1.195
1.001,1778,-0.785
