d18O (normalized),year (AD),depth (m)
0.8,1994,NA
0.7,1993,NA
-0.1,1992,NA
-0.2,1991,NA
-0.1,1990,NA
0.3,1989,NA
0.3,1988,NA
0.9,1987,NA
0,1986,NA
0.6,1985,NA
0,1984,NA
-0.4,1983,NA
-0.4,1982,NA
-0.1,1981,NA
-0.6,1980,NA
0.3,1979,NA
0.1,1978,NA
0.1,1977,NA
0.9,1976,NA
0.4,1975,NA
0.3,1974,NA
0,1973,NA
0.4,1972,NA
0.5,1971,NA
-0.1,1970,NA
0.2,1969,NA
0.4,1968,NA
0.1,1967,NA
0.6,1966,NA
0.6,1965,NA
0.1,1964,NA
0.1,1963,NA
0.3,1962,NA
0.3,1961,NA
0.3,1960,NA
-0.1,1959,NA
0.2,1958,NA
0.1,1957,NA
0.5,1956,NA
0.9,1955,NA
0.5,1954,NA
0.5,1953,NA
0.3,1952,NA
0.5,1951,NA
-0.1,1950,NA
-0.5,1949,NA
-0.3,1948,NA
-0.2,1947,NA
-0.3,1946,NA
0,1945,NA
-0.2,1944,NA
-0.4,1943,NA
-0.1,1942,NA
0.1,1941,NA
0.7,1940,NA
0.6,1939,NA
0.6,1938,NA
0.6,1937,NA
0.5,1936,NA
0.8,1935,NA
0.9,1934,NA
0.7,1933,NA
0.7,1932,NA
1.3,1931,NA
1.3,1930,NA
1.2,1929,NA
1.7,1928,NA
1.6,1927,NA
0.7,1926,NA
0.1,1925,NA
-0.1,1924,NA
0.2,1923,NA
0,1922,NA
-0.6,1921,NA
-0.7,1920,NA
-0.3,1919,NA
-0.8,1918,NA
-0.8,1917,NA
0.5,1916,NA
1,1915,NA
0.1,1914,NA
-0.2,1913,NA
0.2,1912,NA
0.4,1911,NA
0.1,1910,NA
0.4,1909,NA
0.4,1908,NA
0.3,1907,NA
-0.2,1906,NA
-0.4,1905,NA
-0.2,1904,NA
0.8,1903,NA
0.7,1902,NA
0.6,1901,NA
0.6,1900,NA
0.5,1899,NA
-0.2,1898,NA
-0.5,1897,NA
0.1,1896,NA
0.5,1895,NA
0.3,1894,NA
0.7,1893,NA
1.1,1892,NA
1.1,1891,NA
0.7,1890,NA
0.2,1889,NA
-0.1,1888,NA
-0.3,1887,NA
-0.2,1886,NA
0,1885,NA
-0.2,1884,NA
-0.1,1883,NA
0.1,1882,NA
0.4,1881,NA
0.7,1880,NA
0.7,1879,NA
1.1,1878,NA
1.1,1877,NA
0.9,1876,NA
0.9,1875,NA
0.7,1874,NA
0.4,1873,NA
0.1,1872,NA
0.3,1871,NA
0.5,1870,NA
0.5,1869,NA
-0.2,1868,NA
-0.9,1867,NA
-0.6,1866,NA
-0.3,1865,NA
0,1864,NA
-0.1,1863,NA
-0.5,1862,NA
-0.6,1861,NA
0.1,1860,NA
0.2,1859,NA
0.4,1858,NA
0.2,1857,NA
0.2,1856,NA
0.1,1855,NA
-0.2,1854,NA
-0.1,1853,NA
0,1852,NA
0.6,1851,NA
0.6,1850,NA
0.1,1849,NA
-0.2,1848,NA
0,1847,NA
0.2,1846,NA
0.1,1845,NA
0.2,1844,NA
0.1,1843,NA
0,1842,NA
0.1,1841,NA
-0.1,1840,NA
-0.2,1839,NA
-0.3,1838,NA
0,1837,NA
-0.2,1836,NA
-1,1835,NA
-1.2,1834,NA
-0.9,1833,NA
-0.4,1832,NA
-0.3,1831,NA
0.2,1830,NA
-0.1,1829,NA
-0.2,1828,NA
0.5,1827,NA
0.8,1826,NA
0.3,1825,NA
0,1824,NA
-0.2,1823,NA
-0.2,1822,NA
-0.3,1821,NA
-0.7,1820,NA
-0.7,1819,NA
-0.8,1818,NA
-0.6,1817,NA
-0.8,1816,NA
-1.1,1815,NA
-0.9,1814,NA
-0.9,1813,NA
-0.5,1812,NA
0.2,1811,NA
-0.1,1810,NA
-0.2,1809,NA
-0.4,1808,NA
-0.2,1807,NA
0,1806,NA
0.7,1805,NA
0.7,1804,NA
0.6,1803,NA
0.3,1802,NA
-0.3,1801,NA
-0.8,1800,NA
-0.6,1799,NA
-0.3,1798,NA
-0.4,1797,NA
-0.4,1796,NA
-0.3,1795,NA
0.2,1794,NA
0.6,1793,NA
0.2,1792,NA
0.4,1791,NA
0.1,1790,NA
0.1,1789,NA
0.4,1788,NA
0.3,1787,NA
0.3,1786,NA
0.5,1785,NA
0.3,1784,NA
-0.1,1783,NA
0,1782,NA
0.4,1781,NA
-0.1,1780,NA
-0.5,1779,NA
-0.1,1778,NA
0,1777,NA
-0.1,1776,NA
0.4,1775,NA
0.7,1774,NA
0.9,1773,NA
1,1772,NA
0.5,1771,NA
0.5,1770,NA
0.6,1769,NA
0.4,1768,NA
-0.3,1767,NA
-0.4,1766,NA
-0.3,1765,NA
-0.2,1764,NA
0.2,1763,NA
0.5,1762,NA
-0.1,1761,NA
-0.6,1760,NA
-0.1,1759,NA
-0.3,1758,NA
0.1,1757,NA
-0.2,1756,NA
-0.1,1755,NA
0,1754,NA
-0.6,1753,NA
-0.1,1752,NA
-0.2,1751,NA
-0.1,1750,NA
-0.4,1749,NA
-0.6,1748,NA
-0.4,1747,NA
-0.2,1746,NA
-0.7,1745,NA
-0.9,1744,NA
-0.6,1743,NA
-0.3,1742,NA
0.1,1741,NA
0.2,1740,NA
0.2,1739,NA
0,1738,NA
0.3,1737,NA
0.2,1736,NA
0.1,1735,NA
-0.2,1734,NA
-0.2,1733,NA
0,1732,NA
0.6,1731,NA
0.5,1730,NA
0.6,1729,NA
0.3,1728,NA
0,1727,NA
-0.2,1726,NA
-0.2,1725,NA
-0.2,1724,NA
-0.4,1723,NA
-0.6,1722,NA
-0.8,1721,NA
-0.7,1720,NA
-0.5,1719,NA
-0.3,1718,NA
-0.3,1717,NA
-0.4,1716,NA
-0.2,1715,NA
0.1,1714,NA
0.5,1713,NA
0.3,1712,NA
0,1711,NA
-0.2,1710,NA
-0.2,1709,NA
-0.2,1708,NA
-0.5,1707,NA
-0.4,1706,NA
-0.3,1705,NA
-0.2,1704,NA
0.1,1703,NA
0.6,1702,NA
0.5,1701,NA
-0.2,1700,NA
-0.3,1699,NA
-0.3,1698,NA
-0.4,1697,NA
-0.6,1696,NA
-1.1,1695,NA
-1.2,1694,NA
-0.8,1693,NA
-0.5,1692,NA
-0.6,1691,NA
-0.3,1690,NA
-0.2,1689,NA
-0.1,1688,NA
-0.2,1687,NA
-0.2,1686,NA
0,1685,NA
-0.1,1684,NA
-0.2,1683,NA
-0.2,1682,NA
-0.2,1681,NA
-0.5,1680,NA
-0.4,1679,NA
-0.3,1678,NA
-0.7,1677,NA
-0.8,1676,NA
-0.6,1675,NA
-0.4,1674,NA
-0.3,1673,NA
-0.4,1672,NA
-0.5,1671,NA
-0.4,1670,NA
-0.2,1669,NA
0.1,1668,NA
0.1,1667,NA
0,1666,NA
-0.2,1665,NA
0.3,1664,NA
0.3,1663,NA
0.5,1662,NA
0.2,1661,NA
-0.1,1660,NA
-0.1,1659,NA
0.1,1658,NA
0.3,1657,NA
-0.1,1656,NA
-0.3,1655,NA
-0.3,1654,NA
-0.2,1653,NA
-0.3,1652,NA
-0.3,1651,NA
-0.8,1650,NA
-0.7,1649,NA
-0.4,1648,NA
-0.2,1647,NA
0,1646,NA
0.2,1645,NA
0,1644,NA
0.1,1643,NA
0.2,1642,NA
0,1641,NA
-0.4,1640,NA
-0.5,1639,NA
-0.5,1638,NA
-0.3,1637,NA
-0.3,1636,NA
-0.5,1635,NA
-0.7,1634,NA
-0.4,1633,NA
-0.2,1632,NA
0.1,1631,NA
0.2,1630,NA
0.3,1629,NA
0.2,1628,NA
0.3,1627,NA
0.3,1626,NA
0.1,1625,NA
-0.1,1624,NA
-0.1,1623,NA
-0.1,1622,NA
-0.4,1621,NA
0,1620,NA
0.4,1619,NA
0.4,1618,NA
0.4,1617,NA
0.5,1616,NA
0.8,1615,NA
0.5,1614,NA
0.3,1613,NA
0,1612,NA
-0.4,1611,NA
-0.6,1610,NA
-0.4,1609,NA
-0.1,1608,NA
-0.3,1607,NA
-0.4,1606,NA
0,1605,NA
0.2,1604,NA
0.2,1603,NA
-0.1,1602,NA
-0.3,1601,NA
0.1,1600,NA
0.3,1599,NA
-0.3,1598,NA
-0.6,1597,NA
-0.3,1596,NA
-0.1,1595,NA
0.1,1594,NA
0.2,1593,NA
0.3,1592,NA
0,1591,NA
-0.1,1590,NA
0,1589,NA
0,1588,NA
-0.1,1587,NA
0.1,1586,NA
0.3,1585,NA
0.5,1584,NA
0.2,1583,NA
0.2,1582,NA
0.1,1581,NA
0.2,1580,NA
-0.1,1579,NA
-0.1,1578,NA
-0.1,1577,NA
-0.1,1576,NA
-0.1,1575,NA
-0.1,1574,NA
0.1,1573,NA
0.4,1572,NA
0.3,1571,NA
0.1,1570,NA
0.1,1569,NA
-0.1,1568,NA
-0.2,1567,NA
-0.3,1566,NA
0.1,1565,NA
0.2,1564,NA
0.1,1563,NA
0.3,1562,NA
0.7,1561,NA
0.5,1560,NA
0.6,1559,NA
0.3,1558,NA
-0.1,1557,NA
0,1556,NA
0.1,1555,NA
-0.2,1554,NA
-0.5,1553,NA
-0.1,1552,NA
0,1551,NA
0.2,1550,NA
-0.1,1549,NA
-0.2,1548,NA
-0.1,1547,NA
-0.4,1546,NA
-0.7,1545,NA
-0.5,1544,NA
-0.1,1543,NA
0.1,1542,NA
0.4,1541,NA
0.1,1540,NA
-0.3,1539,NA
-0.3,1538,NA
-0.4,1537,NA
-0.1,1536,NA
0,1535,NA
0.1,1534,NA
0.2,1533,NA
-0.1,1532,NA
-0.3,1531,NA
-0.2,1530,NA
0.1,1529,NA
0.1,1528,NA
0.4,1527,NA
0.5,1526,NA
0.4,1525,NA
0.4,1524,NA
0.4,1523,NA
0,1522,NA
-0.2,1521,NA
-0.2,1520,NA
-0.5,1519,NA
-0.5,1518,NA
-0.2,1517,NA
0,1516,NA
0.3,1515,NA
0,1514,NA
-0.2,1513,NA
-0.2,1512,NA
-0.1,1511,NA
0.1,1510,NA
-0.1,1509,NA
0.2,1508,NA
0.6,1507,NA
0.6,1506,NA
0.3,1505,NA
0.6,1504,NA
0.7,1503,NA
0.4,1502,NA
0.3,1501,NA
0.3,1500,NA
0.1,1499,NA
0.1,1498,NA
0.2,1497,NA
0.3,1496,NA
0.2,1495,NA
0.1,1494,NA
0.1,1493,NA
0.1,1492,NA
0.2,1491,NA
0.5,1490,NA
0.4,1489,NA
0.2,1488,NA
0.1,1487,NA
0.2,1486,NA
0.2,1485,NA
0.3,1484,NA
0.2,1483,NA
0.2,1482,NA
0.1,1481,NA
0,1480,NA
-0.1,1479,NA
0.1,1478,NA
0,1477,NA
-0.1,1476,NA
-0.2,1475,NA
-0.1,1474,NA
-0.2,1473,NA
-0.6,1472,NA
-0.7,1471,NA
-0.6,1470,NA
-0.5,1469,NA
-0.4,1468,NA
0,1467,NA
0,1466,NA
0,1465,NA
-0.1,1464,NA
-0.1,1463,NA
0,1462,NA
0,1461,NA
-0.2,1460,NA
-0.6,1459,NA
-0.5,1458,NA
