d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-34.91,1949,17.73,8,174
-34.64,1948,18.04,8.18,174
-33.8,1947,18.35,8.35,174
-36.62,1946,18.66,8.53,174
-36.89,1945,18.96,8.7,174
-34.82,1944,19.27,8.87,174
-36.16,1943,19.57,9.05,174
-35.25,1942,19.87,9.22,174
-34.23,1941,20.17,9.4,174
-32.18,1940,20.47,9.57,174
-31.74,1939,20.77,9.74,174
-36.22,1938,21.07,9.92,174
-37.06,1937,21.36,10.09,174
-34.99,1936,21.66,10.27,174
-33.98,1935,21.95,10.44,174
-30.77,1934,22.24,10.61,174
-32.98,1933,22.53,10.79,174
-35.95,1932,22.82,10.96,174
-33.53,1931,23.11,11.14,174
-33.09,1930,23.4,11.31,174
-33.33,1929,23.69,11.48,174
-31.71,1928,23.97,11.66,174
-33.16,1927,24.26,11.83,174
-35.42,1926,24.54,12.01,174
-36.89,1925,24.82,12.18,174
-37.19,1924,25.11,12.35,174
-35.4,1923,25.39,12.53,174
-34.27,1922,25.67,12.7,174
-35.19,1921,25.95,12.88,174
-36.45,1920,26.23,13.05,174
-33.77,1919,26.5,13.22,174
-34,1918,26.78,13.4,174
-35.18,1917,27.06,13.57,174
-34.08,1916,27.33,13.75,174
-33.82,1915,27.6,13.92,174
-32.27,1914,27.88,14.09,174
-34.86,1913,28.15,14.27,174
-35.8,1912,28.42,14.44,182
-33.43,1911,28.71,14.62,182
-35.65,1910,28.99,14.8,182
-34.31,1909,29.27,14.99,182
-32.68,1908,29.55,15.17,182
-32.63,1907,29.83,15.35,182
-35.34,1906,30.11,15.53,182
-36.62,1905,30.39,15.71,182
-35.54,1904,30.67,15.9,182
-34.29,1903,30.95,16.08,182
-33.29,1902,31.23,16.26,182
-34.01,1901,31.5,16.44,182
-32.82,1900,31.78,16.62,182
-33.66,1899,32.05,16.81,182
-36.18,1898,32.33,16.99,182
-35.19,1897,32.6,17.17,182
-32.85,1896,32.87,17.35,182
-32.6,1895,33.15,17.53,182
-33.92,1894,33.42,17.72,182
-33.27,1893,33.69,17.9,182
-30.77,1892,33.96,18.08,182
-31.89,1891,34.23,18.26,182
-34.3,1890,34.5,18.44,182
-35.19,1889,34.77,18.63,182
-36.49,1888,35.03,18.81,182
-35.49,1887,35.3,18.99,182
-35.21,1886,35.57,19.17,182
-34.42,1885,35.83,19.35,182
-36.52,1884,36.1,19.54,182
-34.73,1883,36.37,19.72,182
-33.45,1882,36.63,19.9,182
-32.99,1881,36.89,20.08,182
-31.16,1880,37.16,20.26,182
-32.73,1879,37.42,20.44,182
-33.14,1878,37.68,20.63,182
-32.23,1877,37.95,20.81,182
-32.06,1876,38.21,20.99,182
-32.91,1875,38.47,21.17,182
-34.11,1874,38.73,21.35,182
-36.18,1873,38.99,21.54,182
-36.04,1872,39.25,21.72,182
-34.67,1871,39.51,21.9,182
-32.97,1870,39.77,22.08,182
-34.23,1869,40.02,22.26,182
-35.56,1868,40.28,22.45,182
-36.54,1867,40.54,22.63,182
-36.15,1866,40.8,22.81,182
-34.08,1865,41.05,22.99,182
-34.38,1864,41.31,23.17,182
-34.43,1863,41.56,23.36,182
-33.91,1862,41.82,23.54,182
-36.72,1861,42.07,23.72,182
-34.77,1860,42.33,23.9,182
-33.97,1859,42.58,24.08,182
-35.37,1858,42.84,24.27,182
-34.82,1857,43.09,24.45,182
-34.08,1856,43.34,24.63,182
-33.63,1855,43.59,24.81,182
-34.72,1854,43.85,24.99,182
-36.06,1853,44.1,25.18,182
-35.56,1852,44.35,25.36,182
-33.6,1851,44.6,25.54,182
-33.2,1850,44.85,25.72,182
-32.22,1849,45.1,25.9,182
-33.55,1848,45.35,26.09,182
-34.64,1847,45.6,26.27,182
-34.74,1846,45.85,26.45,182
-38.16,1845,46.1,26.63,182
-35.87,1844,46.34,26.81,182
-34.98,1843,46.59,26.99,182
-35.64,1842,46.84,27.18,182
-35.65,1841,47.09,27.36,182
-33.67,1840,47.33,27.54,182
-33.29,1839,47.58,27.72,182
-33.43,1838,47.83,27.9,182
-34.81,1837,48.07,28.09,182
-35.5,1836,48.32,28.27,182
-33.33,1835,48.56,28.45,182
-36.41,1834,48.81,28.63,182
-38.05,1833,49.05,28.81,182
-38.06,1832,49.3,29,182
-36.93,1831,49.54,29.18,182
-36.49,1830,49.78,29.36,182
-35.04,1829,50.03,29.54,182
-33.73,1828,50.27,29.72,182
-33.75,1827,50.51,29.91,182
-33.69,1826,50.76,30.09,182
-32.74,1825,51,30.27,182
-33.61,1824,51.24,30.45,182
-34.28,1823,51.48,30.63,182
