d18O (permil),year (AD),depth (m)
1.45,2055.5,0.01
1.54,2008,0.035
1.05,1942,0.075
1.16,1886.6,0.13
1.3,1853.6,0.17
1.5,1837,0.19
1.56,1820.5,0.21
1.98,1803,0.23
1.04,1688.2,0.36
1.06,1670.3,0.38
0.95,1590.5,0.47
0.88,1526.9,0.54
1.59,1509.3,0.56
0.97,1491.4,0.58
1.01,1482.6,0.59
1.13,1473.8,0.6
0.97,1456.3,0.62
1.48,1421.1,0.66
1.61,1412,0.67
0.91,1403.1,0.68
0.76,1385.2,0.7
0.56,1376.2,0.71
1.26,1367.3,0.72
0.7,1358.4,0.73
0.67,1349.5,0.74
1.03,1340.9,0.75
1,1332.1,0.76
1.53,1323,0.77
1.01,1313.9,0.78
1.08,1304.9,0.79
1,1296,0.8
1.11,1287.2,0.81
1.5,1278.2,0.82
1.6,1269.3,0.83
0.56,797.6,1.36
0.67,788.9,1.37
0.57,780.3,1.38
0.5,771.4,1.39
0.62,762.8,1.4
0.7,754.3,1.41
0.69,745.4,1.42
0.47,736.6,1.43
0.54,728,1.44
0.9,577.9,1.61
0.78,569,1.62
0.88,560.3,1.63
0.65,551.4,1.64
0.81,542.4,1.65
0.74,533.5,1.66
0.67,524.8,1.67
0.56,516,1.68
0.63,507.2,1.69
0.95,498.3,1.7
0.64,481,1.72
0.98,472.4,1.73
0.73,463.9,1.74
0.71,455.3,1.75
0.93,446.6,1.76
0.81,429,1.78
0.88,420.2,1.79
0.79,411.1,1.8
0.94,401.9,1.81
0.67,393.1,1.82
0.74,375.3,1.84
0.76,366.4,1.85
0.94,357.6,1.86
0.8,348.6,1.87
0.6,339.7,1.88
0.85,330.8,1.89
0.64,313,1.91
0.41,304.2,1.92
0.69,295.5,1.93
0.64,286.8,1.94
0.42,278,1.95
0.39,269.3,1.96
0.72,260.4,1.97
0.65,242.5,1.99
0.58,233.7,2
0.55,224.8,2.01
0.5,215.7,2.02
0.78,206.7,2.03
0.5,197.8,2.04
0.45,188.6,2.05
0.64,179.5,2.06
0.72,170.6,2.07
0.69,161.8,2.08
0.7,153.1,2.09
0.76,144.2,2.1
0.65,135.3,2.11
0.67,126.6,2.12
0.69,117.9,2.13
0.64,109.3,2.14
0.61,100.3,2.15
0.64,91.4,2.16
0.47,81.5,2.17
0.74,71.6,2.18
1.12,-121.4,2.36
1.3,-135.4,2.37
0.99,-149.7,2.38
1.31,-164.1,2.39
1.25,-178.4,2.4
1.23,-192.7,2.41
0.98,-207.1,2.42
1.16,-221.2,2.43
1.08,-235.5,2.44
1.23,-249.9,2.45
1.07,-264.2,2.46
1.28,-278.3,2.47
1.14,-292.7,2.48
1.21,-307.3,2.49
1.27,-321.8,2.5
1.3,-336,2.51
1.26,-350.7,2.52
1.27,-365.1,2.53
1.41,-379.4,2.54
1.42,-393.9,2.55
1.33,-408.5,2.56
1.06,-422.7,2.57
1.35,-436.9,2.58
1.4,-451.3,2.59
1.42,-465.7,2.6
1.14,-480.1,2.61
1.22,-494.6,2.62
1.23,-509,2.63
1.26,-523.5,2.64
1.32,-537.8,2.65
1.35,-552.4,2.66
1.29,-567.1,2.67
1.18,-581.7,2.68
1.21,-596.6,2.69
1.25,-611.4,2.7
0.82,-626.2,2.71
1.16,-640.7,2.72
1.32,-655,2.73
1.32,-669.5,2.74
1.45,-683.9,2.75
1.28,-698.1,2.76
1.1,-712.5,2.77
1.31,-727,2.78
1.12,-741.4,2.79
1.18,-756,2.8
0.97,-770.2,2.81
1.07,-784.5,2.82
1.14,-798.5,2.83
1.13,-812.8,2.84
1.18,-826.8,2.85
1.15,-841.2,2.86
1.2,-855.6,2.87
1.26,-870.1,2.88
1.25,-884.4,2.89
1.18,-898.7,2.9
1.27,-913,2.91
0.96,-926.9,2.92
1.28,-941.5,2.93
1.25,-955.7,2.94
1.37,-970,2.95
1.21,-984.2,2.96
1.26,-998,2.97
1.26,-1012.2,2.98
1.48,-1026.2,2.99
1.23,-1040.3,3
1.29,-1054.4,3.01
1.41,-1068.5,3.02
1.16,-1083,3.03
1.02,-1097.4,3.04
1.31,-1111.7,3.05
1.27,-1125.9,3.06
1.21,-1140,3.07
1.39,-1154.4,3.08
1.19,-1169.1,3.09
0.99,-1183.9,3.1
1.28,-1198.5,3.11
1.15,-1212.4,3.12
1.32,-1226.5,3.13
1.12,-1240.8,3.14
1.28,-1255,3.15
1.07,-1269.4,3.16
1.37,-1283.8,3.17
1.3,-1298.3,3.18
1.37,-1312.7,3.19
1.27,-1327.1,3.2
0.86,-1341.6,3.21
0.82,-1356,3.22
0.68,-1370.4,3.23
0.51,-1385,3.24
0.46,-1399.4,3.25
0.79,-1413.9,3.26
0.67,-1427.9,3.27
0.73,-1441.9,3.28
0.92,-1455.8,3.29
0.75,-1469.7,3.3
0.92,-1498.1,3.32
0.51,-1512.5,3.33
0.87,-1526.9,3.34
0.95,-1541.1,3.35
0.77,-1570,3.37
0.81,-1584.3,3.38
0.72,-1598.6,3.39
0.82,-1612.6,3.4
0.53,-1627.1,3.41
0.78,-1655.4,3.43
0.74,-1683.4,3.45
0.74,-1697.5,3.46
0.95,-1711.7,3.47
0.64,-1740.1,3.49
0.92,-1754.3,3.5
0.93,-1768.5,3.51
0.67,-1783,3.52
0.74,-1797.4,3.53
0.71,-1811.8,3.54
0.48,-1826.4,3.55
0.81,-1840.7,3.56
0.7,-1855,3.57
0.8,-1869.2,3.58
1.05,-1883.6,3.59
0.82,-1898,3.6
0.7,-1912.4,3.61
0.85,-1940.4,3.63
0.64,-1954.3,3.64
0.81,-1968.2,3.65
0.65,-1982.5,3.66
0.39,-2026,3.69
0.29,-2040.5,3.7
0.55,-2055.1,3.71
0.46,-2069.7,3.72
0.11,-2084.5,3.73
0.32,-2098.9,3.74
0.29,-2113.7,3.75
0.29,-2128.3,3.76
0.38,-2142.7,3.77
0.35,-2157,3.78
0.54,-2171.5,3.79
0.49,-2185.9,3.8
0.35,-2214.2,3.82
0.33,-2228.3,3.83
0.47,-2242.3,3.84
0.21,-2256.2,3.85
0.36,-2270.2,3.86
0.39,-2298.9,3.88
0.31,-2313.3,3.89
0.38,-2327.7,3.9
0.42,-2356,3.92
0.3,-2370.2,3.93
0.34,-2384.2,3.94
0.52,-2398.2,3.95
0.36,-2425.6,3.97
0.33,-2439.5,3.98
0.22,-2453.4,3.99
0.31,-2467.3,4
0.51,-2481.5,4.01
0.53,-2509.2,4.03
0.55,-2523.4,4.04
0.53,-2551.2,4.06
0.49,-2565.4,4.07
0.39,-2594,4.09
0.43,-2608.4,4.1
0.49,-2623,4.11
0.67,-2665.6,4.14
0.4,-2680,4.15
0.32,-2708.3,4.17
0.25,-2723.4,4.18
