d18O (permil),year (AD),depth (cm)
-10.13,559,NA
-10.01,554,NA
-10.3,549,NA
-10.34,544,NA
-10.42,539,NA
-10.15,534,NA
-10.11,529,NA
-10.07,524,NA
-10.03,519,NA
-10.1,514,NA
-10.18,509,NA
-10.06,504,NA
-10.42,499,NA
-9.38,494,NA
-9.67,489,NA
-9.76,484,NA
-9.91,479,NA
-9.97,474,NA
-9.96,469,NA
-9.97,464,NA
-10.22,459,NA
-10.84,454,NA
-10.36,449,NA
-10.16,444,NA
-10.44,439,NA
-10.19,434,NA
-10.12,429,NA
-9.79,424,NA
-10.12,419,NA
-10.4,414,NA
-10.15,409,NA
-9.91,404,NA
-10.38,399,NA
-10.11,394,NA
-10.1,389,NA
-9.9,384,NA
-9.77,379,NA
-9.93,374,NA
-9.68,369,NA
-10.27,364,NA
-10.3,359,NA
-9.98,354,NA
-10,349,NA
-9.95,344,NA
-9.96,339,NA
-9.85,334,NA
-9.43,329,NA
-9.67,324,NA
-9.74,319,NA
-10.03,314,NA
-9.88,309,NA
-9.06,304,NA
-9.68,299,NA
-9.39,294,NA
-9.88,289,NA
-9.23,284,NA
-9.2,279,NA
-10.18,274,NA
-10.31,269,NA
-9.92,264,NA
-8.59,259,NA
-9.46,254,NA
-9.37,249,NA
-9.62,244,NA
-10.18,239,NA
-9.69,234,NA
-10.22,229,NA
-9.83,224,NA
-10.25,219,NA
-8.51,214,NA
-9.78,209,NA
-9.36,204,NA
-9.19,199,NA
-9.72,194,NA
-9.83,189,NA
-9.91,184,NA
-9.86,179,NA
-9.27,174,NA
-9.9,169,NA
-9.74,164,NA
-9.94,159,NA
-9.83,154,NA
-9.95,149,NA
-10.12,144,NA
-9.78,139,NA
-9.58,134,NA
-9.84,129,NA
-9.89,124,NA
-9.6,119,NA
-9.68,114,NA
-9.68,109,NA
-10.04,104,NA
-10.28,99,NA
-9.91,94,NA
-10.17,89,NA
-9.62,84,NA
-10.19,79,NA
-10.08,74,NA
-9.95,69,NA
-9.31,64,NA
-9.77,59,NA
-9.93,54,NA
-10.09,49,NA
-10.2,44,NA
-10.01,39,NA
-9.69,34,NA
-9.87,29,NA
-9.6,24,NA
-9.51,19,NA
-9.57,14,NA
-9.98,9,NA
-9.95,4,NA
-9.64,-1,NA
-9.45,-6,NA
-9.87,-11,NA
-9.48,-16,NA
-9.77,-21,NA
-9.71,-26,NA
-9.82,-31,NA
-9.32,-36,NA
-10.11,-41,NA
-9.97,-46,NA
-9.8,-51,NA
-9.9,-56,NA
-9.94,-61,NA
-9.68,-66,NA
-9.73,-71,NA
-9.55,-76,NA
-10.12,-81,NA
-9.7,-86,NA
-10.04,-91,NA
-9.82,-96,NA
-9.39,-101,NA
-9.72,-106,NA
-9.61,-111,NA
-10.07,-116,NA
-9.73,-121,NA
-9.76,-126,NA
-9.66,-131,NA
-9.82,-136,NA
-9.51,-141,NA
-9.08,-146,NA
-9.53,-151,NA
-9.53,-156,NA
-8.28,-161,NA
-9.16,-166,NA
-8.82,-171,NA
-9.44,-176,NA
-9.82,-181,NA
-9.93,-186,NA
-10.15,-191,NA
-9.92,-196,NA
-9.79,-201,NA
-9.47,-206,NA
-9.25,-211,NA
-9.05,-216,NA
-9.79,-221,NA
-9.92,-226,NA
-9.77,-231,NA
-9.99,-236,NA
-9.98,-241,NA
-8.65,-246,NA
-9.98,-251,NA
-9.32,-256,NA
-9.81,-261,NA
-9.49,-266,NA
-9.87,-271,NA
-9.76,-276,NA
-9.72,-281,NA
-9.91,-286,NA
-9.65,-291,NA
-10.2,-296,NA
-9.29,-301,NA
-9.72,-306,NA
-9.92,-311,NA
-9.59,-316,NA
-9.71,-321,NA
-9.68,-326,NA
-9.98,-331,NA
-9.67,-336,NA
-10.14,-341,NA
-10.34,-346,NA
-10.42,-351,NA
-10.28,-356,NA
-10.29,-361,NA
-10.08,-366,NA
-9.99,-371,NA
-9.87,-376,NA
-10.05,-381,NA
-9.86,-386,NA
-9.93,-395,NA
-9.81,-404,NA
-9.45,-413,NA
-9.77,-422,NA
-9.68,-432,NA
-9.98,-441,NA
-9.67,-450,NA
-9.22,-459,NA
-9.71,-468,NA
-9.87,-477,NA
-9.62,-486,NA
-9.69,-495,NA
-10.27,-504,NA
-9.43,-513,NA
-9.48,-523,NA
-9.35,-532,NA
-9.83,-541,NA
-9.79,-550,NA
-9.75,-559,NA
-9.41,-568,NA
-10.09,-577,NA
-9.67,-586,NA
-9.11,-595,NA
-9.61,-605,NA
-9.44,-614,NA
-9.08,-623,NA
-9.12,-632,NA
-9.75,-641,NA
-9.48,-646,NA
-9.1,-651,NA
-9.49,-656,NA
-9.9,-661,NA
-10.2,-666,NA
-9.79,-671,NA
-10.2,-676,NA
-9.98,-681,NA
-10.05,-686,NA
-9.9,-691,NA
-9.92,-696,NA
-9.79,-701,NA
-10.33,-706,NA
-9.87,-711,NA
-10.2,-716,NA
-10.28,-721,NA
-10.07,-726,NA
-10.14,-731,NA
-10.04,-736,NA
-9.97,-741,NA
-9.78,-746,NA
-9.77,-751,NA
-9.99,-756,NA
-9.77,-761,NA
-10.03,-766,NA
-9.8,-771,NA
-9.39,-776,NA
-9.16,-781,NA
-9.24,-786,NA
-9.33,-791,NA
-9.69,-796,NA
-9.59,-801,NA
-9.44,-806,NA
-9.47,-811,NA
-9.83,-816,NA
-9.68,-821,NA
-10.07,-826,NA
-9.67,-831,NA
-9.84,-836,NA
-10.05,-841,NA
-9.87,-846,NA
-9.91,-851,NA
-9.99,-856,NA
-9.82,-861,NA
-9.91,-866,NA
-9.64,-871,NA
-9.31,-876,NA
-9.65,-881,NA
-9.65,-886,NA
-9.72,-891,NA
-9.3,-896,NA
-9.74,-901,NA
-9.75,-906,NA
-9.66,-911,NA
-9.74,-916,NA
-9.28,-921,NA
-9.44,-926,NA
-9.87,-931,NA
-10.21,-936,NA
-10.01,-941,NA
-9.94,-946,NA
-9.88,-951,NA
-9.96,-956,NA
-9.89,-961,NA
-10.17,-966,NA
-10.14,-971,NA
-10.14,-976,NA
-9.55,-981,NA
-9.24,-986,NA
-8.97,-991,NA
-9,-996,NA
-9.79,-1001,NA
-9.74,-1006,NA
-9.67,-1011,NA
-9.31,-1016,NA
-9.64,-1021,NA
-9.86,-1026,NA
-9.78,-1031,NA
-9.64,-1036,NA
-9.53,-1041,NA
-9.79,-1046,NA
-9.64,-1051,NA
-9.51,-1056,NA
-9.75,-1061,NA
-9.66,-1066,NA
-9.06,-1071,NA
-9.82,-1076,NA
-9.83,-1081,NA
-10.16,-1086,NA
-9.31,-1091,NA
-9.06,-1096,NA
-9.25,-1101,NA
-9.33,-1106,NA
