d18O (permil),year (AD),Sr_Ca (mmol/mol),d13C (permil)
-5.374,1997.54,8.7482,-1.315
-5.4193,1997.46,8.7378,-1.352
-5.3403,1997.37,8.7102,-1.3107
-5.164,1997.29,8.7123,-1.0011
-5.0856,1997.21,8.7433,-0.66924
-5.0304,1997.12,8.7784,-0.65864
-4.9118,1997.04,8.8238,-0.76795
-4.8473,1996.96,8.8597,-0.99039
-4.8979,1996.87,8.9,-1.3671
-4.8566,1996.79,8.9332,-1.4188
-4.8716,1996.71,8.9434,-1.5836
-4.8694,1996.62,8.9304,-1.6244
-4.996,1996.54,8.9012,-1.489
-5.1986,1996.46,8.8478,-1.1276
-5.1821,1996.37,8.8027,-0.69264
-5.1853,1996.29,8.7861,-0.66042
-5.2908,1996.21,8.7957,-0.97125
-5.3709,1996.12,8.8163,-1.339
-5.4831,1996.04,8.8027,-1.2598
-5.4908,1995.96,8.7734,-1.0201
-5.4543,1995.87,8.7567,-0.84403
-5.4842,1995.79,8.7509,-0.65321
-5.5512,1995.71,8.741,-0.93944
-5.7311,1995.62,8.7223,-1.2357
-5.8122,1995.54,8.7138,-1.2823
-5.808,1995.46,8.713,-1.2291
-5.7536,1995.37,8.7107,-1.1553
-5.7065,1995.29,8.7157,-1.0851
-5.7539,1995.21,8.7296,-1.023
-5.7933,1995.12,8.7328,-0.95241
-5.8061,1995.04,8.717,-0.91131
-5.8317,1994.96,8.6958,-0.97802
-5.8813,1994.87,8.7089,-1.021
-5.8873,1994.79,8.7469,-0.94093
-5.75,1994.71,8.7745,-0.5409
-5.5902,1994.62,8.8024,-0.044468
-5.2422,1994.54,8.903,-0.32041
-5.0955,1994.46,8.9709,-0.32639
-5.2197,1994.37,8.9636,-0.39863
-5.3559,1994.29,8.9274,-0.58759
-5.3731,1994.21,8.8752,-0.73851
-5.4136,1994.12,8.8671,-0.82112
-5.486,1994.04,8.8884,-0.82507
-5.4048,1993.96,8.9097,-0.75479
-5.3155,1993.87,8.9047,-0.81285
-5.2076,1993.79,8.9106,-0.91796
-5.0626,1993.71,8.895,-0.96562
-5.0056,1993.62,8.8704,-1.0673
-5.0054,1993.54,8.8563,-1.1263
-5.0103,1993.46,8.8436,-1.1785
-5.0153,1993.37,8.831,-1.2308
-5.0323,1993.29,8.818,-1.2942
-5.1068,1993.21,8.804,-1.4115
-5.1889,1993.12,8.7898,-1.5359
-5.271,1993.04,8.7757,-1.6603
-5.3358,1992.96,8.7644,-1.6757
-5.3029,1992.87,8.7742,-1.1713
-5.2174,1992.79,8.7798,-0.88754
-5.1833,1992.71,8.7648,-1.0079
-5.1813,1992.62,8.7624,-0.87964
-5.0848,1992.54,8.7926,-0.87948
-5.0074,1992.46,8.822,-1.1144
-5.0782,1992.37,8.8429,-1.6254
-5.2143,1992.29,8.8005,-1.6447
-5.3466,1992.21,8.7763,-1.3807
