dD (permil),year (AD),depth (cm),dD (permil),dD (permil)
-139,1712,6.5,-127,-137
-154,1691,7.5,-127,-138
-124,1630,10.5,-115,-130
-125,1609,11.5,-118,-132
-130,1589,12.5,-122,-136
-141,1569,13.5,-125,-146
-141,1507,16.5,-133,-148
-154,1487,17.5,-133,-153
-129,1466,18.5,-120,-137
-130,1446,19.5,-129,-141
-143,1426,20.5,-130,-147
-124,1385,22.5,-115,-136
-150,1336,27.5,-128,-154
-151,1315,35.5,-111,-151
-152,1300,41.5,-112,-152
-135,1279,49.5,-102,-141
-115,1264,55.5,-100,-125
-109,1256,58.5,-96,-127
-126,1213,61.5,-105,-146
-110,1187,62.5,-98,-140
-92,1135,64.5,-92,-133
-123,1109,65.5,-102,-151
-96,1083,66.5,-94,-133
-82,1057,67.5,-85,-128
-101,1031,68.5,-94,-138
-101,1006,69.5,-94,-139
-121,980,70.5,-106,-143
-119,954,71.5,-107,-147
-123,928,72.5,-111,-151
-125,902,73.5,-111,-149
-117,876,74.5,-94,-138
-108,798,77.5,-100,-110
-144,683,82.5,-136,-174
-136,622,85.5,-113,-155
-126,602,86.5,-114,-154
-106,561,88.5,-88,-134
-111,521,90.5,-94,-141
-116,501,91.5,-101,-147
-119,460,93.5,-114,-158
-130,420,95.5,-114,-152
-137,379,97.5,-108,-139
-134,339,99.5,-100,-142
-144,319,100.5,-112,-148
-145,299,101.5,-118,-158
-139,278,102.5,-111,-142
-142,238,104.5,-115,-141
-149,218,105.5,-126,-155
-149,72,111.5,-116,-154
-148,44,112.5,-121,-153
-133,-12,114.5,-110,-144
-153,-69,116.5,-130,-164
-149,-97,117.5,-123,-162
-137,-126,118.5,-109,-155
-140,-239,122.5,-116,-163
-146,-323,125.5,-126,-161
-135,-437,129.5,-117,-155
-141,-465,130.5,-127,-155
-141,-493,131.5,-118,-147
-150,-521,132.5,-130,-138
-136,-550,133.5,-115,-150
-151,-663,137.5,-134,-155
-131,-804,142.5,-111,-150
-136,-917,146.5,-121,-154
