d18O (permil),year (AD),depth (mm),d18O (permil) [1-2],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-3],year (AD) [1-3],depth (mm) [1-3]
-6.11,-93150,4,-7.89,1834,1,-7.68,-8340,0
-6.31,-94650,7,-7.91,1810,2,-8,-8370,0.25
-6.45,-96150,10,-7.88,1786,3,-7.76,-8390,0.5
-6.43,-97650,13,-8.15,1762,4,-7.76,-8410,0.75
-6.78,-99150,16,-8.24,1738,5,-7.58,-8440,1
-7.08,-100250,19,-8.02,1714,6,-7.51,-8460,1.25
-7.05,-100450,22,-7.86,1690,7,-8.11,-8490,1.5
-7.57,-100750,25,-7.67,1666,8,-8.53,-8510,1.75
-7.47,-101050,28,-7.79,1642,9,-8.24,-8540,2
-7.81,-101250,31,-8.1,1618,10,-7.89,-8560,2.25
-8.02,-101550,34,-7.85,1594,11,-8.54,-8590,2.5
-7.99,-101750,37,-7.42,1573,12,-8.61,-8610,2.75
-8.2,-102050,40,-7.54,1553,13,-8.57,-8630,3
-8.42,-102250,43,-7.5,1460,14,-8.5,-8660,3.25
-8.5,-102550,46,-7.3,1368,15,-8.44,-8680,3.5
-8.63,-102750,49,-7.76,1275,16,-8.25,-8710,3.75
-8.89,-103250,52,-8.15,1182,17,-7.75,-8730,4
-8.55,-104150,55,-7.68,1090,18,-7.75,-8760,4.25
-8.25,-105150,58,-7.67,997,19,-7.59,-8780,4.5
-8.37,-106050,61,-7.3,900,20,-7.75,-8810,4.75
-7.69,-107050,64,-7.13,810,21,-7.8,-8830,5
-8.63,-108850,67,-7.42,720,22,-7.77,-8860,5.25
-8.31,-110650,70,-7.69,630,23,-7.74,-8880,5.5
-6.21,-112550,73,-7.51,530,24,-7.76,-8900,5.75
-6.11,-113050,76,-7.56,440,25,-7.69,-8930,6
-5.9,-113350,79,-7.53,290,26,-7.8,-8950,6.25
-5.84,-113650,82,-7.35,130,27,-7.67,-8980,6.5
-5.68,-113950,85,-7.49,-20,28,-7.53,-9000,6.75
-5.96,-114350,88,-7.38,-170,29,-7.44,-9050,7
-5.89,-114650,91,-6.8,-330,30,-7.16,-9080,7.25
-5.57,-114950,94,-6.97,-430,31,-7.72,-9100,7.5
-5.58,-115250,97,-7.28,-540,32,-7.68,-9120,7.75
-4.98,-115550,100,-7.13,-650,33,-8.27,-9140,8
-5.5,-116050,103,-7.08,-760,34,-8.07,-9170,8.25
-4.88,-116950,106,-7.49,-870,35,-8.01,-9190,8.5
-4.92,-117250,107,-7.45,-980,36,-7.96,-9210,8.75
-5.6,-117850,109,-7.49,-1080,37,-7.83,-9240,9
-5.48,-118750,112,-7.69,-1190,38,-7.77,-9260,9.25
-5.63,-119650,115,-7.54,-1300,39,-7.85,-9280,9.5
-5.76,-120050,116.5,-8.1,-1410,40,-7.49,-9310,9.75
-3.2,-120250,118,-8.05,-1520,41,-7.62,-9330,10
-5.75,-120350,119.5,-8.08,-1630,42,-8.05,-9350,10.25
-5.06,-120450,121,-8.24,-1730,43,-7.91,-9370,10.5
-5.4,-120550,124,-8.59,-1840,44,-7.66,-9400,10.75
-5.94,-120750,127,-8.83,-1950,45,-7.68,-9420,11
-5.75,-120950,130,-8.78,-2050,46,-7.63,-9430,11.25
-6.32,-121050,133,-8.37,-2150,47,-7.83,-9430,11.5
-5.94,-121250,136,-8.27,-2230,48,-7.96,-9440,11.75
-6.27,-121450,139,-8.36,-2310,49,-7.86,-9450,12
-6.84,-121650,142,-8.28,-2390,50,-7.89,-9450,12.17
-8.2,-121950,145,-8.76,-2470,51,-7.82,-9460,12.33
-8.72,-122250,148,-8.41,-2550,52,-7.93,-9470,12.5
-8.88,-122650,151,-8.32,-2630,53,-7.72,-9470,12.67
-8.73,-122950,154,-8.53,-2720,54,-7.73,-9480,12.83
-8.57,-123350,157,-8.01,-2800,55,-7.62,-9490,13
-8.67,-123650,160,-8.74,-2880,56,-7.79,-9490,13.17
-8.4,-123950,163,-8.61,-2960,57,-7.56,-9500,13.33
-8.63,-124250,166,-8.3,-3040,58,-7.53,-9510,13.5
-8.9,-124550,169,-8.44,-3120,59,-7.57,-9510,13.67
-8.69,-124850,172,-8.27,-3200,60,-7.82,-9520,13.83
-8.51,-125150,175,-8.45,-3280,61,-7.84,-9520,14
-8.02,-125350,178,-8.48,-3370,62,-7.95,-9530,14.17
-8.93,-125750,181,-8.55,-3440,64,-7.98,-9540,14.33
-8.5,-129150,183.5,-8.66,-3520,66,-8.42,-9540,14.5
-7.89,-131550,185,-8.48,-3590,68,-8.28,-9550,14.67
-8.43,-132350,185.5,-8.58,-3670,70,-8.15,-9560,14.83
-5.66,-133150,186,-8.57,-3740,72,-7.79,-9560,15
-5.69,-133850,186.5,-8.27,-3820,74,-7.94,-9570,15.17
-3.73,-134650,187,-8.41,-3890,76,-7.63,-9580,15.33
-3.63,-135350,187.5,-9.08,-3970,78,-7.95,-9580,15.5
-4.47,-135750,188,-8.57,-4040,80,-8.04,-9590,15.67
-4.06,-136250,188.5,-8.52,-4120,82,-7.69,-9600,15.83
-3.69,-136650,189,-8.74,-4190,84,-7.07,-9600,16
-4.42,-137150,189.5,-8.68,-4270,86,-7.19,-9610,16.17
-4.1,-137550,190,-8.92,-4320,88,-6.99,-9620,16.33
-5.12,-138050,190.5,-8.94,-4380,90,-7.04,-9620,16.5
-5.4,-138450,191,-8.83,-4430,92,-7.34,-9630,16.67
-5.14,-139050,191.5,-9.26,-4490,94,-7.31,-9640,16.83
-5.01,-139950,192,-9.02,-4540,96,-7.42,-9640,17
-4.6,-140850,192.5,-8.84,-4600,98,-7.12,-9650,17.17
-4.98,-141750,193,-8.8,-4650,100,-6.88,-9660,17.33
-5.38,-142650,193.5,-9.26,-4710,102,-6.38,-9660,17.5
-5.29,-143550,194,-8.89,-4780,104,-7.5,-9670,17.67
-5.83,-144450,194.5,-9.05,-4850,106,-7.14,-9680,17.83
-5.42,-145350,195,-8.82,-4920,108,-7.06,-9680,18
-5.79,-146250,195.5,-8.86,-5000,110,-7.21,-9690,18.17
-5.92,-147050,196,-9.21,-5070,112,-7.22,-9690,18.33
-6.93,-147350,196.5,-9.04,-5140,114,-6.88,-9700,18.5
-6.56,-147650,197,-8.79,-5220,116,-6.84,-9710,18.67
-5.88,-147950,197.5,-8.77,-5290,118,-6.67,-9710,18.83
-6.62,-148150,198,-9.1,-5360,120,-6.7,-9720,19
-6.31,-148450,198.5,-8.84,-5430,122,-6.51,-9730,19.17
-6.15,-148750,199,-9.2,-5510,124,-6.98,-9730,19.33
-6.67,-149050,199.5,-8.96,-5600,126,-6.95,-9740,19.5
-6.03,-149350,200,-8.89,-5680,128,-6.89,-9750,19.67
-6.88,-149650,200.5,-8.87,-5760,130,-7.09,-9750,19.83
-7.11,-149850,201,-8.84,-5840,132,-7.22,-9760,20
-7.63,-150150,201.5,-8.91,-5920,134,-7.33,-9770,20.17
-7.03,-150450,202,-8.82,-6000,136,-6.9,-9770,20.33
-7.38,-150750,202.5,-8.88,-6080,138,-6.93,-9780,20.5
-6.34,-151050,203,-9.09,-6160,140,-6.82,-9780,20.67
-6.82,-151250,203.5,-8.5,-6240,142,-6.88,-9790,20.83
-7.42,-151550,204,-8.46,-6330,144,-6.98,-9800,21
-7.9,-153050,204.5,-9.12,-6410,146,-7.03,-9800,21.17
-6.59,-156450,205,-8.76,-6500,148,-6.77,-9810,21.33
-4.88,-159750,205.5,-8.71,-6580,150,-6.73,-9810,21.5
-4.75,-161950,206,-9.1,-6670,152,-6.76,-9820,21.67
-5.12,-162350,206.5,-8.88,-6760,154,-6.73,-9830,21.83
-5.28,-162850,207,-9.17,-6840,156,-6.67,-9830,22
-6.22,-163250,207.5,-9.27,-6930,158,-6.65,-9840,22.17
-5.5,-163650,208,-9.08,-7020,160,-6.64,-9840,22.33
-6.76,-164150,208.5,-9.33,-7060,161,-6.57,-9850,22.5
-6.24,-164550,209,-9.29,-7100,162,-6.78,-9860,22.67
-5.48,-165050,209.5,-8.59,-7240,163,-6.87,-9860,22.83
-4.61,-165450,210,-8.52,-7300,163.5,-6.97,-9870,23
NA,NA,NA,-8.77,-7370,164,-6.91,-9870,23.17
NA,NA,NA,-9.03,-7520,164.5,-7.23,-9880,23.33
NA,NA,NA,-8.56,-7640,165,-7.29,-9890,23.5
NA,NA,NA,-8.94,-7750,165.5,-6.98,-9890,23.67
NA,NA,NA,-8.83,-7860,166,-6.7,-9900,23.83
NA,NA,NA,-9.06,-7970,166.5,-6.71,-9900,24
NA,NA,NA,-8.31,9.98,166.8,-6.56,-9910,24.17
NA,NA,NA,-8.69,10,166.9,-6.55,-9920,24.33
NA,NA,NA,-8.44,10.02,167,-6.64,-9920,24.5
NA,NA,NA,-8.58,10.03,167.1,-6.6,-9930,24.67
NA,NA,NA,-8.93,10.05,167.2,-6.43,-9930,24.83
NA,NA,NA,-8.99,10.07,167.3,-6.3,-9940,25
NA,NA,NA,-9.02,10.09,167.4,-6.29,-9950,25.17
NA,NA,NA,-9.06,10.11,167.5,-6.43,-9950,25.33
NA,NA,NA,-8.8,10.13,167.6,-6.58,-9960,25.5
NA,NA,NA,-8.26,10.14,167.7,-7.06,-9960,25.67
NA,NA,NA,-8.49,10.16,167.8,-6.8,-9970,25.83
NA,NA,NA,-8.59,10.18,167.9,-6.77,-9980,26
NA,NA,NA,-9.16,10.2,168,-6.81,-9980,26.17
NA,NA,NA,-9.15,10.22,168.1,-6.8,-9990,26.33
NA,NA,NA,-8.86,10.24,168.2,-6.79,-9990,26.5
NA,NA,NA,-8.64,10.25,168.3,-6.9,-10000,26.67
NA,NA,NA,-8.9,10.27,168.4,-7.02,-10010,26.83
NA,NA,NA,-8.79,10.29,168.5,-7.1,-10010,27
NA,NA,NA,-8.94,10.31,168.6,-7.08,-10020,27.17
