d18O (permil),year (AD),depth (cm)
-8.26,2000,0.25
-8.24,1995,0.75
-7.53,1990,1.25
-8.3,1985,1.75
-8.2,1980,2.25
-8.79,1975,2.75
-8.45,1970,3.25
-8.96,1965,3.75
-8.35,1960,4.25
-8.64,1955,4.75
-8.03,1950,5.25
-9.67,1946,5.75
-9.28,1941,6.25
-8.46,1936,6.75
-8.72,1931,7.25
-9.17,1926,7.75
-10.34,1921,8.25
-8.76,1916,8.75
-8.8,1911,9.25
-9.41,1906,9.75
-8.81,1901,10.25
-9.55,1896,10.75
-9.12,1892,11.25
-9.59,1887,11.75
-9.15,1882,12.25
-9.34,1877,12.75
-9.11,1872,13.25
-9.44,1867,13.75
-9.73,1862,14.25
-9.61,1857,14.75
-10.51,1847,15.75
-10.3,1838,16.75
-10.25,1825,17
-9.45,1781,18.5
-9.05,1752,19.5
-8.94,1737,20
-9.08,1722,20.5
-9.11,1708,21
-8.57,1693,21.5
-8.56,1663,22.5
-11.35,1619,24
-9.51,1590,25
-11.03,1560,26
-10.8,1531,27
-11.3,1502,28
-10.3,1472,29
-11.05,1443,30
-10.43,1413,31
-10.39,1384,32
-10.71,1354,33
-11.37,1325,34
-10.7,1296,35
-9.82,1266,36
-10.76,1237,37
-11.32,1207,38
-10.57,1178,39
-10.51,1148,40
-9.49,1119,41
-10.39,1088,42
-11.03,1056,43
-10.47,1025,44
-11.18,1014,45
-10.95,1003,46
-10.91,992,47
-11.26,981,48
-11.11,969,49
-10.35,958,50
-10.67,947,51
-9.58,936,52
-10.07,925,53
-10.17,914,54
-10.19,903,55
-9.78,892,56
-9.39,881,57
-10.6,870,58
-9.65,858,59
-10.75,847,60
-10.4,836,61
-9.96,825,62
-10.31,803,64
-10.01,754,65
-10.77,705,66
-12.05,606,68
-11.7,508,70
-11.05,409,72
-11.13,311,74
-11.49,212,76
-11.15,114,78
-11.14,15,80
-9.62,-83,82
-11.52,-182,84
-12.53,-280,86
-10.98,-379,88
-11.05,-477,90
-11.41,-576,92
-10.78,-674,94
-12.08,-773,96
-11,-871,98
-11.52,-970,100
-11.45,-1068,102
-8.6,-1167,104
-9,-1265,106
-10.26,-1364,108
-11.28,-1462,110
-11.87,-1561,112
-10.68,-1659,114
-12.03,-1758,116
-11.17,-1856,118
-11.44,-1955,120
-11.05,-2053,122
-11.76,-2152,124
-10.27,-2250,126
-11.57,-2349,128
-9.23,-2447,130
-13.4,-2546,132
-11.97,-2612,134
-10.9,-2646,136
-11.09,-2680,138
-11.98,-2714,140
-9.93,-2748,142
-13.17,-2782,144
