Sample ID (unitless),year (AD),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
1,2010.58,-4.85,8.86,0
2,2010.42,-4.89,8.82,0.1
3,2010.25,-4.94,8.81,0.11
4,2010.08,-4.98,8.78,0.15
5,2009.92,-4.86,8.86,-0.02
6,2009.75,-4.73,8.96,-0.26
7,2009.5,-4.95,8.9,-0.26
8,2009.25,-4.97,8.83,-0.02
9,2009,-5.03,8.78,0.1
10,2008.79,NA,8.83,NA
11,2008.58,-4.69,8.84,0.23
12,2008.38,-4.78,8.86,0.08
13,2008.17,-5.12,8.79,-0.01
14,2008.03,-4.97,8.8,0.09
15,2007.89,-4.71,8.9,-0.01
16,2007.75,-4.6,9,-0.26
17,2007.56,-4.56,8.92,0.08
18,2007.36,-4.72,8.82,0.28
19,2007.17,-4.83,8.74,0.45
20,2007,-4.85,8.78,0.29
21,2006.83,-4.96,8.82,0.03
22,2006.67,-4.44,8.85,0.46
23,2006.5,-4.72,8.87,0.1
24,2006.33,-4.89,8.75,0.37
25,2006.17,-4.97,8.75,0.29
26,2005.99,-4.8,8.74,0.47
27,2005.81,-4.55,8.81,0.48
28,2005.63,-4.7,8.83,0.27
29,2005.44,-4.7,8.82,0.29
30,2005.26,-4.83,8.76,0.37
31,2005.08,-4.91,8.72,0.46
32,2004.93,-4.98,8.74,0.29
33,2004.77,-5.02,8.78,0.13
34,2004.62,-4.76,8.82,0.22
35,2004.46,-4.73,8.83,0.24
36,2004.31,-4.78,8.78,0.36
37,2004.15,-4.98,8.73,0.36
38,2004,-5.01,8.69,0.46
39,2003.94,-4.98,8.72,0.38
40,2003.88,-5.02,8.71,0.38
41,2003.81,-4.73,8.83,0.24
42,2003.75,-4.64,8.83,0.33
43,2003.63,-4.72,8.79,0.38
44,2003.5,-5,8.77,0.16
45,2003.38,-5.2,8.72,0.17
46,2003.25,-5.14,8.66,0.46
47,2003.05,-4.66,8.88,0.12
48,2002.85,-4.89,8.83,0.06
49,2002.65,-4.95,8.85,-0.05
50,2002.45,-4.96,8.74,0.33
51,2002.25,-4.87,8.75,0.37
52,2002.1,-5.02,8.77,0.13
53,2001.94,-4.97,8.77,0.23
54,2001.79,-4.67,8.81,0.36
55,2001.63,-4.57,8.79,0.54
56,2001.48,-4.96,8.81,0.05
57,2001.32,-4.92,8.76,0.31
58,2001.17,-5.2,8.76,0.01
59,2001,-4.86,8.78,0.28
60,2000.83,-4.87,8.89,-0.16
61,2000.67,-4.77,8.88,-0.01
62,2000.5,-4.84,8.79,0.27
63,2000.33,-4.99,8.79,0.13
64,2000.17,-4.9,8.78,0.24
65,2000.01,-4.81,8.78,0.32
66,1999.86,-4.8,8.78,0.33
67,1999.71,-4.8,8.8,0.26
68,1999.56,-4.68,8.85,0.22
69,1999.4,-4.86,8.8,0.21
70,1999.25,-5,8.68,0.52
71,1999.07,-4.78,8.75,0.48
72,1998.89,-4.49,8.82,0.51
73,1998.71,-4.53,8.86,0.33
74,1998.53,-4.55,8.83,0.4
75,1998.35,-4.84,8.77,0.32
76,1998.17,-4.85,8.76,0.38
77,1998.04,-4.9,8.75,0.33
78,1997.9,-4.89,8.81,0.15
79,1997.77,-4.77,8.8,0.31
80,1997.64,-4.78,8.77,0.39
81,1997.51,-4.66,8.76,0.57
82,1997.38,-4.76,8.76,0.46
83,1997.25,-4.85,8.73,0.48
84,1997,-5,8.74,0.27
85,1996.75,-4.77,8.92,-0.14
86,1996.5,-4.64,8.8,0.44
87,1996.25,-4.83,8.74,0.47
88,1996.13,-4.84,8.8,0.21
89,1996.02,-4.57,8.8,0.51
90,1995.9,-4.5,8.84,0.4
91,1995.78,-4.53,8.89,0.2
92,1995.67,-4.58,8.89,0.17
93,1995.57,-4.58,8.88,0.18
94,1995.47,-4.48,8.88,0.3
95,1995.37,-4.76,8.82,0.23
96,1995.27,-4.81,8.79,0.3
97,1995.17,-4.78,8.78,0.35
98,1995.02,-4.77,8.8,0.3
99,1994.88,-4.66,8.8,0.42
100,1994.74,-4.72,8.8,0.35
101,1994.6,-4.74,8.83,0.21
102,1994.45,-4.7,8.82,0.3
103,1994.31,-4.81,8.74,0.49
104,1994.17,-4.88,8.73,0.44
105,1994.04,-4.7,8.78,0.43
106,1993.9,-4.46,8.83,0.5
107,1993.77,-4.58,8.85,0.31
108,1993.64,-4.27,8.81,0.74
109,1993.51,-4.96,8.75,0.27
110,1993.38,-5,8.74,0.28
111,1993.25,-5.11,8.71,0.29
112,1993.14,-4.67,8.78,0.47
113,1993.03,-4.62,8.81,0.42
114,1992.93,-4.56,8.81,0.47
115,1992.82,-4.93,8.82,0.05
116,1992.71,-4.78,8.81,0.26
117,1992.6,-4.62,8.86,0.22
118,1992.49,-4.5,8.89,0.25
119,1992.38,-4.33,8.94,0.24
120,1992.28,-4.55,8.83,0.41
121,1992.17,-4.66,8.83,0.31
122,1992,-4.7,8.84,0.23
123,1991.83,-4.48,8.87,0.32
124,1991.67,-4.84,8.84,0.1
125,1991.5,NA,8.83,NA
126,1991.33,NA,8.83,NA
127,1991.17,-4.81,8.81,0.23
128,1991.04,NA,8.84,NA
129,1990.92,NA,8.82,NA
130,1990.79,NA,8.86,NA
131,1990.67,-4.7,8.85,0.19
132,1990.54,-4.39,8.89,0.35
133,1990.42,-4.66,8.84,0.27
134,1990.29,-4.78,8.79,0.32
135,1990.17,-4.88,8.75,0.36
136,1990,-4.72,8.79,0.39
137,1989.83,-4.8,8.87,0.01
138,1989.67,-4.55,8.86,0.28
139,1989.5,-4.48,8.86,0.38
140,1989.33,-4.69,8.8,0.39
141,1989.17,-4.81,8.81,0.21
142,1989.09,-4.92,8.8,0.16
143,1989.01,-4.77,8.79,0.35
144,1988.94,NA,8.87,NA
145,1988.86,-4.49,8.9,0.21
146,1988.78,-4.51,8.91,0.15
147,1988.71,-4.48,8.91,0.19
148,1988.63,-4.43,8.92,0.18
149,1988.56,-4.35,8.95,0.16
150,1988.48,-4.59,8.92,0.03
151,1988.4,-4.52,8.91,0.15
152,1988.33,-4.71,8.86,0.13
153,1988.25,-4.85,8.77,0.32
154,1988.13,-4.8,8.83,0.17
155,1988.01,-4.48,8.9,0.2
156,1987.89,-4.64,8.9,0.06
157,1987.77,-4.48,8.91,0.17
158,1987.65,-4.54,8.94,0.02
159,1987.53,-4.54,8.93,0.04
160,1987.41,-4.75,8.86,0.11
161,1987.29,-4.64,8.85,0.24
162,1987.17,-4.59,8.86,0.27
163,1987.08,-4.75,8.85,0.14
164,1986.98,-4.6,8.85,0.29
165,1986.89,-4.53,8.9,0.18
166,1986.8,-4.62,8.9,0.08
167,1986.71,-4.67,8.87,0.16
168,1986.62,-4.66,8.88,0.13
169,1986.53,-4.75,8.92,-0.13
170,1986.44,NA,8.93,NA
171,1986.35,-4.79,8.89,-0.07
172,1986.26,-4.77,8.88,0
173,1986.17,-4.89,8.83,0.07
174,1986.01,-5.09,8.83,-0.15
175,1985.86,-4.78,8.89,-0.04
176,1985.71,NA,9.02,NA
177,1985.56,-4.52,8.98,-0.12
178,1985.4,-4.78,8.84,0.12
179,1985.25,-4.84,8.84,0.08
180,1984.98,NA,8.85,NA
181,1984.71,NA,8.93,NA
182,1984.44,-4.68,8.92,-0.07
183,1984.17,-5.11,8.75,0.13
184,1983.92,-4.54,8.76,0.67
185,1983.67,-4.66,8.9,0.02
186,1983.42,-4.35,8.99,0.02
187,1983.17,-4.76,8.82,0.22
188,1982.92,-4.9,8.84,0.01
189,1982.67,NA,8.97,NA
190,1982.42,-4.52,8.95,-0.02
191,1982.17,-4.93,8.87,-0.14
192,1981.97,-4.67,8.92,-0.03
193,1981.77,-4.55,8.99,-0.16
194,1981.57,-4.63,8.95,-0.11
195,1981.37,-4.89,8.8,0.17
196,1981.17,-5.07,8.78,0.09
197,1981.02,-5,8.82,-0.02
198,1980.88,-4.43,8.93,0.17
199,1980.74,-4.41,8.96,0.07
200,1980.6,-4.49,8.93,0.1
201,1980.45,-4.61,8.87,0.21
202,1980.31,-4.79,8.86,0.06
203,1980.17,-4.83,8.79,0.29
204,1980.05,-4.72,8.82,0.29
205,1979.93,NA,8.86,NA
206,1979.81,NA,8.97,NA
207,1979.69,-4.32,9,0.01
208,1979.56,-4.46,8.99,-0.09
209,1979.44,-4.23,9.01,0.06
210,1979.32,-4.47,8.96,0
211,1979.2,-4.79,8.85,0.07
212,1979.08,-4.85,8.87,-0.03
213,1978.95,-4.7,8.86,0.15
214,1978.82,-4.46,8.93,0.11
215,1978.69,-4.57,8.95,-0.04
216,1978.56,-4.23,8.98,0.17
217,1978.43,-4.43,8.95,0.09
218,1978.3,-4.54,8.89,0.18
219,1978.17,NA,8.86,NA
220,1977.97,-4.27,8.98,0.14
221,1977.77,-4.04,9.06,0.08
222,1977.57,-4.28,8.99,0.07
223,1977.37,-4.47,8.89,0.26
224,1977.17,-4.77,8.85,0.1
225,1977.07,-4.68,8.85,0.18
226,1976.97,-4.52,8.87,0.29
227,1976.87,-4.46,8.9,0.23
228,1976.77,-4.55,8.95,-0.04
229,1976.67,-4.71,8.89,0.02
230,1976.57,-4.6,8.95,-0.07
231,1976.47,-4.37,8.93,0.22
232,1976.37,-4.67,8.88,0.11
233,1976.27,-4.68,8.86,0.16
234,1976.17,-4.78,8.85,0.1
235,1976.06,-4.48,8.97,-0.02
236,1975.94,-4.42,8.99,-0.05
237,1975.83,-4.48,8.98,-0.09
238,1975.72,-4.71,8.9,-0.01
239,1975.61,NA,8.9,NA
240,1975.5,-4.78,8.86,0.07
241,1975.39,NA,8.83,NA
242,1975.28,-4.87,8.83,0.07
243,1975.17,-4.35,8.82,0.65
244,1975.01,-4.44,8.84,0.49
245,1974.86,-4.75,8.86,0.09
246,1974.7,-4.76,8.87,0.03
247,1974.55,-4.88,8.9,-0.18
248,1974.39,-4.53,8.91,0.14
249,1974.24,-4.71,8.84,0.2
250,1974.08,-4.88,8.86,-0.02
251,1973.96,-4.86,8.84,0.07
252,1973.85,NA,9.05,NA
253,1973.73,NA,9.04,NA
254,1973.61,NA,8.98,NA
255,1973.49,NA,8.91,NA
256,1973.37,NA,8.88,NA
257,1973.25,-4.89,8.85,-0.02
258,1973.03,-4.66,8.98,-0.26
259,1972.82,-4.69,8.98,-0.28
260,1972.6,-4.69,8.92,-0.06
261,1972.38,-4.81,8.89,-0.08
262,1972.17,-4.94,8.84,-0.01
263,1971.97,-4.95,8.9,-0.24
264,1971.77,-4.76,8.97,-0.31
265,1971.57,-4.39,9.02,-0.13
266,1971.37,-4.67,8.92,-0.06
267,1971.17,-4.78,8.91,-0.13
268,1970.86,-4.08,9.06,0.03
269,1970.56,-4.42,8.96,0.06
270,1970.25,-4.46,8.93,0.12
271,1969.89,-4.34,9.02,-0.08
272,1969.53,-4.11,9.08,-0.06
273,1969.17,-4.39,8.94,0.17
274,1968.92,-4.09,9.02,0.16
275,1968.67,-4.32,9.05,-0.16
276,1968.42,-4.64,8.94,-0.08
277,1968.17,-4.74,8.89,0.01
278,1967.9,-4.28,8.97,0.18
279,1967.63,-4.08,9.04,0.11
280,1967.35,-4.62,8.97,-0.18
281,1967.08,NA,8.87,NA
282,1966.81,-4.51,8.95,-0.01
283,1966.53,-4.49,8.95,0.02
284,1966.25,-4.73,8.88,0.05
285,1966.03,-4.79,8.8,0.28
286,1965.82,-4.59,8.95,-0.08
287,1965.6,-4.36,9.02,-0.09
288,1965.38,-4.58,8.91,0.09
289,1965.17,-4.99,8.8,0.07
290,1964.92,-4.72,8.82,0.26
291,1964.67,-4.49,8.97,-0.06
292,1964.42,NA,8.95,NA
293,1964.17,-5,8.8,0.05
294,1964,-4.9,8.83,0.07
295,1963.83,-4.79,8.84,0.11
296,1963.67,-4.68,8.93,-0.1
297,1963.5,-4.38,8.96,0.09
298,1963.33,-4.78,8.86,0.05
299,1963.17,-4.79,8.9,-0.09
300,1963,NA,8.86,NA
301,1962.83,-4.88,8.9,-0.18
302,1962.67,-4.65,8.95,-0.15
303,1962.5,-4.68,8.92,-0.04
304,1962.33,-4.93,8.85,-0.06
305,1962.17,NA,8.83,NA
306,1961.83,-4.7,8.89,0.03
307,1961.5,-4.93,8.9,-0.22
308,1961.17,-4.94,8.85,-0.06
309,1960.83,-4.79,8.9,-0.11
310,1960.5,-4.77,8.9,-0.08
311,1960.17,NA,8.82,NA
312,1959.99,-4.54,8.87,0.28
313,1959.81,-4.47,8.94,0.08
314,1959.63,-4.3,9.01,0
315,1959.44,NA,8.99,NA
316,1959.26,-4.75,8.9,-0.07
317,1959.08,-4.74,8.87,0.08
318,1958.78,NA,9.04,NA
319,1958.47,NA,9.05,NA
320,1958.17,NA,NA,NA
321,1957.97,NA,8.82,NA
322,1957.77,-4.59,8.92,0.03
323,1957.57,-4.25,9.03,-0.04
324,1957.37,-4.51,8.98,-0.11
325,1957.17,-4.86,NA,NA
326,1956.9,-4.5,8.93,0.08
327,1956.63,-4.32,8.99,0.04
328,1956.35,NA,8.92,NA
329,1956.08,-4.87,8.81,0.14
330,1955.83,-4.35,8.96,0.12
331,1955.58,-4.27,9,0.07
332,1955.33,-4.3,8.99,0.05
333,1955.08,-4.88,8.87,-0.09
334,1954.88,-4.48,8.94,0.07
335,1954.67,-4.27,8.96,0.2
336,1954.46,-4.48,8.93,0.09
337,1954.25,-4.77,8.8,0.31
338,1953.98,-4.68,8.93,-0.09
339,1953.71,-4.33,8.98,0.09
340,1953.44,NA,8.91,NA
341,1953.17,-4.6,8.83,0.34
342,1953.01,-4.55,8.85,0.32
343,1952.86,-4.5,8.92,0.14
344,1952.71,-4.68,8.92,-0.06
345,1952.56,-4.66,8.88,0.1
346,1952.4,-4.96,8.8,0.11
347,1952.25,NA,8.78,NA
348,1952.08,-4.81,8.8,0.27
349,1951.92,-4.53,8.88,0.23
350,1951.75,-4.71,8.91,-0.03
