d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],d18O (permil) [3-1],year (AD) [3-1]
-5.84,1994.12,-5.41,1994.12,-5.69,1994.04
-5.89,1994.04,-5.46,1994.04,-5.73,1993.96
-5.88,1993.95,-5.52,1993.95,-5.63,1993.87
-5.85,1993.87,-5.59,1993.87,-5.68,1993.79
-5.77,1993.79,-5.63,1993.79,-5.91,1993.71
-5.8,1993.7,-5.66,1993.7,-5.77,1993.62
-5.9,1993.62,-5.7,1993.62,-5.76,1993.54
-5.92,1993.54,-5.72,1993.54,-5.75,1993.46
-5.92,1993.45,-5.75,1993.45,-5.89,1993.37
-5.86,1993.37,-5.67,1993.37,-5.77,1993.29
-5.8,1993.29,-5.6,1993.29,-5.79,1993.21
-5.61,1993.2,-5.54,1993.2,-5.77,1993.12
-5.44,1993.12,-5.41,1993.12,-5.58,1993.04
-5.73,1993.04,-5.46,1993.04,-5.64,1992.96
-5.77,1992.95,-5.58,1992.95,-5.75,1992.87
-5.63,1992.87,-5.61,1992.87,-5.68,1992.79
-5.68,1992.79,-5.56,1992.79,-5.88,1992.71
-5.76,1992.7,-5.44,1992.7,-5.81,1992.63
-5.79,1992.62,-5.62,1992.62,-5.82,1992.54
-5.9,1992.54,-5.83,1992.54,-5.67,1992.46
-5.87,1992.45,-5.66,1992.45,-5.88,1992.38
-5.84,1992.37,-5.44,1992.37,-5.65,1992.29
-5.79,1992.29,-5.48,1992.29,-5.75,1992.21
-5.68,1992.2,-5.48,1992.2,-5.73,1992.13
-5.48,1992.12,-5.4,1992.12,-5.6,1992.04
-5.57,1992.04,-5.57,1992.04,-5.82,1991.96
-5.6,1991.95,-5.57,1991.95,-5.69,1991.88
-5.68,1991.87,-5.55,1991.87,-5.62,1991.79
-5.7,1991.79,-5.57,1991.79,-5.68,1991.71
-5.75,1991.7,-5.62,1991.7,-5.76,1991.63
-5.82,1991.62,-5.67,1991.62,-5.77,1991.54
-5.92,1991.54,-5.73,1991.54,-5.82,1991.46
-6.08,1991.45,-5.8,1991.45,-5.87,1991.38
-5.74,1991.37,-5.68,1991.37,-5.69,1991.29
-5.67,1991.29,-5.57,1991.29,-5.63,1991.21
-5.6,1991.2,-5.43,1991.2,-5.61,1991.13
-5.63,1991.12,-5.47,1991.12,-5.67,1991.04
-5.66,1991.04,-5.55,1991.04,-5.77,1990.96
-5.65,1990.95,-5.68,1990.95,-5.77,1990.88
-5.77,1990.87,-5.59,1990.87,-5.83,1990.79
-5.87,1990.79,-5.58,1990.79,-5.75,1990.71
-5.86,1990.7,-5.67,1990.7,-5.83,1990.63
-5.88,1990.62,-5.73,1990.62,-5.77,1990.54
-5.95,1990.54,-5.77,1990.54,-5.78,1990.46
-6.04,1990.45,-5.8,1990.45,-5.89,1990.38
-5.79,1990.37,-5.68,1990.37,-5.65,1990.29
-5.74,1990.29,-5.5,1990.29,-5.69,1990.21
-5.67,1990.2,-5.46,1990.2,-5.54,1990.13
-5.48,1990.12,-5.4,1990.12,-5.52,1990.04
-5.56,1990.04,-5.45,1990.04,-5.57,1989.96
-5.63,1989.95,-5.43,1989.95,-5.61,1989.88
-5.71,1989.87,-5.43,1989.87,-5.63,1989.79
-5.73,1989.79,-5.48,1989.79,-5.6,1989.71
-5.73,1989.7,-5.48,1989.7,-5.58,1989.63
-5.67,1989.62,-5.5,1989.62,-5.56,1989.54
-5.69,1989.54,-5.54,1989.54,-5.6,1989.46
-5.76,1989.45,-5.59,1989.45,-5.68,1989.38
-5.67,1989.37,-5.48,1989.37,-5.63,1989.29
-5.6,1989.29,-5.45,1989.29,-5.57,1989.21
-5.55,1989.2,-5.19,1989.2,-5.57,1989.13
-5.6,1989.12,-5.32,1989.12,-5.48,1989.04
-5.6,1989.04,-5.42,1989.04,-5.55,1988.96
-5.56,1988.95,-5.51,1988.95,-5.67,1988.88
-5.67,1988.87,-5.5,1988.87,-5.67,1988.79
-5.74,1988.79,-5.52,1988.79,-5.57,1988.71
-5.76,1988.7,-5.57,1988.7,-5.49,1988.63
-5.78,1988.62,-5.61,1988.62,-5.48,1988.54
-5.82,1988.54,-5.66,1988.54,-5.57,1988.46
-5.88,1988.45,-5.73,1988.45,-5.72,1988.38
-5.74,1988.37,-5.57,1988.37,-5.7,1988.29
-5.68,1988.29,-5.65,1988.29,-5.61,1988.21
-5.53,1988.2,-5.3,1988.2,-5.48,1988.13
-5.58,1988.12,-5.4,1988.12,-5.53,1988.04
-5.64,1988.04,-5.45,1988.04,-5.61,1987.96
-5.68,1987.95,-5.48,1987.95,-5.7,1987.88
-5.7,1987.87,-5.51,1987.87,-5.77,1987.79
-5.72,1987.79,-5.58,1987.79,-5.78,1987.71
-5.76,1987.7,-5.58,1987.7,-5.76,1987.63
-5.81,1987.62,-5.64,1987.62,-5.71,1987.54
-5.83,1987.54,-5.78,1987.54,-5.71,1987.46
-5.6,1987.45,-5.58,1987.45,-5.74,1987.38
-5.56,1987.37,-5.66,1987.37,-5.63,1987.29
-5.61,1987.29,-5.7,1987.29,-5.62,1987.21
-5.63,1987.2,-5.6,1987.2,-5.69,1987.13
-5.5,1987.12,-5.55,1987.12,-5.62,1987.04
-5.59,1987.04,-5.57,1987.04,-5.64,1986.96
-5.69,1986.95,-5.6,1986.95,-5.67,1986.88
-5.74,1986.87,-5.61,1986.87,-5.71,1986.79
-5.8,1986.79,-5.6,1986.79,-5.76,1986.71
-5.76,1986.7,-5.52,1986.7,-5.77,1986.63
-5.79,1986.62,-5.55,1986.62,-5.77,1986.54
-5.84,1986.54,-5.58,1986.54,-5.81,1986.46
-5.9,1986.45,-5.57,1986.45,-5.86,1986.38
-5.73,1986.37,-5.43,1986.37,-5.74,1986.29
-5.53,1986.29,-5.47,1986.29,-5.6,1986.21
-5.46,1986.2,-5.28,1986.2,-5.6,1986.13
-5.51,1986.12,-5.34,1986.12,-5.4,1986.04
-5.59,1986.04,-5.39,1986.04,-5.45,1985.96
-5.68,1985.95,-5.45,1985.95,-5.57,1985.88
-5.77,1985.87,-5.5,1985.87,-5.58,1985.79
-5.85,1985.79,-5.58,1985.79,-5.67,1985.71
-5.88,1985.7,-5.66,1985.7,-5.73,1985.63
-5.91,1985.62,-5.7,1985.62,-5.64,1985.54
-5.94,1985.54,-5.73,1985.54,-5.88,1985.46
-5.82,1985.45,-5.63,1985.45,-5.84,1985.38
-5.71,1985.37,-5.34,1985.37,-5.68,1985.29
-5.55,1985.29,-5.39,1985.29,-5.49,1985.21
-5.4,1985.2,-5.17,1985.2,-5.4,1985.13
