d18O (permil),year (AD),depth (m)
-36.1,1994,0.53
-34,1993,1.1
-32.2,1992,1.62
-34.5,1991,2.19
-33.1,1990,2.69
-35.9,1989,3.25
-32.6,1988,3.73
-31.5,1987,4.19
-33,1986,4.65
-33,1985,5.11
-32.6,1984,5.55
-34.6,1983,5.99
-34,1982,6.42
-33,1981,6.84
-35.5,1980,7.28
-35.1,1979,7.69
-33.7,1978,8.1
-33.4,1977,8.5
-33.6,1976,8.91
-33.2,1975,9.3
-33.2,1974,9.69
-33.5,1973,10.07
-34.6,1972,10.46
-33.6,1971,10.84
-36.6,1970,11.21
-34.5,1969,11.58
-31.9,1968,11.95
-34.7,1967,12.31
-33.5,1966,12.67
-33.1,1965,13.03
-34.2,1964,13.38
-34.8,1963,13.75
-34,1962,14.09
-32.3,1961,14.44
-31.5,1960,14.78
-37.1,1959,15.13
-35.1,1958,15.47
-35,1957,15.81
-33.9,1956,16.14
-32.4,1955,16.47
-32.6,1954,16.8
-30.5,1953,17.13
-33.1,1952,17.46
-32.4,1951,17.78
-34,1950,18.1
-35.7,1949,18.43
-34.1,1948,18.74
-34.2,1947,19.06
-35.7,1946,19.38
-34.7,1945,19.69
-35.4,1944,20.01
-34.1,1943,20.32
-34.6,1942,20.63
-33.6,1941,20.93
-30.8,1940,21.24
-33.7,1939,21.54
-34.9,1938,21.85
-34,1937,22.15
-33.6,1936,22.45
-33.9,1935,22.75
-32.7,1934,23.05
-33.9,1933,23.35
-32.5,1932,23.64
-32.5,1931,23.93
-33,1930,24.23
-31.3,1929,24.52
-29.4,1928,24.81
-31.5,1927,25.1
-34.1,1926,25.39
-35,1925,25.67
-34.5,1924,25.96
-33.4,1923,26.25
-35.1,1922,26.53
-35.1,1921,26.81
-33.3,1920,27.1
-33.9,1919,27.38
-34.8,1918,27.66
-35.7,1917,27.93
-34.1,1916,28.21
-33,1915,28.49
-34,1914,28.77
-35,1913,29.04
-33.3,1912,29.32
-34.1,1911,29.6
-35.2,1910,29.89
-32.7,1909,30.17
