dD (permil),year (AD),depth (cm),dD (permil)
-180.9,1666,6.9,-171.3
-183.4,848,25.5,-172.7
-208.8,544,32.4,-183.8
-189,272,38.6,-169.1
-173,118,42.1,NA
-167.1,-63,46.2,-155.5
-148.3,-487,55.9,-143.6
-175,-701,60.7,-156.1
NA,-1155,71,-171.8
-199.1,-1519,79.3,NA
-193.8,-1731,84.1,-176
