d18O (permil),year (AD),Sr_Ca (mmol/mol)
-4.083,1999.21,8.868
-4.0817,1999.13,8.8253
-4.0803,1999.04,8.7827
-4.079,1998.96,8.74
-4.2497,1998.88,8.7303
-4.4203,1998.79,8.7207
-4.591,1998.71,8.711
-4.806,1998.63,8.7485
-4.603,1998.54,8.748
-4.3835,1998.46,8.7605
-4.3487,1998.38,8.778
-4.4473,1998.29,8.7808
-4.324,1998.21,8.785
-4.4054,1998.13,8.7645
-4.4742,1998.04,8.7457
-4.527,1997.96,8.729
-4.4603,1997.88,8.7393
-4.4676,1997.79,8.73
-4.569,1997.71,8.696
-4.494,1997.63,8.7082
-4.4104,1997.54,8.7324
-4.316,1997.46,8.772
-4,1997.38,8.8181
-3.8132,1997.29,8.8354
-3.791,1997.21,8.816
-3.9038,1997.13,8.8231
-4.0312,1997.04,8.8142
-4.177,1996.96,8.785
-4.3052,1996.88,8.7946
-4.4036,1996.79,8.7908
-4.464,1996.71,8.77
-4.2964,1996.63,8.7793
-4.2792,1996.54,8.7752
-4.102,1996.46,8.825
-3.9668,1996.38,8.838
-3.7404,1996.29,8.8649
-3.827,1996.21,8.879
-3.8667,1996.13,8.8675
-3.9464,1996.04,8.8631
-4.077,1995.96,8.868
-4.2552,1995.88,8.8392
-4.3559,1995.79,8.8169
-4.358,1995.71,8.803
-4.3856,1995.63,8.8101
-4.3643,1995.54,8.8134
-4.281,1995.46,8.812
-4.2586,1995.38,8.8646
-4.1617,1995.29,8.8897
-3.97,1995.21,8.88
-3.9604,1995.13,8.8729
-4.0681,1995.04,8.8653
-4.325,1994.96,8.857
-4.3468,1994.88,8.875
-4.3773,1994.79,8.856
-4.419,1994.71,8.79
-4.3504,1994.63,8.8099
-4.2704,1994.54,8.8259
-4.176,1994.46,8.837
-3.9965,1994.38,8.8665
-3.9168,1994.29,8.8946
-3.964,1994.21,8.921
-3.9473,1994.13,8.9132
-3.9307,1994.04,8.9053
-4.0735,1993.96,8.8829
-4.223,1993.88,8.8598
-4.2863,1993.79,8.834
-4.342,1993.71,8.808
-4.3953,1993.63,8.8772
-4.4353,1993.54,8.863
-4.44,1993.46,8.847
-4.3197,1993.38,8.8657
-4.0747,1993.29,8.9095
-3.953,1993.21,8.922
-3.8897,1993.13,8.902
-4.099,1993.04,8.8567
-4.3215,1992.96,8.8465
-4.423,1992.88,8.8503
-4.3858,1992.79,8.8358
-4.3,1992.71,8.83
-4.3108,1992.63,8.8383
-4.147,1992.54,8.8433
-3.98,1992.46,8.849
-3.8683,1992.38,8.8527
-3.8307,1992.29,8.8562
-3.919,1992.21,8.877
-3.9587,1992.13,8.851
-3.9984,1992.04,8.825
-4.1737,1991.96,8.8061
-4.3545,1991.88,8.7875
-4.3556,1991.79,8.7822
-4.341,1991.71,8.778
-4.2295,1991.63,8.7857
-4.1389,1991.54,8.8025
-4.075,1991.46,8.831
-3.9769,1991.38,8.8521
-3.9076,1991.29,8.8722
-3.875,1991.21,8.891
-3.9275,1991.13,8.8668
-4.09,1991.04,8.8167
-4.2545,1990.96,8.7865
-4.3703,1990.88,8.787
-4.405,1990.79,8.7975
-4.305,1990.71,8.77
-4.2781,1990.63,8.7995
-4.2557,1990.54,8.8328
-4.239,1990.46,8.871
-4.1146,1990.38,8.8838
-4.0117,1990.29,8.8956
-3.936,1990.21,8.906
-4.1943,1990.13,8.8695
-4.3861,1990.04,8.8493
-4.493,1989.96,8.85
-4.5052,1989.88,8.8468
-4.4613,1989.79,8.8343
-4.346,1989.71,8.81
-4.3216,1989.63,8.8491
-4.2151,1989.54,8.8753
-4.004,1989.46,8.885
-3.9976,1989.38,8.91
-3.939,1989.29,8.9307
-3.814,1989.21,8.946
-3.752,1989.13,8.9275
-3.8553,1989.04,8.9001
-4.114,1988.96,8.884
-4.2233,1988.88,8.8284
-4.3844,1988.79,8.8183
-4.42,1988.71,8.786
-4.4142,1988.63,8.7993
-4.3037,1988.54,8.8447
-4.1575,1988.46,8.878
-4.0403,1988.38,8.8923
-3.9575,1988.29,8.8982
-3.8,1988.21,8.904
-3.825,1988.13,8.9085
-3.8738,1988.04,8.8976
-3.953,1987.96,8.867
-4.0876,1987.88,8.8446
-4.181,1987.79,8.8076
-4.222,1987.71,8.752
-4.3933,1987.63,8.7757
-4.4123,1987.54,8.803
-4.467,1987.46,8.789
-4.3363,1987.38,8.85
-4.1087,1987.29,8.8827
-3.868,1987.21,8.916
-4.0239,1987.13,8.8871
-4.1798,1987.04,8.8582
-4.3041,1986.96,8.8344
-4.4272,1986.88,8.8109
-4.4907,1986.79,8.8224
-4.549,1986.71,8.837
-4.3957,1986.63,8.8437
-4.2143,1986.54,8.853
-4.105,1986.46,8.8775
-4.0107,1986.38,8.9043
-3.8698,1986.29,8.923
-3.769,1986.21,8.953
-3.764,1986.13,8.9388
-3.927,1986.04,8.922
-4.129,1985.96,8.903
-4.2823,1985.88,8.8813
-4.3553,1985.79,8.8592
-4.387,1985.71,8.845
-4.2556,1985.63,8.8623
-4.1151,1985.54,8.8925
-3.963,1985.46,8.939
-3.9322,1985.38,8.9544
-3.8786,1985.29,8.967
-3.796,1985.21,8.976
-3.9506,1985.13,8.9491
-4.1393,1985.04,8.9183
-4.363,1984.96,8.892
-4.488,1984.88,8.8846
-4.5047,1984.79,8.838
-4.291,1984.71,8.818
-4.326,1984.63,8.8155
-4.2343,1984.54,8.8463
-4.111,1984.46,8.878
-3.9617,1984.38,8.9027
-3.7998,1984.29,8.9218
-3.744,1984.21,8.931
-3.8725,1984.13,8.8961
-3.9607,1984.04,8.898
-4.075,1983.96,8.8516
-4.2371,1983.88,8.8263
-4.2966,1983.79,8.7958
-4.374,1983.71,8.774
-4.3973,1983.63,8.7815
-4.3853,1983.54,8.8057
-4.3245,1983.46,8.8265
-4.1947,1983.38,8.8403
-4.025,1983.29,8.8548
-3.95,1983.21,8.884
-3.94,1983.13,8.879
-3.986,1983.04,8.8807
-4.0805,1982.96,8.862
-4.2293,1982.88,8.8343
-4.3965,1982.79,8.8158
-4.449,1982.71,8.8
-4.359,1982.63,8.8058
-4.3483,1982.54,8.8363
-4.2945,1982.46,8.849
-4.178,1982.38,8.8577
-4.0705,1982.29,8.8817
-4.123,1982.21,8.895
-3.9775,1982.13,8.8469
-3.9959,1982.04,8.8121
-4.223,1981.96,8.794
-4.3935,1981.88,8.7709
-4.516,1978.7,8.859
-4.4242,1978.62,8.869
-4.3788,1978.53,8.87
