d18O (permil),year (AD),depth (cm),d18O (permil)
-0.56,1993,0,-2.36
-0.54,1985.3,1,NA
-0.27,1962.1,4,NA
-0.29,1939,7,NA
NA,1923.6,9,-1.54
NA,1915.8,10,-2.98
NA,1900.4,12,0.13
-0.98,1892.7,13,-2.21
-1.26,1885,14,-1.08
0.18,1877.3,15,0.05
0.42,1869.5,16,0.26
0.49,1861.8,17,NA
0.24,1854.1,18,0.57
-0.68,1846.4,19,-3.52
-1.35,1838.7,20,-2.51
-0.6,1831,21,-2.39
-1.17,1823.2,22,-2.32
-1.17,1815.5,23,-3.58
-1.03,1807.8,24,-2.82
-1.54,1800.1,25,-3.08
-0.5,1792.4,26,-0.78
-1.06,1784.7,27,-3.02
-1.17,1777,28,-1.38
-0.94,1769.2,29,-3.18
-1.19,1761.5,30,-1.14
0.16,1753.8,31,1.51
-0.72,1746.1,32,0.78
0.62,1738.4,33,-3.35
-1.08,1730.7,34,-1.63
-1.49,1722.9,35,-2.51
-1.46,1715.2,36,-2.19
-0.58,1707.5,37,-2.41
-1.14,1699.8,38,-2.3
-0.37,1692.1,39,-2.48
-0.36,1684.4,40,-2.36
-0.62,1676.6,41,-0.79
-0.22,1668.9,42,-0.42
-0.27,1661.2,43,0.18
-0.58,1653.5,44,-1.35
-0.7,1645.8,45,-1.58
0.25,1638.1,46,-0.05
-0.22,1630.3,47,0.53
-0.38,1622.6,48,-0.33
0.1,1614.9,49,-1.49
0.26,1607.2,50,-0.92
0,1599.5,51,-0.91
-0.3,1591.8,52,-1.02
-0.73,1584,53,-3.79
-1.74,1576.3,54,-2.5
0.32,1568.6,55,-2.91
-0.86,1560.9,56,0.17
-1.13,1553.2,57,0.47
0.12,1545.5,58,-1.79
-1.81,1537.8,59,-2.02
-2.14,1530,60,-1.4
-1.22,1522.3,61,-0.43
-0.48,1514.6,62,0.59
0.31,1506.9,63,1.34
0.57,1499.2,64,-0.3
-0.82,1491.5,65,0.9
-0.25,1483.7,66,-1.68
-0.56,1476,67,-1.65
-0.63,1468.3,68,0.3
-1.2,1460.6,69,-1.14
-0.83,1452.9,70,-1.98
-0.39,1445.2,71,-1.26
-0.04,1437.4,72,-1.96
0.12,1429.7,73,-2.25
0.5,1422,74,0.75
1.28,1414.3,75,-1.52
1.08,1406.6,76,0.86
-0.82,1398.9,77,0.73
0.63,1391.1,78,-1.75
1.44,1383.4,79,1.62
0.63,1375.7,80,1.77
1.65,1368,81,-1.3
0.27,1362.7,82,-2.44
-1.32,1357.4,83,-0.16
-1.3,1352.2,84,-2.01
-0.47,1346.9,85,NA
-1.93,1341.6,86,-2.41
-0.98,1336.3,87,-0.57
-0.39,1331,88,-0.41
-0.22,1325.7,89,0.03
-0.03,1320.5,90,1.41
-1.73,1315.2,91,-3.8
-0.07,1309.9,92,-2
-0.62,1304.6,93,0.08
-0.52,1299.3,94,0.91
-0.53,1294.1,95,0.65
0.61,1288.8,96,0.97
0.43,1283.5,97,-1.34
0.28,1278.2,98,-0.83
-0.46,1272.9,99,-0.92
0.26,1267.7,100,-0.66
0.69,1262.4,101,-1.07
0.75,1257.1,102,1.13
-1.78,1251.8,103,-3.1
-0.78,1246.5,104,-0.16
1,1241.3,105,-1.01
1.15,1236,106,1.27
-0.88,1230.7,107,-2.55
-0.41,1225.4,108,-0.62
-0.86,1220.1,109,NA
-1.39,1214.8,110,NA
0.39,1204.3,112,NA
-0.84,1199,113,1.27
-0.51,1193.7,114,-2.44
-0.83,1188.4,115,-1.14
-0.68,1183.2,116,-1.38
-1.11,1177.9,117,-1.55
-0.28,1172.6,118,-0.93
-0.44,1167.3,119,-3.53
-1.48,1162,120,0.69
-1.41,1156.8,121,-0.79
-1.19,1151.5,122,-2.2
-0.61,1146.2,123,-2.05
-1.55,1140.9,124,-3.17
0.64,1135.6,125,-0.33
-0.27,1130.3,126,-3.44
-0.94,1125.1,127,-3.52
0.51,1119.8,128,-2.23
-1.93,1114.5,129,-1.64
-2.25,1109.2,130,-4.4
-1.32,1103.9,131,-1.36
0.04,1098.7,132,-2.93
-0.99,1093.4,133,-1.95
-0.11,1088.1,134,0.58
0.05,1082.8,135,0.9
-0.81,1077.5,136,-0.92
-0.55,1072.3,137,-0.84
0.33,1067,138,-0.8
0.49,1061.7,139,0.79
0.6,1056.4,140,0.82
0.78,1051.1,141,1.36
0.5,1045.8,142,0.67
0.39,1040.6,143,-0.22
0.24,1035.3,144,0.39
0.1,1021.1,146,-2.19
0.59,1012.3,147,NA
1.19,1003.4,148,0.91
0.66,994.54,149,1.59
1.1,985.67,150,-0.77
0.75,976.81,151,1.39
1.05,967.94,152,1.47
0.08,959.08,153,0.06
-0.13,950.21,154,1.01
-0.03,941.35,155,-0.45
-0.36,932.48,156,-3.8
0.16,923.62,157,0.47
0.05,914.75,158,-0.12
-0.25,905.88,159,1.51
-0.9,897.02,160,-0.97
-0.74,888.15,161,-1.79
0.92,879.29,162,0.89
1.3,870.42,163,0.74
0.82,861.56,164,0.76
0.8,852.69,165,NA
0.68,843.83,166,NA
0.71,834.96,167,0.52
0.27,826.1,168,0.51
0.12,817.23,169,0.95
0.08,808.37,170,-0.87
0.16,799.5,171,-0.22
-0.29,790.63,172,-0.55
0.1,781.77,173,0.24
-0.1,772.9,174,0.22
-0.07,764.04,175,-0.29
-0.23,755.17,176,-0.53
-0.05,746.31,177,-1.47
-0.21,737.44,178,-0.22
-0.42,728.58,179,0.94
-0.81,719.71,180,1.37
-0.64,710.85,181,-0.83
0.31,701.98,182,-2.36
-0.05,693.12,183,-1.61
-0.2,684.25,184,0.83
-0.21,675.38,185,-0.57
-0.19,666.52,186,-0.65
0.02,657.65,187,-0.44
-0.52,648.79,188,NA
-0.34,639.92,189,-1.79
0.19,631.06,190,-1.86
-0.47,622.19,191,-0.27
0.6,613.33,192,-0.71
0.67,604.46,193,1.08
0.45,595.6,194,-0.46
0.68,586.73,195,0.77
0.84,577.87,196,NA
0.44,569,197,1.15
0.27,563.41,198,0.95
-0.24,557.82,199,-0.01
-0.46,552.23,200,0.95
-0.11,546.64,201,-0.98
-0.02,541.05,202,0.01
0.05,535.46,203,-0.02
-0.06,529.87,204,0.93
0.09,524.28,205,-2.07
-0.01,518.69,206,-0.08
0.23,513.1,207,-0.38
0.25,507.51,208,-2.89
0.24,501.92,209,-0.62
-0.03,496.33,210,-1.84
-0.01,490.74,211,-0.91
0.15,485.15,212,0.42
0.22,479.56,213,-0.99
-0.65,473.97,214,-0.22
-0.19,468.38,215,0.36
0.31,462.79,216,-1.14
0.16,457.2,217,0.73
-0.08,451.61,218,-0.55
-0.04,446.02,219,0.26
0.85,440.43,220,0.82
0.04,434.84,221,0.13
-0.11,429.25,222,0.68
-0.78,423.66,223,0.74
-0.51,418.07,224,-0.44
0.12,412.48,225,0.73
0.39,406.89,226,1.51
-0.94,401.3,227,-0.04
-0.35,395.7,228,1.25
0.17,390.11,229,-0.1
-0.42,384.52,230,0.23
0.2,378.93,231,0.74
-0.29,373.34,232,0.86
0.19,367.75,233,-0.44
0.12,362.16,234,0.88
-0.07,356.57,235,-2.07
-0.17,350.98,236,0.06
-0.61,345.39,237,-0.44
-0.17,339.8,238,0.34
-0.26,334.21,239,1.03
-0.07,328.62,240,0.9
0.16,323.03,241,0.02
0.3,317.44,242,1.13
-0.09,311.85,243,-1.16
0.21,306.26,244,0.07
-0.7,300.67,245,0.13
-0.59,295.08,246,0.4
0,289.49,247,-1.9
NA,283.9,NA,0.47
-1.12,278.31,249,0.19
-0.84,272.72,250,-1.52
-0.1,267.13,251,-1.44
-0.96,261.54,252,-0.87
-1.35,255.95,253,-1.93
-2.54,250.36,254,-1.41
-0.66,244.77,255,-0.17
-0.08,239.18,256,-0.23
-0.35,233.59,257,-0.06
0.03,228,258,0.67
0.05,222.41,259,-0.73
0.22,216.82,260,1.1
-0.24,211.23,261,-0.37
0.01,205.64,262,-0.19
0.51,200.05,263,0.44
-0.41,194.46,264,0.43
-0.72,188.87,265,-2.57
-0.8,183.28,266,0.83
-0.64,177.69,267,-0.08
-1.34,172.1,268,-0.71
-1.34,166.51,269,-1.13
-0.8,160.92,270,-0.79
-0.14,155.33,271,0.83
-0.56,149.74,272,0.81
-0.87,144.15,273,-3.2
-1.17,138.56,274,-2.03
-0.51,132.97,275,-1.79
-0.86,127.38,276,-0.48
-0.83,121.79,277,-4.54
-0.84,116.2,278,-3.1
-0.9,110.61,279,-0.66
-0.3,105.02,280,0.96
0.95,99.426,281,0.79
-0.09,93.836,282,-0.37
-0.17,88.246,283,0.23
-0.31,82.656,284,-0.28
0.14,77.066,285,-3
-2.2,71.475,286,0.8
-0.49,65.885,287,0.41
-1.3,60.295,288,NA
-3.13,54.705,289,NA
-1.62,49.115,290,NA
-0.59,43.525,291,-1.89
0.19,37.934,292,-0.02
-2.51,32.344,293,-2.86
0.43,26.754,294,NA
-1.35,21.164,295,NA
-1.25,15.574,296,NA
-1.17,9.9836,297,NA
-1.38,4.3934,298,NA
0.87,-2.1968,299,NA
-0.3,-18.967,302,-1.29
-0.03,-24.557,303,0.23
-0.99,-30.148,304,0.51
-0.75,-35.738,305,-1.38
0.07,-41.328,306,-0.45
-0.92,-46.918,307,-2.35
0.12,-52.508,308,0.76
0.12,-58.098,309,-0.52
-0.09,-63.688,310,-2.16
-0.89,-69.279,311,-3.5
-0.63,-74.869,312,NA
-1.42,-80.459,313,1.25
-1.36,-86.049,314,-3.14
-1.73,-91.639,315,-3.22
-0.96,-97.229,316,-1.5
-0.75,-102.82,317,-0.78
-1.27,-108.41,318,-2.74
-1.15,-114,319,-2.27
-1.56,-119.59,320,-2.8
-0.98,-125.18,321,-3.31
-0.99,-130.77,322,-0.48
-0.54,-136.36,323,-0.5
-0.01,-141.95,324,-1.81
-1.25,-153.13,326,NA
-1.11,-158.72,327,-1.21
-0.85,-164.31,328,-0.2
-0.74,-169.9,329,-0.55
-1.24,-181.08,331,-0.92
-0.21,-186.67,332,-1.7
-1.28,-192.26,333,0.85
-0.58,-197.85,334,1.17
0.11,-203.44,335,-1.51
-1.4,-209.03,336,-1.84
-1.96,-214.62,337,-1.07
-1.08,-220.21,338,-2.56
-0.58,-225.8,339,0.16
-0.33,-231.39,340,0.33
-0.26,-236.98,341,-0.32
-2.2,-242.57,342,-2.06
-2.13,-248.16,343,-2.19
-1.92,-253.75,344,-3.03
-1.58,-259.34,345,NA
-0.76,-264.93,346,-0.98
-1.49,-270.52,347,-2.91
-2.1,-276.11,348,-2.74
-0.15,-281.7,349,-0.04
0.07,-287.3,350,0.1
-0.39,-292.89,351,NA
0.34,-298.48,352,NA
-1.48,-304.07,353,-1.5
-1.41,-309.66,354,-0.35
-0.16,-315.25,355,1.36
-1.62,-320.84,356,-0.88
0.21,-326.43,357,0.11
0.19,-332.02,358,NA
-0.38,-337.61,359,NA
0.37,-343.2,360,0.86
-0.45,-348.79,361,0.4
-1.43,-354.38,362,-1.46
-1.21,-359.97,363,0.32
0.21,-365.56,364,-0.4
0,-371.15,365,1.37
-0.63,-376.74,366,-1.62
-1.25,-382.33,367,0.01
-1.18,-387.92,368,-1.28
-1.2,-393.51,369,NA
-1.12,-399.1,370,-0.74
-1.44,-404.69,371,-0.78
-1.19,-410.28,372,-0.39
-1.23,-415.87,373,-2.28
-0.94,-421.46,374,-1.68
-0.71,-427.05,375,-0.31
-0.09,-432.64,376,-1.63
-0.02,-438.23,377,-2.74
-1.49,-443.82,378,-0.99
-1.55,-449.41,379,-3.34
-1.95,-455,380,NA
-1.54,-459.57,381,-1.84
-0.99,-464.14,382,-1.25
-0.91,-468.71,383,-1.83
0.87,-473.28,384,0.92
-0.66,-477.85,385,-2.5
-0.62,-482.42,386,-2.26
-0.51,-486.99,387,-3.74
-0.45,-491.56,388,0.36
-0.31,-496.13,389,0.35
-0.96,-500.7,390,-1.3
-0.42,-505.27,391,-1.56
-0.18,-509.84,392,-0.3
-0.6,-514.41,393,-0.85
-0.63,-518.98,394,-0.06
-0.37,-523.55,395,NA
-0.38,-528.12,396,-2.05
-0.43,-532.69,397,-1.8
-0.15,-537.26,398,NA
-0.61,-541.83,399,0.34
-0.59,-546.4,400,-0.6
-0.64,-550.97,401,-2.59
-0.72,-555.54,402,-0.24
-0.89,-560.11,403,0.72
-0.79,-564.68,404,-1.2
-1.06,-569.25,405,-1.36
-0.86,-573.82,406,-2.93
-1.11,-578.39,407,-1.83
-1.41,-582.96,408,-2.29
-0.6,-587.54,409,0.07
-0.26,-592.11,410,-0.73
-1.19,-596.68,411,-2.95
-1.04,-601.25,412,0.31
0.25,-605.82,413,0.14
-0.39,-610.39,414,-0.89
-1.72,-614.96,415,-2.24
-0.25,-619.53,416,0.27
-0.75,-624.1,417,0.09
-0.93,-628.67,418,-1.4
-0.71,-633.24,419,-1.27
-0.41,-637.81,420,-0.15
-0.23,-642.38,421,-1.16
0.24,-646.95,422,-0.33
-1.28,-651.52,423,0.73
-0.86,-656.09,424,-0.14
-0.04,-660.66,425,0.29
0.28,-665.23,426,0.21
-0.42,-669.8,427,0.36
-1.13,-674.37,428,-0.41
-0.13,-678.94,429,-0.54
0.4,-683.51,430,-0.35
-0.32,-688.08,431,-0.96
-1.28,-692.65,432,-1.46
-1.65,-697.22,433,-1.66
-0.92,-701.79,434,-1.1
-0.93,-706.36,435,-1.2
-0.44,-710.93,436,-1.75
-0.98,-715.5,437,-1.72
-0.77,-720.07,438,-0.77
-0.97,-724.64,439,-0.71
-0.12,-729.21,440,0.49
-0.87,-733.78,441,-0.94
-0.5,-738.35,442,-1.42
-0.48,-742.92,443,-0.17
-0.68,-747.49,444,-0.17
-0.52,-752.06,445,-0.47
-1.38,-756.63,446,-2.2
-0.62,-761.2,447,-1.18
-1.03,-765.77,448,-3.11
-1.21,-770.34,449,-1.36
0.45,-774.91,450,0.36
-0.58,-784.05,452,-0.81
-0.34,-788.62,453,-0.61
-0.21,-793.19,454,-0.48
-1.18,-797.76,455,-0.71
-1.2,-802.33,456,-0.11
0,-806.9,457,0.95
-1.46,-811.47,458,1.07
NA,-816.04,459,-0.45
NA,-820.61,460,0.06
-0.25,-825.18,461,0.7
0.12,-829.75,462,NA
0.17,-834.32,463,-0.14
0.17,-838.89,464,0.35
-0.23,-843.46,465,0.5
-0.01,-848.04,466,0.86
-0.2,-852.61,467,0.61
0,-857.18,468,0.22
0.4,-861.75,469,0.18
0.37,-866.32,470,0.11
0.46,-870.89,471,-0.13
-0.25,-875.46,472,0.58
-0.97,-880.03,473,0.08
-0.29,-884.6,474,-2.96
0.53,-889.17,475,0.59
-1.11,-893.74,476,-1.44
-0.21,-898.31,477,-1.3
-0.8,-902.88,478,-0.6
-0.07,-907.45,479,-0.73
0.44,-912.02,480,0.65
-0.33,-916.59,481,-0.61
0.07,-921.16,482,-0.4
0.02,-925.73,483,-0.52
-0.47,-930.3,484,-0.63
-0.73,-934.87,485,-0.73
-0.64,-939.44,486,-0.81
-0.75,-944.01,487,-0.13
-0.46,-948.58,488,-0.83
-0.34,-953.15,489,-0.76
0.15,-957.72,490,-0.91
-0.39,-962.29,491,-1.86
-0.97,-966.86,492,-0.29
-0.79,-971.43,493,-1.81
-0.91,-976,494,-1.76
-1.27,-980.57,495,NA
-1.16,-985.14,496,-1.08
-1.39,-989.71,497,-2.51
-1.34,-994.28,498,-1.54
-1.38,-998.85,499,-2.59
0.2,-1003.4,500,0.32
0.04,-1008,501,NA
0,-1012.6,502,0.23
-0.73,-1017.1,503,-0.73
-0.78,-1021.7,504,-1.06
-0.49,-1026.3,505,-0.76
-0.46,-1030.8,506,-1.6
0.04,-1035.4,507,-0.11
0.2,-1040,508,-1.02
-0.49,-1044.6,509,-1.27
-1.92,-1049.1,510,-1.17
-0.5,-1053.7,511,-2.52
-0.67,-1058.3,512,-0.75
-0.85,-1062.8,513,-1.7
-1.46,-1067.4,514,-3.49
-0.39,-1072,515,0.23
-0.15,-1076.5,516,-1
-0.57,-1081.1,517,-1.01
-0.97,-1085.7,518,-0.64
-0.05,-1090.3,519,0.16
0.14,-1094.8,520,0.22
0.8,-1099.4,521,0.25
-0.52,-1104,522,-0.55
-0.45,-1108.5,523,-0.82
-0.68,-1113.1,524,0.25
-0.12,-1117.7,525,0.03
-0.82,-1122.2,526,-2.17
-0.76,-1126.8,527,1.32
-0.48,-1131.4,528,-1.37
-0.7,-1136,529,-1.55
-0.63,-1140.5,530,-2.2
-0.73,-1145.1,531,-1.24
-0.25,-1149.7,532,-0.62
-0.88,-1154.2,533,-0.95
-0.15,-1158.8,534,-0.09
0.1,-1163.4,535,-0.71
-0.19,-1167.9,536,-0.44
-0.5,-1172.5,537,-1.33
-0.26,-1177.1,538,-0.69
-0.78,-1181.7,539,0.89
0.26,-1186.2,540,-0.36
-0.04,-1190.8,541,-0.17
