d18O (permil),year (AD),depth (m)
-27.43,1961,NA
-26.1602,1960,NA
-25.7667,1959,NA
-26.0266,1958,NA
-26.68,1957,NA
-25.6,1956,NA
-26.2027,1955,NA
-27.0639,1954,NA
-28.53,1953,NA
-28.8377,1952,NA
-28.4436,1951,NA
-27.74,1950,NA
-27.6595,1949,NA
-28.0853,1948,NA
-28.833,1947,NA
-29.1,1946,NA
-28.2292,1945,NA
-27.6464,1944,NA
-27.106,1943,NA
-25.78,1942,NA
-26.1147,1941,NA
-26.5091,1940,NA
-27.02,1939,NA
-26.9272,1938,NA
-26.9,1937,NA
-26.2058,1936,NA
-26.11,1935,NA
-26.858,1934,NA
-26.8896,1933,NA
-26.84,1932,NA
-26.852,1931,NA
-27.41,1930,NA
-27.4049,1929,NA
-26.91,1928,NA
-27.2297,1927,NA
-27.3489,1926,NA
-27.4742,1925,NA
-27.864,1924,NA
-27.8582,1923,NA
-27.6219,1922,NA
-27.6946,1921,NA
-26.9854,1920,NA
-26.83,1919,NA
-26.8532,1918,NA
-26.9517,1917,NA
-27.161,1916,NA
-27.55,1915,NA
-27.7414,1914,NA
-27.472,1913,NA
-27.5064,1912,NA
-28.62,1911,NA
-28.2588,1910,NA
-27.96,1909,NA
-27.6874,1908,NA
-27.7676,1907,NA
-27.98,1906,NA
-27.6464,1905,NA
-27.478,1904,NA
-26.91,1903,NA
-26.8722,1902,NA
-26.8,1901,NA
-26.5986,1900,NA
-26.49,1899,NA
-25.5425,1898,NA
-25.5551,1897,NA
-25.72,1896,NA
-26.4912,1895,NA
-26.98,1894,NA
-28.3331,1893,NA
-28.4731,1892,NA
-28.58,1891,NA
-28.2872,1890,NA
-28.02,1889,NA
-27.4552,1888,NA
-27.3237,1887,NA
-27.56,1886,NA
-27.8428,1885,NA
-28.47,1884,NA
-28.4282,1883,NA
-28.3307,1882,NA
-27.72,1881,NA
-27.502,1880,NA
-27.3743,1879,NA
-27.4,1878,NA
-27.5176,1877,NA
-27.58,1876,NA
-27.58,1875,NA
-27.2947,1874,NA
-27.183,1873,NA
-27.35,1872,NA
-27.7558,1871,NA
-27.9748,1870,NA
-28.05,1869,NA
-27.4616,1868,NA
-27.1804,1867,NA
-27.35,1866,NA
