d18O (permil),year (AD),d18OUncertainty (per mil),deuteriumExcess (permil),d excess stdev (permil)
-33.55485,1874,0.376685638,11.196,0.771
-35.238975,1873,1.74394758,8.889,1.016
-32.448,1872,0.997446603,10.234,0.325
-31.2875,1871,0.617974439,10.366,1.371
-33.051975,1870,0.995121019,10.248,2.095
-35.319175,1869,0.465312486,10.788,1.96
-34.872325,1868,0.212677101,10.923,2.376
-33.52705,1867,0.509630785,10.555,2.014
-33.736375,1866,0.783291331,10.929,0.765
-33.930875,1865,0.886856469,9.795,0.637
-33.485,1864,1.142819612,9.963,0.644
-33.94075,1863,0.440334309,10.406,1.025
-34.154425,1862,0.359556527,11.41,0.789
-34.303225,1861,0.577482366,11.171,0.458
-34.539875,1860,0.639712677,11.757,0.354
-34.136175,1859,0.697337371,12.094,0.428
-34.54435,1858,0.965068265,11.951,0.818
-33.604575,1857,1.063075994,11.706,0.205
-34.02375,1856,0.812551953,10.7,0.37
-35.541,1855,0.495901032,10.088,1.074
-35.6706,1854,1.124655927,10.628,0.908
-32.578075,1853,0.654123956,11.401,1.657
-32.502675,1852,0.84898101,10.669,1.421
-33.9315,1851,0.440527525,11.95,NA
-34.1187,1850,1.305460539,11.622,NA
-34.1555,1849,1.817971534,12.47,NA
-35.162,1848,0.785312791,11.4,NA
-34.53025,1847,1.23779042,10.66,NA
-34.13855,1846,0.56207918,9.844,NA
-34.2678,1845,0.68193378,9.944,NA
-34.1189,1844,0.022061732,10.109,NA
-33.6191,1843,0.383110454,11.677,NA
-35.6952,1842,0.677691139,9.133,NA
-35.9523,1841,2.566514773,8.614,NA
-35.08365,1840,1.485419215,9.35,NA
-34.09965,1839,0.927511965,11.4,NA
-33.2222,1838,1.209011174,10.343,NA
-33.7828,1837,2.739614513,9.75,NA
-35.47595,1836,0.742815674,10.633,NA
-37.00725,1835,0.05423509,10.211,NA
-36.07175,1834,0.188443957,11.015,NA
-35.3868,1833,0.838911485,11.036,NA
-35.36485,1832,0.401283098,10.129,NA
-32.92555,1831,0.912945565,10.878,NA
-33.27165,1830,0.740128668,10.208,NA
-33.04395,1829,1.030325291,11.254,NA
-32.58625,1828,1.037679201,11.67,NA
-32.91535,1827,1.084913934,11.883,NA
-34.4056,1826,0.773009133,12.16,NA
-34.323,1825,1.969999492,11.68,NA
-33.193,1824,0.569928066,11.14,NA
-32.357,1823,0.32951176,10.22,NA
-33.65245,1822,0.645517781,11.08,NA
-35.037,1821,1.620688742,11.47,NA
-34.423,1820,0.055154329,11.66,NA
-33.87485,1819,0.167513596,12.536,NA
-35.20755,1818,0.829082701,11.3,NA
-36.14285,1817,1.500268458,10.4,NA
-35.0123,1816,0.832971788,10.467,NA
-35.8541,1815,1.044255294,10.243,NA
-34.03205,1814,0.979979288,11.373,NA
-33.5339,1813,0.566533953,11.967,NA
-33.44625,1812,0.507349116,9.821,NA
-35.0811,1811,0.69452028,8.822,NA
-33.5317,1810,0.474185807,11.282,NA
-35.47095,1809,0.205555941,7.888,NA
-33.1435,1808,0.362745779,11.127,NA
-32.6476,1807,0.178473752,10.146,NA
-31.64585,1806,0.38063558,11.575,NA
-32.6644,1805,0.878368044,10.158,NA
-32.90145,1804,0.814657723,10.392,NA
-33.45025,1803,1.308501099,11.036,NA
-34.7777,1802,0.514349473,11.029,NA
-35.84365,1801,0.363806439,12.018,NA
-35.29395,1800,0.335522168,10.375,NA
-34.1403,1799,0.10111627,11.373,NA
-35.2672,1798,0.511379624,9.625,NA
-32.6632,1797,0.414647416,12.055,NA
