d18O (permil),year (AD),depth (cm),d18O (permil)
-30.74,1970,NA,-27.2
-31.29,1969,NA,-28.1
-31.58,1968,NA,-26.41
-33.7,1967,NA,-28.13
-30.86,1966,NA,-26.78
-31.44,1965,NA,-26.82
-30.35,1964,NA,-26.04
-31.14,1963,NA,-26.58
-29.14,1962,NA,-26.14
-32.76,1961,NA,-24.03
-30.53,1960,NA,-28.86
-32.38,1959,NA,-26.13
-30.12,1958,NA,-26
-30.68,1957,NA,-28.26
-29.6,1956,NA,-26
-31.9,1955,NA,-27.6
-31.31,1954,NA,-25.4
-31.6,1953,NA,-25.4
-30.62,1952,NA,-25.91
-30.38,1951,NA,-26.83
-32.66,1950,NA,-27.24
-31.34,1949,NA,-29.18
-32.02,1948,NA,-27.04
-29.23,1947,NA,-28.05
-29.23,1946,NA,-26.01
-32.04,1945,NA,-26.64
-30.35,1944,NA,-28.63
-30.8,1943,NA,-28.95
-31.95,1942,NA,-25.03
-32.15,1941,NA,-23.78
-30.98,1940,NA,-28.86
-33.31,1939,NA,-25.81
-30.08,1938,NA,-28.32
-38.57,1937,NA,-29.29
-28.98,1936,NA,-26.47
-32.53,1935,NA,-26.37
-31.36,1934,NA,-26.13
-32.93,1933,NA,-26.58
-30.46,1932,NA,-24.96
-32.39,1931,NA,-25.22
-32.14,1930,NA,-26.72
-30.86,1929,NA,-24.94
-34.43,1928,NA,-23.75
-34.08,1927,NA,-25.39
-30.59,1926,NA,-28.8
-32.1,1925,NA,-27.75
-33.45,1924,NA,-29.45
-31.39,1923,NA,-25.26
-33.19,1922,NA,-28.63
-36.32,1921,NA,-29.57
-32.47,1920,NA,-27.17
-37.24,1919,NA,-27.22
-33.95,1918,NA,-29.26
-28.74,1917,NA,-27.1
-29.44,1916,NA,-21.66
-34.4,1915,NA,-26.74
-33.29,1914,NA,-27.05
-33.22,1913,NA,-26.39
-31.79,1912,NA,-25.61
-33.47,1911,NA,-29.23
-31.42,1910,NA,-24.68
-31.11,1909,NA,-25.29
-34.09,1908,NA,-25.65
-32.65,1907,NA,-23.81
-33.05,1906,NA,-28.22
-34.55,1905,NA,-26.92
-32.83,1904,NA,-31.53
-31.21,1903,NA,-26.07
-32.06,1902,NA,-21.91
-30.57,1901,NA,-27.26
-34.27,1900,NA,-27.97
-33.88,1899,NA,-27.19
-34.56,1898,NA,-25.51
-30.5,1897,NA,-26.78
-32.07,1896,NA,-26.05
-30.8,1895,NA,-23.09
-32.3,1894,NA,-25.43
-29.12,1893,NA,-27.11
-33.33,1892,NA,-25.78
-32.96,1891,NA,-26.89
-35.5,1890,NA,-27.84
-32.54,1889,NA,-26.57
-28.89,1888,NA,-26.83
-33.4,1887,NA,-27.49
-34.32,1886,NA,-26.93
-35.73,1885,NA,-27.34
-34.12,1884,NA,-29.42
-34.68,1883,NA,-28.4
-35.45,1882,NA,-26.62
-31.67,1881,NA,-26.92
-30.04,1880,NA,-26.21
-32.88,1879,NA,-27.51
-31.73,1878,NA,-26.11
-35.85,1877,NA,-24.05
-31.04,1876,NA,-27.22
-31.05,1875,NA,-28.64
-33.9,1874,NA,-27.03
-30.4,1873,NA,-28.3
-32.37,1872,NA,-25.31
-31.93,1871,NA,-25.41
-33.04,1870,NA,-24.65
-33.02,1869,NA,-26.37
-35.3,1868,NA,-28.85
-30.19,1867,NA,-27.27
-32.91,1866,NA,-26.28
-32.18,1865,NA,-28.41
-36.35,1864,NA,-26.09
-36.04,1863,NA,-26.29
-33.17,1862,NA,-30.02
-32.51,1861,NA,-27.07
-33.85,1860,NA,-27.66
-32.82,1859,NA,-27.15
-31.15,1858,NA,-28.46
-32.32,1857,NA,-23.79
-30.28,1856,NA,-27.36
-33.54,1855,NA,-28.75
-31.7,1854,NA,-26.33
-34.4,1853,NA,-27.03
-30.3,1852,NA,-25.24
-30.01,1851,NA,-26.5
-31.31,1850,NA,-26.72
-30.95,1849,NA,-24.45
-33.51,1848,NA,-26.25
-31.09,1847,NA,-26.29
-30.37,1846,NA,-27.04
-35.75,1845,NA,-26.14
-31.55,1844,NA,-26.94
-32.93,1843,NA,-26.61
-32.3,1842,NA,-25.79
-29.61,1841,NA,-25
-33.6,1840,NA,-27.88
-35.78,1839,NA,-26.33
-31.74,1838,NA,-25.42
-34.3,1837,NA,-26.63
-33.89,1836,NA,-29.32
-32.92,1835,NA,-27.69
-33.18,1834,NA,-25.59
-34.58,1833,NA,-24.47
-33.84,1832,NA,-26.72
-30.33,1831,NA,-26.76
-30.94,1830,NA,-27.4
-33.03,1829,NA,-26.71
-31.81,1828,NA,-25.19
-33.72,1827,NA,-28.06
-34.93,1826,NA,-27.98
-34.79,1825,NA,-24.22
-29.38,1824,NA,-24.99
