d18O (permil),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),Mg_Ca (mmol/mol) [1-2],year (AD) [1-2],depth (cm) [1-2],temperature (degC) [1-2]
NA,0.2863732012,1.74,NA,NA,2.385,1950,0,11,1.66,2.37,1251.78,22,10.94
0.1783396457,0.5943937801,1.85,1.42,7.43,2.404,1887.5,2,11.08,1.95,2.321,1178.56,24,10.73
0.2725080839,0.01812764978,1.77,1.53,8.18,2.224,1825,4,10.3,1.55,2.442,1105.34,26,11.24
0.6893896466,0.1641587802,1.84,1.778,9.69,2.311,1762.5,6,10.68,1.61,2.34,1032.13,28,10.81
0.4683840742,0.02544533385,1.77,1.665,9.03,2.154,1700,8,9.98,1.63,2.262,958.91,30,10.47
0.3964366108,0.3985899567,1.82,1.579,8.5,2.485,1637.5,10,11.41,1.68,2.373,885.69,32,10.95
0.3571352844,0.2324981755,1.85,1.533,8.2,2.277,1575,12,10.54,1.71,2.367,812.47,34,10.92
0.5048797857,0.05862649975,1.97,1.551,8.32,2.195,1512.5,14,10.17,1.62,2.369,739.25,36,10.93
0.4570369661,0.3166454271,1.8,1.636,8.85,2.407,1450,16,11.09,1.67,2.317,666.03,38,10.71
0.2881592915,0.3767255446,1.89,1.462,7.73,2.527,1387.5,18,11.58,1.62,2.345,592.81,40,10.83
0.6208271917,NA,1.95,1.646,8.91,NA,1325,20,NA,NA,2.044,519.59,42,9.46
0.0376634366,0.2228491182,1.77,1.382,7.17,2.37,1251.78125,22,10.94,1.61,2.368,446.38,44,10.93
0.2488617918,0.3354562612,1.86,1.457,7.69,2.321,1178.5625,24,10.73,1.77,2.244,373.16,46,10.39
0.2153308107,0.3303955088,1.88,1.423,7.46,2.442,1105.34375,26,11.24,1.65,2.333,299.94,48,10.78
0.6660888657,0.233521444,1.97,1.664,9.02,2.34,1032.125,28,10.81,1.65,2.185,226.72,50,10.12
NA,0.326652552,NA,1.62,8.75,2.262,958.90625,30,10.47,1.82,2.355,153.5,52,10.87
0.710895506,0.2551036475,1.8,1.828,9.96,2.373,885.6875,32,10.95,1.64,NA,NA,NA,NA
0.5791586909,0.2883394407,1.78,1.741,9.47,2.367,812.46875,34,10.92,1.68,NA,NA,NA,NA
0.3110496104,0.1805943827,1.73,1.582,8.52,2.369,739.25,36,10.93,1.57,NA,NA,NA,NA
0.2764366108,0.1609378916,1.7,1.58,8.5,2.317,666.03125,38,10.71,1.6,NA,NA,NA,NA
0.19473783,0.2880356682,1.54,1.633,8.84,2.345,592.8125,40,10.83,1.7,NA,NA,NA,NA
0.4125782464,-0.07312700097,1.82,1.59,8.57,2.044,519.59375,42,9.46,1.65,NA,NA,NA,NA
0.3156189898,0.2605943827,1.7,1.606,8.67,2.368,446.375,44,10.93,1.65,NA,NA,NA,NA
0.1663058551,0.0885307273,1.68,1.519,8.11,2.244,373.15625,46,10.39,1.6,NA,NA,NA,NA
0.148529367,0.1167485548,1.48,1.645,8.9,2.333,299.9375,48,10.78,1.54,NA,NA,NA,NA
0.6054453339,-0.02272957263,1.69,1.83,9.98,2.185,226.71875,50,10.12,1.55,NA,NA,NA,NA
-0.1089506972,0.2170616339,1.34,1.562,8.39,2.355,153.5,52,10.87,1.62,NA,NA,NA,NA
NA,0.01985843674,NA,1.629,8.81,2.256,93.27777778,54,10.44,1.52,NA,NA,NA,NA
0.2067379138,-0.02881908294,1.49,1.679,9.11,2.266,33.05555556,56,10.49,1.46,NA,NA,NA,NA
0.3337934395,NA,1.64,1.662,9.01,NA,-27.16666667,58,NA,1.48,NA,NA,NA,NA
0.4908970818,-0.05376870145,1.53,1.868,10.18,2.098,-87.38888889,60,9.72,1.61,NA,NA,NA,NA
0.4370369661,NA,1.78,1.635,8.85,NA,-147.6111111,62,NA,NA,NA,NA,NA,NA
NA,0.202869975,NA,1.604,8.66,2.467,-207.8333333,64,11.34,1.5,NA,NA,NA,NA
0.6495172256,0.06954206368,1.75,1.819,9.91,2.187,-268.0555556,66,10.13,1.64,NA,NA,NA,NA
0.05412977966,-0.4362065605,1.48,1.577,8.49,1.955,-328.2777778,68,9.01,1.39,NA,NA,NA,NA
0.6054453339,0.1238102193,1.69,1.832,9.98,2.29,-388.5,70,10.59,1.59,NA,NA,NA,NA
0.876652552,0.09833357833,1.85,1.923,10.47,2.294,-448.7222222,72,10.61,1.56,NA,NA,NA,NA
0.5048274774,-0.4222806441,1.66,1.775,9.67,1.941,-508.9444444,74,8.94,1.42,NA,NA,NA,NA
0.7809378916,0.2563448565,1.7,1.969,10.71,2.483,-569.1666667,76,11.4,1.54,NA,NA,NA,NA
0.3440357517,0.06059438266,1.71,1.619,8.75,2.368,-629.3888889,78,10.93,1.45,NA,NA,NA,NA
0.9217315886,-0.2409770573,1.92,1.902,10.36,2.12,-689.6111111,80,9.82,1.4,NA,NA,NA,NA
0.446872999,0.08438805596,1.65,1.738,9.46,2.259,-749.8333333,82,10.46,1.58,NA,NA,NA,NA
0.8338102193,0.1224981755,1.78,1.946,10.59,2.278,-810.0555556,84,10.54,1.6,NA,NA,NA,NA
0.2248833119,-0.2174382104,1.63,1.592,8.58,2.013,-870.2777778,86,9.31,1.54,NA,NA,NA,NA
0.2795420637,0.09771513464,1.33,1.858,10.13,2.325,-930.5,88,10.74,1.53,NA,NA,NA,NA
0.8521419276,0.1153279809,1.69,2.042,11.07,2.251,-1047.214286,90,10.42,1.62,NA,NA,NA,NA
0.2171311129,-0.01745392767,1.59,1.614,8.72,2.087,-1163.928571,92,9.66,1.66,NA,NA,NA,NA
0.3478391086,0.1628561046,1.7,1.629,8.81,2.298,-1280.642857,94,10.63,1.62,NA,NA,NA,NA
0.06966067673,0.08476100121,1.33,1.695,9.21,2.281,-1397.357143,96,10.55,1.56,NA,NA,NA,NA
0.2871311129,-0.3343810102,1.66,1.614,8.72,1.889,-1514.071429,98,8.67,1.57,NA,NA,NA,NA
0.2056189898,-0.00506943667,1.59,1.607,8.67,2.232,-1630.785714,100,10.33,1.52,NA,NA,NA,NA
0.3854221861,-0.1402797458,1.71,1.649,8.93,2.064,-1747.5,102,9.56,1.56,NA,NA,NA,NA
0.2828683312,0.1158485066,1.47,1.75,9.53,2.561,-1864.214286,104,11.71,1.33,NA,NA,NA,NA
0.4079466628,-0.1345546661,1.88,1.547,8.29,2.154,-1980.928571,106,9.98,1.47,NA,NA,NA,NA
0.6867485548,-0.05745093537,1.59,1.983,10.78,2.35,-2097.642857,108,10.85,1.35,NA,NA,NA,NA
0.61829931,-0.29228007,1.81,1.748,9.51,2.156,-2214.357143,110,9.99,1.31,NA,NA,NA,NA
0.2809384164,-0.1877531671,1.64,1.624,8.78,2.209,-2331.071429,112,10.23,1.36,NA,NA,NA,NA
0.3092019338,-0.1476990297,1.62,1.659,8.99,2.042,-2447.785714,114,9.44,1.58,NA,NA,NA,NA
0.6721876867,0.1718540448,1.8,1.796,9.79,2.479,-2564.5,116,11.38,1.46,NA,NA,NA,NA
0.7022468329,NA,1.73,1.877,10.23,NA,-2708.357143,118,NA,1.49,NA,NA,NA,NA
0.328529367,0.1618986608,1.66,1.644,8.9,2.308,-2852.214286,120,10.67,1.61,NA,NA,NA,NA
0.8457786596,NA,1.74,1.992,10.82,NA,-2996.071429,122,NA,1.73,NA,NA,NA,NA
0.5187090781,0.1491586909,1.91,1.601,8.64,2.047,-3139.928571,124,9.47,1.87,NA,NA,NA,NA
0.6930710299,0.2790229427,1.83,1.789,9.75,2.121,-3283.785714,126,9.82,1.92,NA,NA,NA,NA
0.6254376138,0.4873624178,1.66,1.872,10.2,2.473,-3427.642857,128,11.36,1.78,NA,NA,NA,NA
0.6425460723,-0.2976990297,1.8,1.774,9.66,2.041,-3571.5,130,9.44,1.43,NA,NA,NA,NA
0.4005949455,-0.09161592578,1.34,1.952,10.62,1.958,-3715.357143,132,9.03,1.73,NA,NA,NA,NA
