d18O (permil),year (AD),depth (cm),d18O (permil),year (AD),depth (cm)
-1.51,1849.7,5,0.74,1877,4
-0.3,1753.5,8,0.98,1796.2,8
-0.56,1689.4,10,-0.21,1724.8,12
-1.81,1625.3,12,-2.42,1653.3,16
-1.07,1561.2,14,-3.77,1581.8,20
-0.59,1497.1,16,-0.72,1510.3,24
-0.82,1433,18,-3.78,1438.9,28
-3.83,1336.8,21,-0.47,1367.4,32
-2.26,1240.6,24,0.69,1294.1,36
-1.17,1144.5,27,-6.4,1258.4,38
-1.07,1048.3,30,0.56,1186.9,42
-1.29,952.1,33,-5.21,1079.7,48
-0.54,856,36,-5.08,1026.1,51
1.61,759.8,39,-2.85,901,58
-1.66,663.6,42,-0.64,829.6,62
-2.28,567.5,45,0.02,758.1,66
-1.39,471.3,48,-0.36,686.6,70
-2.22,375.1,51,0.73,611.7,75
-1.6,291.7,54,0.92,579.7,78
-1.28,233.7,57,0.48,515.8,84
-0.4,175.7,60,-3.3,483.9,87
-1.14,117.7,63,-1.45,420,93
-1.55,59.7,66,-2.52,366.7,98
-2.7,1.7,69,-3.92,324.1,102
-1.99,-56.3,72,-3.25,281.5,106
-1.69,-114.3,75,-1.27,238.9,110
-0.58,-172.3,78,-0.09,196.3,114
0.01,-230.3,81,-0.3,153.7,118
-1.43,-288.3,84,-2.35,111.1,122
-0.6,-346.3,87,-4.17,68.5,126
-0.15,-404.3,90,-3.09,4.5,132
-0.09,-462.3,93,-2.41,-38.1,136
0.82,-520.3,96,-2.56,-102,142
1.05,-578.3,99,-0.62,-144.6,146
-0.09,-636.3,102,-1.83,-187.2,150
-2.33,-694.3,105,0.3,-229.8,154
-2.06,-752.3,108,0.08,-283.1,159
-2.74,-822.5,111,-1.73,-347,165
-3.28,-917,114,-2.64,-400.2,170
-0.27,-1011.4,117,-0.17,-442.8,174
1.97,-1105.9,120,-0.49,-474.8,177
-2.99,-1200.4,123,-0.29,-538.7,183
-0.21,-1294.9,126,-0.76,-634.6,192
-1.05,-1389.3,129,NA,NA,NA
-0.55,-1483.8,132,NA,NA,NA
0.22,-1578.3,135,NA,NA,NA
-0.54,-1672.7,138,NA,NA,NA
0.41,-1767.2,141,NA,NA,NA
-1.11,-1861.7,144,NA,NA,NA
0.79,-1956.2,147,NA,NA,NA
0.2,-2050.6,150,NA,NA,NA
0.76,-2145.1,153,NA,NA,NA
-0.89,-2239.6,156,NA,NA,NA
-0.46,-2334.1,159,NA,NA,NA
-0.29,-2428.5,162,NA,NA,NA
0,-2523,165,NA,NA,NA
-1.86,-2600.2,168,NA,NA,NA
-2.04,-2677.5,171,NA,NA,NA
-2.46,-2754.7,174,NA,NA,NA
-2.14,-2832,177,NA,NA,NA
-0.91,-2909.2,180,NA,NA,NA
-2.87,-2986.5,183,NA,NA,NA
-2.2,-3063.7,186,NA,NA,NA
-0.47,-3141,189,NA,NA,NA
-0.62,-3218.2,192,NA,NA,NA
1.38,-3295.5,195,NA,NA,NA
0.86,-3372.7,198,NA,NA,NA
-1.69,-3450,201,NA,NA,NA
-0.74,-3527.2,204,NA,NA,NA
-0.33,-3604.5,207,NA,NA,NA
0.52,-3681.7,210,NA,NA,NA
-0.48,-3759,213,NA,NA,NA
0.03,-3836.2,216,NA,NA,NA
-0.62,-3913.5,219,NA,NA,NA
-3.87,-4005.2,222,NA,NA,NA
-2.43,-4126,225,NA,NA,NA
-0.55,-4246.7,228,NA,NA,NA
-0.31,-4367.4,231,NA,NA,NA
0.46,-4488.1,234,NA,NA,NA
0.37,-4608.8,237,NA,NA,NA
-0.08,-4729.5,240,NA,NA,NA
1.89,-4850.2,243,NA,NA,NA
1.62,-4971,246,NA,NA,NA
0.64,-5091.7,249,NA,NA,NA
2.08,-5212.4,252,NA,NA,NA
0.16,-5333.1,255,NA,NA,NA
0.85,-5453.8,258,NA,NA,NA
2.02,-5614.8,262,NA,NA,NA
4.88,-5735.5,265,NA,NA,NA
3.93,-5976.9,271,NA,NA,NA
1.04,-6097.6,274,NA,NA,NA
3.46,-6218.3,277,NA,NA,NA
2.54,-6258.6,278,NA,NA,NA
1.29,-6379.3,281,NA,NA,NA
1.73,-6540.2,285,NA,NA,NA
1.91,-6620.7,287,NA,NA,NA
0.84,-6741.4,290,NA,NA,NA
1.32,-6830,293,NA,NA,NA
