d18O (permil),year (AD),depth (cm)
2.09,1847,2
0.49,1767,6.2
3.05,1687,12.1
3.22,1607,18
-2.19,1487,26.9
-2.18,1407,32.8
1.33,1288,41.7
0.24,1208,47.6
1.34,1101,56.5
1.24,1048,62.4
2.11,968,71.3
2.89,915,77.2
1.49,835,86.1
3.08,782,92
1.56,571,114
1.21,531,118
0.73,450,126
-0.41,410,130
-0.29,370,134
-1.5,310,140
-2.69,270,144
-0.22,209,150
-0.61,169,154
-1.63,109,160
-1.3,69,164
-1.89,9,170
-1.24,-32,174
-1.07,-92,180
1.05,-132,184
1.03,-192,190
3.87,-232,194
1.05,-293,200
1.4,-333,204
-1,-393,210
0.65,-534,224
1.03,-554,226
2.25,-594,230
2.99,-654,236
5.04,-694,240
2.55,-755,246
2.34,-835,254
0.89,-855,256
0.94,-895,260
1.55,-935,264
2.5,-996,270
4.24,-1056,276
-3.5,-1096,280
-2.77,-1156,286
-4.14,-1196,290
-3.09,-1257,296
-1.4,-1297,300
-0.02,-1357,306
-0.26,-1397,310
0.96,-1458,316
-3.44,-1518,322
-3.73,-1558,326
-2.9,-1618,332
0.63,-1658,336
1.72,-1719,342
2.46,-1759,346
1.72,-1819,352
2.84,-1859,356
2.79,-1920,362
3.41,-1960,366
-1.6,-2020,372
-4.35,-2060,376
-1.82,-2120,382
-0.83,-2161,386
-3.13,-2221,392
-2.37,-2261,396
-3.51,-2321,402
-0.93,-2345,406
-1.79,-2381,412
-1.01,-2393,414
0.98,-2440,422
-0.87,-2548,440
0.28,-2608,450
-2.12,-2667,460
-2.28,-2727,470
-2.44,-2786,480
-0.73,-2846,490
-1.2,-2906,500
-1.79,-2965,510
-2.71,-3025,520
-2.2,-3085,530
-1.03,-3109,534
-2.56,-3216,552
-2.36,-3276,562
-3.97,-3335,572
-3.83,-3395,582
-2.02,-3455,592
-2.64,-3514,602
-2.18,-3611,612
2.23,-3708,622
-0.49,-3805,632
1.37,-3902,642
0.53,-3998,652
1.21,-4095,662
2.63,-4192,672
1.46,-4289,682
1.04,-4386,692
-0.04,-4483,702
-2.19,-4580,712
-1.22,-4676,722
-0.42,-4696,724
-1.71,-4773,732
0.31,-4812,736
-1.18,-4870,742
-2.08,-4967,752
-0.57,-5064,762
-3.29,-5161,772
-1.94,-5248,781
-2.65,-5325,789
-2.55,-5403,797
-1.95,-5480,805
-2.31,-5558,813
-2.1,-5635,821
-0.51,-5713,829
0.45,-5790,837
0.27,-5868,845
-4.66,-5945,853
-5.26,-6023,861
-2.77,-6061,865
-1.63,-6100,869
-2.22,-6187,878
-2.26,-6265,886
