temperature (degC),year (AD),depth (cm),Mg_Ca (mmol/mol),d18O (permil),d18O (permil)
25.35,1950,0,4.398,0.9170833333,-1.53
25.07872,1937.667,0.5,4.29028,1.215566667,-1.175
24.09505,1925.334,1,3.926788,0.3146354167,-1.871
24.41133,1913.001,1.5,4.040174,0.9465270833,-1.305
24.25175,1900.668,2,3.982561,1.16528125,-1.053
24.28197,1888.335,2.5,3.993409,1.236577083,-0.988
23.94941,1876.002,3,3.875654,0.98129375,-1.174
23.37666,1863.669,3.5,3.680936,0.9899708333,-1.046
23.81937,1851.336,4,3.83056,1.097202083,-1.031
23.99571,1839.003,4.5,3.891838,1.155939583,-1.009
23.93785,1826.67,5,3.871623,1.088885417,-1.064
23.90573,1814.337,5.5,3.860449,0.89819375,-1.248
23.07621,1802.004,6,3.582734,0.5223770833,-1.451
23.4416,1789.671,6.5,3.702513,1.0375,-1.012
23.6538,1777.338,7,3.773904,0.9247083333,-1.169
23.66252,1765.005,7.5,3.776867,1.224525,-0.871
24.35483,1752.672,8,4.019679,1.09975625,-1.14
22.81007,1740.339,8.5,3.497938,0.62693125,-1.291
23.66215,1728.006,9,3.776741,0.7034479167,-1.392
23.84961,1715.673,9.5,3.841,0.6715020833,-1.463
22.19555,1703.34,10,3.309731,0.80690625,-0.983
22.92163,1691.007,10.5,3.533237,0.7371729167,-1.204
23.01598,1678.674,11,3.563367,1.124829167,-0.836
NA,1666.341,11.5,NA,NA,-1.183
23.67885,1654.008,12,3.782419,1.313927083,-0.785
23.38893,1641.675,12.5,3.685002,1.115527083,-0.923
22.39776,1629.342,13,3.370516,0.5140333333,-1.318
NA,1617.009,13.5,NA,NA,-1.017
24.29568,1604.676,14,3.998338,0.8314333333,-1.396
23.36001,1592.343,14.5,3.675425,0.4765020833,-1.556
23.71412,1580.01,15,3.794445,1.066275,-1.04
24.66308,1567.677,15.5,4.132759,0.845975,-1.458
23.69684,1555.344,16,3.788548,1.016675,-1.086
24.34053,1543.011,16.5,4.014509,0.8117770833,-1.425
23.53215,1530.678,17,3.732808,0.5623645833,-1.506
23.54567,1518.345,17.5,3.737353,0.68118125,-1.39
23.55112,1506.012,18,3.739188,0.8553166667,-1.217
22.70754,1493.679,18.5,3.46581,0.3045708333,-1.592
