dD (permil),year (AD),depth (cm),dD (permil),dD (permil),dD (permil)
−148,1465,0,−142,−148,−136
−140,1224,30,−134,−140,−127
−147,904,70,−141,−147,−134
NA,663,100,NA,NA,NA
−150,503,120,−144,−150,−137
−157,262,150,−150,−157,−144
−149,102,170,−143,−149,−136
−163,-139,200,−157,−163,−150
−145,-275,230,−139,−145,−133
−147,-360,260,−141,−147,−135
−148,-472,300,−142,−148,−135
−166,-529,320,−159,−166,−153
−152,-613,350,−146,−152,−139
−161,-674,380,−155,−161,−135
−148,-757,430,−142,−148,−149
−142,-806,460,−136,−142,−129
NA,-873,500,NA,NA,NA
