depth_top (mm),year (AD),age (BP),depth_bot (mm),d18O (permil),thickness (mm)
0,1950,0,65,-13.03,65
65,1820.4,129.6,112,-12.97,47
112,1723.7,226.3,150,-12.97,38
150,1643.7,306.3,200,-13.43,50
200,1536,414,252,-13.16,52
252,1421,529,300,-13.205,48
300,1312.2,637.8,342,-13.38,42
342,1214.9,735.1,382,-13.15,40
382,1120.3,829.7,450,-13.24,68
450,955.4,994.6,502,-13.2,52
502,825.9,1124.1,565,-13.055,63
565,664.8,1285.2,604,-13.195,39
604,562.9,1387.1,653,-13.3,49
653,432.4,1517.6,691,-13.195,38
691,329.3,1620.7,747,-12.885,56
747,174.5,1775.5,791,-13.165,44
791,50.4000000000001,1899.6,840,-13.35,49
840,-90.4000000000001,2040.4,882,-13.23,42
882,-213.2,2163.2,920,-12.85,38
920,-326,2276,969,-13.04,49
969,-473.9,2423.9,1032,-13.045,63
1032,-668,2618,1097,-13.63,65
1097,-872.9,2822.9,1159,-13.275,62
1159,-1072.7,3022.7,1206,-13.42,47
1206,-1227.1,3177.1,1270,-13.48,64
1270,-1441.4,3391.4,1330,-13.52,60
1330,-1646.2,3596.2,1390,-13.44,60
1390,-1855.4,3805.4,1445,-13.3,55
1445,-2050.6,4000.6,1480,-13.29,35
1480,-2176.6,4126.6,1532,-13.47,52
1532,-2366.3,4316.3,1581,-13.69,49
1581,-2547.8,4497.8,1636,-13.51,55
1636,-2757.8,4707.8,1680,-13.26,44
1680,-2922.8,4872.8,1738,-13.3,58
1738,-3147.6,5097.6,1779,-13.42,41
1779,-3308.8,5258.8,1829,-13.34,50
1829,-3507.9,5457.9,1882,-13.53,53
1882,-3722,5672,1928,-13.24,46
1928,-3910.4,5860.4,1972,-12.9,44
1972,-4092.9,6042.9,2013,-13.11,41
2013,-4264.8,6214.8,2072,-13.28,59
2072,-4515.6,6465.6,2119,-13.92,47
2119,-4718.2,6668.2,2157,-13.06,38
2157,-4883.8,6833.8,2203,-12.72,46
2203,-5086.4,7036.4,2250,-13.03,47
2250,-5295.8,7245.8,2293,-12.96,43
2293,-5489.6,7439.6,2345,-13.07,52
2345,-5726.8,7676.8,2380,-13.07,35
2380,-5881.1,7831.1,2420,-13.1,40
2420,-6091.22222222222,8041.22222222222,2470,-12.69,50
2470,-6354,8304,2516,-12.77,46
2516,-6595.75555555556,8545.75555555556,2580,-12.77,64
2580,-6932.11111111111,8882.11111111111,2630,-12.36,50
2630,-7194.88888888889,9144.88888888889,2670,-12.17,40
2670,-7414.28571428571,9364.28571428571,2709,-11.95,39
2709,-7637.14285714286,9587.14285714286,2745,-11.565,36
2745,-7842.85714285714,9792.85714285714,2785,-11.4,40
2785,-8071.4285714286,10021.4285714286,2842,-11.29,57
2842,-8165,10115,2899,-11.03,57
2899,-8236.25,10186.25,2940,-10.99,41
