d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1]
-4.477,1882,-4.556,1905
-4.221,1883,-4.39,1906
-4.426,1884,-4.405,1907
-4.488,1885,-4.214,1908
-4.421,1886,-4.242,1909
-4.47,1887,-4.488,1910
-4.567,1888,-4.58,1911
-4.467,1889,-4.644,1912
-4.656,1890,-4.305,1913
-4.534,1891,-4.352,1914
-4.739,1892,-4.619,1915
-4.489,1893,-4.175,1916
-4.516,1894,-4.521,1917
-4.325,1895,-4.449,1918
-4.391,1896,-4.619,1919
-4.551,1897,-4.443,1920
-4.407,1898,-4.605,1921
-4.415,1899,-4.431,1922
-4.501,1900,-4.583,1923
-4.513,1901,-4.359,1924
-4.388,1902,-4.445,1925
-4.34,1903,-4.439,1926
-4.378,1904,-4.357,1927
-4.323,1905,-4.615,1928
-4.608,1906,-4.604,1929
-4.334,1907,-4.26,1930
-4.426,1908,-4.39,1931
-4.367,1909,-4.346,1932
-4.321,1910,-4.148,1933
-4.466,1911,-4.471,1934
-4.439,1912,-4.083,1935
-4.375,1913,-4.571,1936
-4.603,1914,-4.31,1937
-4.181,1915,-4.345,1938
-4.286,1916,-4.699,1939
-4.325,1917,-4.613,1940
-4.424,1918,-4.402,1941
-4.375,1919,-4.537,1942
-4.28,1920,-4.504,1943
-4.551,1921,-4.42,1944
-4.363,1922,-4.336,1945
-4.419,1923,-4.49,1946
-4.373,1924,-4.587,1947
-4.567,1925,-4.603,1948
-4.432,1926,-4.552,1949
-4.607,1927,-4.533,1950
-4.353,1928,-4.4427,1951
-4.428,1929,-4.795,1952
-4.366,1930,-4.605,1953
-4.427,1931,-4.516,1954
-4.423,1932,-4.358,1955
-4.306,1933,-4.48,1956
-4.256,1934,-4.6685,1957
-4.333,1935,-4.478,1958
-4.611,1936,-4.588,1959
-4.585,1937,-4.667,1960
-4.506,1938,-4.471,1961
-4.497,1939,-4.548,1962
-4.689,1940,-4.466,1963
-4.588,1941,-4.295,1964
-4.458,1942,-4.605,1965
-4.76,1943,-4.6615,1966
-4.639,1944,-4.71,1967
-4.343,1945,-4.503,1968
-4.433,1946,-4.557,1969
-4.368,1947,-4.446,1970
-4.608,1948,-4.552,1971
-4.6415,1949,-4.6235,1972
-4.675,1950,-4.618,1973
-4.477,1951,-4.544,1974
-4.456,1952,-4.541,1975
-4.607,1953,-4.423,1976
-4.214,1954,-4.552,1977
-4.592,1955,-4.516,1978
-3.984,1956,-4.617,1979
-4.466,1957,-4.499,1980
-4.675,1958,-4.535,1981
-4.625,1959,-4.747,1982
-4.48,1960,-4.584,1983
-4.407,1961,-4.533,1984
-4.516,1962,-4.635,1985
-4.676,1963,-4.773,1986
-4.555,1964,-4.534,1987
-4.479,1965,-4.7583,1988
-4.464,1966,-4.72,1989
-4.452,1967,-4.64,1990
-4.378,1968,-4.694,1991
-4.385,1969,-4.711,1992
-4.393,1970,-4.9225,1993
-4.693,1971,-4.6355,1994
-4.719,1972,NA,NA
-4.746,1973,NA,NA
-4.491,1974,NA,NA
-4.215,1975,NA,NA
-4.164,1976,NA,NA
-4.483,1977,NA,NA
-4.667,1978,NA,NA
-4.61,1979,NA,NA
-4.938,1980,NA,NA
-4.431,1981,NA,NA
-4.738,1982,NA,NA
-4.633,1983,NA,NA
-4.458,1984,NA,NA
-4.76,1985,NA,NA
-4.725,1986,NA,NA
-4.727,1987,NA,NA
-4.676,1988,NA,NA
-4.695,1989,NA,NA
-4.641,1990,NA,NA
-4.769,1991,NA,NA
-4.783,1992,NA,NA
-4.702,1993,NA,NA
-4.793,1994,NA,NA
