d18O (permil),year (AD),year (AD),year (AD)
23.82,1990,1990,1981
24.05,1980,1980,1971
23.59,1970,1970,1961
23.89,1960,1960,1951
23.25,1950,1950,1941
23.2,1940,1940,1931
24.46,1930,1930,1921
24.67,1920,1920,1911
23.99,1910,1910,1901
24.29,1900,1900,1891
24.86,1890,1890,1881
25.62,1880,1880,1871
24.67,1870,1870,1861
25.15,1860,1860,1851
25.27,1850,1850,1841
25.47,1840,1840,1831
25.07,1830,1830,1821
24.5,1820,1820,1811
25,1810,1810,1801
25.33,1800,1800,1791
25.79,1790,1790,1781
24.06,1780,1780,1771
24.55,1770,1770,1761
24.65,1760,1760,1751
24.82,1750,1750,1741
24.77,1740,1740,1731
24.31,1730,1730,1721
23.57,1720,1720,1711
24.04,1710,1710,1701
23.98,1700,1700,1691
22.98,1690,1690,1681
23.81,1680,1680,1671
23.54,1670,1670,1661
24.11,1660,1660,1651
24.03,1650,1650,1641
24.13,1640,1640,1631
24.27,1630,1630,1621
24.03,1620,1620,1611
23.46,1610,1610,1601
23.42,1600,1600,1591
23.63,1590,1590,1581
23.9,1580,1580,1571
24.5,1570,1570,1561
24.83,1560,1560,1551
24,1550,1550,1541
25.01,1540,1540,1531
24.48,1530,1530,1521
24.23,1520,1520,1511
24.45,1510,1510,1501
24.4,1500,1500,1491
23.97,1490,1490,1481
23.38,1480,1480,1471
23.87,1470,1470,1461
22.63,1460,1460,1451
23.33,1450,1450,1441
22.96,1440,1440,1431
23.92,1430,1430,1421
23.8,1420,1420,1411
23.64,1410,1410,1401
23.77,1400,1400,1391
24.12,1390,1390,1381
24.28,1380,1380,1371
24.12,1370,1370,1361
24.77,1360,1360,1351
24.34,1350,1350,1341
24.74,1340,1340,1331
24.82,1330,1330,1321
25.17,1320,1320,1311
24.54,1310,1310,1301
24.52,1300,1300,1291
25.07,1290,1290,1281
25.36,1280,1280,1271
25.16,1270,1270,1261
25.03,1260,1260,1251
24.17,1250,1250,1241
24.62,1240,1240,1231
24.19,1230,1230,1221
24.57,1220,1220,1211
25.21,1210,1210,1201
24.75,1200,1200,1191
24.86,1190,1190,1181
24.34,1180,1180,1171
25.32,1170,1170,1161
24.87,1160,1160,1151
24.83,1150,1150,1141
24.53,1140,1140,1131
24.66,1130,1130,1121
24.65,1120,1120,1111
24.44,1110,1110,1101
23.53,1100,1100,1091
23.71,1090,1090,1081
23.98,1080,1080,1071
24.88,1070,1070,1061
24.24,1060,1060,1051
23.38,1050,1050,1041
23.28,1040,1040,1031
23.73,1030,1030,1021
23.8,1020,1020,1011
24.58,1010,1010,1001
23.48,1000,1000,991
23.19,990,990,981
24.39,980,980,971
23.26,970,970,961
23.5,960,960,951
