d18O (permil),yearTop (AD),depth (cm),d18OUncertainty (),yearBottom ()
-2.237373,1851,0.5,0.271358,1843
-2.251169,1817,5,0.3271941,1800
-2.146882,1755,12,0.3979542,1737
-2.150333,1700,18,0.3411907,1681
-2.166492,1642,24,0.3981197,1622
-2.11925,1518,36,0.3034415,1496
-2.020278,1464,40.5,0.3560408,1452
-2.001417,1419,44.5,0.4528879,1407
-2.088348,1349,50.5,0.3537335,1337
-2.042917,1302,54.5,0.4060112,1290
-1.906823,1265,59,0.3902645,1240
-1.974795,1165,66,0.3590616,1139
-2.00406,1087,72,0.3340737,1060
-2.033027,923,84,0.3978888,895
-2.063718,823,91,0.3595167,793
-2.161528,734,97,0.2874188,704
