d18O (permil),year (AD),depth (cm),TIC (%),CaCO3 (%),d13C (‰)
-0.904,1980,0.5,2.12,17.67,3.619
-0.534,1977,1.5,1.84,15.33,3.533
-0.2675,1974,2.5,2.04,17,3.621
0.665,1971,3.5,2.12,17.67,3.917
1.68,1968,4.5,2.2,18.33,3.991
2.097,1965,5.5,2.42,20.17,3.855
0.53,1962,6.5,1.6,13.33,3.153
0.866,1959,7.5,1.69,14.08,3.225
1.962,1956,8.5,2.43,20.25,3.691
3.497,1953,9.5,2.82,23.5,4.008
3.286,1950,10.5,2.94,24.5,3.895
1.831,1947,11.5,1.95,16.25,3.376
1.978,1944,12.5,2.4,20,3.516
1.842,1941,13.5,2.32,19.33,3.466
1.274,1938,14.5,2.25,18.75,3.397
2.603,1935,15.5,2.99,24.92,3.609
2.523,1932,16.5,2.78,23.17,3.459
2.844,1929,17.5,3.04,25.33,3.426
2.3435,1926,18.5,2.78,23.17,3.234
2.049,1923,19.5,2.88,24,3.271
1.988,1920,20.5,2.9,24.17,3.206
2.18,1917,21.5,3.56,29.67,3.241
2.272,1914,22.5,3.83,31.92,3.35
1.671,1911,23.5,3.57,29.75,3.269
1.429,1907,24.5,3.63,30.25,3.362
0.346,1904,25.5,3.46,28.83,3.132
-0.5065,1901,26.5,3.68,30.67,3.058
-1.542,1898,27.5,3.53,29.42,2.896
-2.284,1895,28.5,2.74,22.83,2.76
-2.611,1892,29.5,2.21,18.42,2.738
-3.337,1889,30.5,2.01,16.75,2.412
-3.835,1886,31.5,1.65,13.75,1.653
-3.199,1883,32.5,2.07,17.25,2.223
-3.724,1880,33.5,1.78,14.83,1.584
-4.026,1877,34.5,1.3,10.83,1.222
-2.636,1874,35.5,2.13,17.75,2.67
-2.431,1871,36.5,2.75,22.92,2.678
-2.626,1868,37.5,1.93,16.08,2.783
-2.822,1865,38.5,2.51,20.92,2.667
-3.942,1862,39.5,1.82,15.17,1.85
-5.124,1859,40.5,1.21,10.08,1.5165
-5.235,1856,41.5,1.32,11,1.375
-4.844,1853,42.5,1.42,11.83,1.789
-4.542,1850,43.5,1.56,13,1.925
-3.853,1847,44.5,2.54,21.17,2.587
-4.042,1844,45.5,2.63,21.92,2.484
-4.31,1841,46.5,2.26,18.83,2.324
-4.552,1838,47.5,2.36,19.67,2.459
-4.6295,1835,48.5,2.03,16.92,2.3845
-5.207,1832,49.5,1.66,13.83,2.201
-4.718,1829,50.5,2.03,16.92,2.282
-5.378,1826,51.5,0.93,7.75,1.942
-5.664,1823,52.5,0.77,6.42,1.926
-5.615,1820,53.5,0.88,7.33,1.649
-6.81,1817,54.5,0.28,2.33,-2.263
-6.642,1814,55.5,0.51,4.25,-1.53
-5.1945,1811,56.5,1.51,12.58,1.671
-4.927,1808,57.5,1.38,11.5,1.758
-4.533,1804,58.5,1.88,15.67,2.462
-5.657,1801,59.5,1.53,12.75,1.465
-4.923,1798,60.5,1.74,14.5,2.562
-5.609,1795,61.5,1.03,8.58,1.186
-5.3185,1792,62.5,1.37,11.42,1.713
-4.299,1789,63.5,2.34,19.5,2.589
-4.188,1786,64.5,2.36,19.67,2.592
-4.51,1783,65.5,1.89,15.75,2.512
-5.873,1780,66.5,1.04,8.67,0.688
-5.608,1777,67.5,1.12,9.33,1.258
-5.568,1774,68.5,1.45,12.08,1.903
-6.905,1771,69.5,0.27,2.25,-3.903
-6.6755,1768,70.5,0.3,2.5,-2.6835
-5.217,1765,71.5,NA,NA,2.075
-4.979,1762,72.5,NA,NA,2.113
-4.561,1759,73.5,NA,NA,3.033
-4.183,1756,74.5,NA,NA,3.198
-5.599,1753,75.5,NA,NA,0.681
-5.369,1750,76.5,NA,NA,1.111
-4.484,1747,77.5,NA,NA,3.321
-4.147,1744,78.5,NA,NA,3.578
-3.418,1741,79.5,2.63,21.92,3.428
-3.524,1738,80.5,2.23,18.58,3.363
-3.707,1735,81.5,2.42,20.17,3.432
-4.125,1732,82.5,2.47,20.58,3.424
-4.183,1729,83.5,3.06,25.5,3.79
-4.364,1726,84.5,2.58,21.5,3.317
-4.206,1723,85.5,2.22,18.5,3.037
-4.19,1720,86.5,2.92,24.33,3.5605
-4.335,1717,87.5,2.53,21.08,3.107
-4.447,1714,88.5,2.23,18.58,3.361
-4.808,1711,89.5,2.37,19.75,3.134
-4.658,1708,90.5,3.42,28.5,3.163
-4.886,1705,91.5,2.86,23.83,2.788
-6.269,1701,92.5,0.13,1.08,-2.754
-7.162,1698,93.5,0.17,1.42,-4.155
-6.1545,1695,94.5,0.5,4.17,0.2045
-5.825,1692,95.5,0.87,7.25,1.814
-6.059,1689,96.5,1.01,8.42,1.186
-5.269,1686,97.5,1.38,11.5,2.92
-5.582,1683,98.5,0.66,5.5,0.78
-4.341,1680,99.5,1.28,10.67,2.603
-4.0935,1677,100.5,2.07,17.25,3.3165
-4.287,1674,101.5,1.81,15.08,2.875
-4.33,1671,102.5,2.02,16.83,3.424
-4.319,1668,103.5,2.37,19.75,3.572
-4.546,1665,104.5,2.07,17.25,3.19
-5.248,1662,105.5,1.26,10.5,2.692
-5.381,1659,106.5,1.36,11.33,2.168
-4.622,1656,107.5,2.18,18.17,3.168
-4.778,1653,108.5,2.38,19.83,3.697
-4.904,1650,109.5,2.08,17.33,3.342
-4.925,1647,110.5,2.05,17.08,3.589
-4.693,1644,111.5,2.58,21.5,3.476
-4.834,1641,112.5,2.3,19.17,3.486
-4.872,1638,113.5,2.23,18.58,3.421
-5.072,1635,114.5,1.8,15,3.024
-4.846,1632,115.5,1.96,16.33,3.435
-4.177,1629,116.5,1.93,16.08,3.5865
-3.493,1626,117.5,1.61,13.42,2.943
-2.76,1623,118.5,2.75,22.92,3.842
-3.162,1620,119.5,1.88,15.67,2.895
-4.236,1617,120.5,1.1,9.17,2.032
-4.193,1614,121.5,1.34,11.17,3.073
-4.448,1611,122.5,0.7,5.83,1.472
-2.49,1608,123.5,1.81,15.08,2.928
-3.1085,1605,124.5,1.56,13,3.455
-2.637,1602,125.5,2.24,18.67,3.836
-3.366,1598,126.5,2.64,22,3.417
-2.595,1595,127.5,2.67,22.25,3.818
-3.71,1592,128.5,1.96,16.33,3.355
-3.341,1589,129.5,2.14,17.83,3.207
-3.975,1586,130.5,1.3,10.83,2.802
