d18O (permil),year (AD),depth (m)
-30.17,1940,NA
-30.17,1920,NA
-30.17,1900,NA
-30.17,1880,NA
-30.17,1860,NA
-30.17,1840,NA
-30.17,1820,NA
-30.17,1800,NA
-30.17,1780,NA
-30.17,1760,NA
-30.17,1740,NA
-30.17,1720,NA
-30.17,1700,NA
-30.17,1680,NA
-30.17,1660,NA
-30.17,1640,NA
-30.17,1620,NA
-30.17,1600,NA
-30.17,1580,NA
-30.17,1560,NA
-30.17,1540,NA
-30.17,1520,NA
-30.17,1500,NA
-30.17,1480,NA
-30.17,1460,NA
-30.17,1440,NA
-30.17,1420,NA
-30.17,1400,NA
-30.17,1380,NA
-30.17,1360,NA
-30.17,1340,NA
-30.17,1320,NA
-30.17,1300,NA
-30.17,1280,NA
-30.17,1260,NA
-30.17,1240,NA
-30.17,1220,NA
-30.17,1200,NA
-30.17,1180,NA
-30.17,1160,NA
-30.17,1140,NA
-30.17,1120,NA
-30.17,1100,NA
-30.17,1080,NA
-30.17,1060,NA
-30.17,1040,NA
-30.17,1020,NA
-30.17,1000,NA
-30.17,980,NA
-30.17,960,NA
-30.17,940,NA
-30.17,920,NA
-30.17,900,NA
-30.17,880,NA
-30.17,860,NA
-30.17,840,NA
-30.17,820,NA
-30.17,800,NA
-30.17,780,NA
-30.17,760,NA
-30.17,740,NA
-30.17,720,NA
-30.17,700,NA
-30.17,680,NA
-30.17,660,NA
-30.17,640,NA
-30.17,620,NA
-30.17,600,NA
-30.17,580,NA
-30.17,560,NA
-30.17,540,NA
-30.17,520,NA
-30.17,500,NA
-30.17,480,NA
-30.17,460,NA
-30.17,440,NA
-30.17,420,NA
-30.17,400,NA
-30.17,380,NA
-30.17,360,NA
-30.17,340,NA
-30.17,320,NA
-30.17,300,NA
-30.17,280,NA
-30.17,260,NA
-30.17,240,NA
-30.17,220,NA
-30.17,200,NA
-30.17,180,NA
-30.17,160,NA
-30.17,140,NA
-30.17,120,NA
-30.17,100,NA
-30.17,80,NA
-30.17,60,NA
-30.17,40,NA
-30.17,20,NA
-30.17,0,NA
-30.17,-20,NA
-30.17,-40,NA
-30.17,-60,NA
-30.17,-80,NA
-30.17,-100,NA
-30.17,-120,NA
-30.17,-140,NA
-30.17,-160,NA
-30.17,-180,NA
-30.17,-200,NA
-30.17,-220,NA
-30.17,-240,NA
-30.17,-260,NA
-30.17,-280,NA
-30.17,-300,NA
-30.17,-320,NA
-30.17,-340,NA
-30.17,-360,NA
-30.17,-380,NA
-30.17,-400,NA
-30.17,-420,NA
-30.17,-440,NA
-30.17,-460,NA
-30.17,-480,NA
-30.17,-500,NA
-30.17,-520,NA
-30.17,-540,NA
-30.17,-560,NA
-30.17,-580,NA
-30.17,-600,NA
-30.17,-620,NA
-30.17,-640,NA
-30.17,-660,NA
-30.17,-680,NA
-30.17,-700,NA
-30.17,-720,NA
-30.17,-740,NA
-30.17,-760,NA
-30.17,-780,NA
-30.17,-800,NA
-30.17,-820,NA
-30.17,-840,NA
-30.17,-860,NA
-30.17,-880,NA
-30.17,-900,NA
-30.17,-920,NA
-30.17,-940,NA
-30.17,-960,NA
-30.17,-980,NA
-30.17,-1000,NA
-30.17,-1020,NA
-30.17,-1040,NA
-30.17,-1060,NA
-30.17,-1080,NA
-30.17,-1100,NA
-30.17,-1120,NA
-30.17,-1140,NA
-30.17,-1160,NA
-30.17,-1180,NA
-30.17,-1200,NA
-30.17,-1220,NA
-30.17,-1240,NA
-30.17,-1260,NA
-30.17,-1280,NA
-30.17,-1300,NA
-30.17,-1320,NA
-30.17,-1340,NA
-30.17,-1360,NA
-30.17,-1380,NA
-30.17,-1400,NA
-30.17,-1420,NA
-30.17,-1440,NA
-30.17,-1460,NA
-30.17,-1480,NA
-30.17,-1500,NA
-30.17,-1520,NA
-30.17,-1540,NA
-30.17,-1560,NA
-30.17,-1580,NA
-30.17,-1600,NA
-30.17,-1620,NA
-30.17,-1640,NA
-30.17,-1660,NA
-30.17,-1680,NA
-30.17,-1700,NA
-30.17,-1720,NA
-30.17,-1740,NA
-30.17,-1760,NA
-30.17,-1780,NA
-30.17,-1800,NA
-30.17,-1820,NA
-30.17,-1840,NA
-30.17,-1860,NA
-30.17,-1880,NA
-30.17,-1900,NA
-30.17,-1920,NA
-30.17,-1940,NA
-30.17,-1960,NA
-30.17,-1980,NA
-30.17,-2000,NA
-30.17,-2020,NA
-30.17,-2040,NA
-30.17,-2060,NA
-30.17,-2080,NA
-30.17,-2100,NA
-30.17,-2120,NA
-30.17,-2140,NA
-30.17,-2160,NA
-30.17,-2180,NA
-30.17,-2200,NA
-30.17,-2220,NA
-30.17,-2240,NA
-30.17,-2260,NA
-30.17,-2280,NA
-30.17,-2300,NA
-30.17,-2320,NA
-30.17,-2340,NA
-30.17,-2360,NA
-30.17,-2380,NA
-30.17,-2400,NA
-30.17,-2420,NA
-30.17,-2440,NA
-30.17,-2460,NA
-30.17,-2480,NA
-30.17,-2500,NA
-30.17,-2520,NA
-30.17,-2540,NA
-30.17,-2560,NA
-30.17,-2580,NA
-30.17,-2600,NA
-30.17,-2620,NA
-30.17,-2640,NA
-30.17,-2660,NA
-30.17,-2680,NA
-30.17,-2700,NA
-30.17,-2720,NA
-30.17,-2740,NA
-30.17,-2760,NA
-30.17,-2780,NA
-30.17,-2800,NA
-30.17,-2820,NA
-30.17,-2840,NA
-30.17,-2860,NA
-30.17,-2880,NA
-30.17,-2900,NA
-30.17,-2920,NA
-30.17,-2940,NA
-30.17,-2960,NA
-30.17,-2980,NA
-30.17,-3000,NA
-30.17,-3020,NA
-30.17,-3040,NA
-30.17,-3060,NA
-30.17,-3080,NA
-30.17,-3100,NA
-30.17,-3120,NA
-30.17,-3140,NA
-30.17,-3160,NA
-30.17,-3180,NA
-30.17,-3200,NA
-30.17,-3220,NA
-30.17,-3240,NA
-30.17,-3260,NA
-30.17,-3280,NA
-30.17,-3300,NA
-30.17,-3320,NA
-30.17,-3340,NA
-30.17,-3360,NA
-30.17,-3380,NA
-30.17,-3400,NA
-30.17,-3420,NA
-30.17,-3440,NA
