temperature (degC),year (AD),depth (cm),temperature (degC) [1-2],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
NA,NA,NA,25.7,-16355,1251,NA,3.84,NA
NA,NA,NA,25.4,-16377,1252,NA,3.74,NA
NA,NA,NA,25.4,-16399,1253,NA,3.75,NA
NA,NA,NA,25.8,-16443,1255,NA,3.88,NA
NA,NA,NA,25.6,-16465,1256,NA,3.8,NA
NA,NA,NA,25.3,-16487,1257,NA,3.71,NA
NA,NA,NA,25.6,-16531,1259,NA,3.82,NA
NA,NA,NA,25.1,-16553,1260,0.83,3.63,-1.16
NA,NA,NA,25.9,-16642,1264,NA,3.92,NA
NA,NA,NA,26.6,-16730,1268,NA,4.17,NA
NA,NA,NA,26,-16752,1269,NA,3.93,NA
NA,NA,NA,27.1,-16818,1272,NA,4.37,NA
NA,NA,NA,26.6,-16907,1276,NA,4.15,NA
NA,NA,NA,26.2,-16929,1277,NA,4.01,NA
NA,NA,NA,26.3,-16995,1280,NA,4.04,NA
NA,NA,NA,26.1,-17084,1284,NA,3.99,NA
NA,NA,NA,25.9,-17084,1284,NA,3.92,NA
NA,NA,NA,26.5,-17128,1286,1.36,4.12,-0.92
NA,NA,NA,25.8,-17172,1288,NA,3.86,NA
NA,NA,NA,25.7,-17194,1289,NA,3.83,NA
NA,NA,NA,25.6,-17239,1291,NA,3.81,NA
NA,NA,NA,25.1,-17261,1292,NA,3.64,NA
NA,NA,NA,25.8,-17283,1293,NA,3.86,NA
NA,NA,NA,26.3,-17327,1295,NA,4.06,NA
NA,NA,NA,26.6,-17349,1296,NA,4.17,NA
NA,NA,NA,26,-17372,1297,NA,3.95,NA
NA,NA,NA,26.2,-17416,1299,NA,4.01,NA
NA,NA,NA,26.2,-17438,1300,NA,4,NA
NA,NA,NA,26.2,-17527,1304,NA,4.01,NA
NA,NA,NA,25.8,-17616,1308,NA,3.88,NA
NA,NA,NA,27.3,-17683,1311,1.25,4.43,-1.2
NA,NA,NA,24.8,-17705,1312,NA,3.55,NA
NA,NA,NA,26.3,-17794,1316,NA,4.04,NA
NA,NA,NA,25,-17883,1320,NA,3.6,NA
NA,NA,NA,26,-17972,1324,NA,3.93,NA
NA,NA,NA,26.1,-18016,1326,NA,3.98,NA
NA,NA,NA,26.5,-18106,1330,NA,4.12,NA
NA,NA,NA,26.5,-18195,1334,NA,4.13,NA
NA,NA,NA,26.6,-18239,1336,1.51,4.17,-0.8
NA,NA,NA,26.8,-18284,1338,NA,4.23,NA
NA,NA,NA,25.8,-18329,1340,NA,3.86,NA
NA,NA,NA,26.1,-18418,1344,NA,3.99,NA
NA,NA,NA,26,-18507,1348,NA,3.96,NA
NA,NA,NA,27.1,-18597,1352,NA,4.35,NA
NA,NA,NA,26.6,-18686,1356,NA,4.17,NA
NA,NA,NA,26.2,-18775,1360,NA,4.02,NA
NA,NA,NA,26.9,-18798,1361,1.46,4.27,-0.9
NA,NA,NA,25.4,-18865,1364,NA,3.73,NA
NA,NA,NA,26.1,-18954,1368,NA,3.99,NA
NA,NA,NA,26.5,-19044,1372,NA,4.12,NA
NA,NA,NA,26,-19134,1376,NA,3.95,NA
NA,NA,NA,25.9,-19223,1380,NA,3.92,NA
NA,NA,NA,25.8,-19313,1384,NA,3.88,NA
NA,NA,NA,26.7,-19403,1388,1.39,4.19,-0.92
NA,NA,NA,25.9,-19492,1392,NA,3.9,NA
NA,NA,NA,26.3,-19582,1396,NA,4.04,NA
NA,NA,NA,26.8,-19672,1400,NA,4.25,NA
NA,NA,NA,25.8,-19919,1411,1.2,3.88,-0.94
