d18O (permil),year (AD),depth (cm),d13C (permil)
-5.25,2000,NA,NA
-5.3,1700,NA,NA
-5.05,1650,NA,NA
-5.42,1550,NA,NA
-5.62,1450,NA,NA
-5.75,1370,NA,NA
-5.51,1320,NA,NA
-5.49,1290,NA,NA
-5.43,1264,NA,NA
-5.44,1235,NA,NA
-5.29,1210,NA,NA
-5.3,1180,NA,NA
-5.32,1150,NA,NA
-5.07,1090,NA,NA
-5.2,1020,NA,NA
-5.48,870,NA,NA
-5.5,720,NA,NA
-5.55,650,NA,NA
-5.48,520,NA,NA
-5.37,390,NA,NA
-5.33,260,NA,NA
-5.31,0,NA,NA
-5.36,-240,NA,NA
-5.42,-360,NA,NA
-5.39,-480,NA,NA
-5.6,-600,NA,NA
-5.56,-760,NA,NA
-5.51,-930,NA,NA
-5.62,-1100,NA,NA
-5.41,-1200,NA,NA
-5.45,-1300,NA,NA
-5.4,-1400,NA,NA
-5.33,-1500,NA,NA
-5.49,-1540,NA,NA
-5.39,-1580,NA,NA
-5.28,-1620,NA,NA
-5.26,-1660,NA,NA
-5.51,-1720,NA,NA
-5.55,-1780,NA,NA
-5.52,-1800,NA,NA
-5.37,-1820,NA,NA
-5.4,-1860,NA,NA
-5.24,-1880,NA,NA
-5.23,-1900,NA,NA
-5.35,-1920,NA,NA
-5.31,-1940,NA,NA
-5.37,-1960,NA,NA
-5.25,-1980,NA,NA
-5.34,-2015,NA,NA
-5.36,-2030,NA,NA
-5.36,-2045,NA,NA
-5.47,-2060,NA,NA
-5.49,-2075,NA,NA
-5.42,-2100,NA,NA
-5.52,-2115,NA,NA
-5.42,-2130,NA,NA
-5.33,-2145,NA,NA
-5.31,-2160,NA,NA
-5.2,-2175,NA,NA
-5.39,-2190,NA,NA
-5.39,-2200,NA,NA
-5.52,-2235,NA,NA
-5.52,-2250,NA,NA
-5.5,-2265,NA,NA
-5.5,-2280,NA,NA
-5.52,-2295,NA,NA
-5.51,-2310,NA,NA
-5.54,-2320,NA,NA
-5.66,-2350,NA,NA
-5.82,-2380,NA,NA
-5.79,-2410,NA,NA
-5.6,-2440,NA,NA
-5.63,-2470,NA,NA
-5.5,-2500,NA,NA
-5.58,-2530,NA,NA
-5.78,-2560,NA,NA
-5.84,-2590,NA,NA
-5.98,-2620,NA,NA
-6.12,-2650,NA,NA
-6,-2700,NA,NA
-6.04,-2740,NA,NA
-6.02,-2775,NA,NA
-5.81,-2800,NA,NA
-5.8,-2810,NA,NA
-5.88,-2830,NA,NA
-5.74,-2840,NA,NA
-5.9,-2850,NA,NA
-5.89,-2870,NA,NA
-5.87,-2880,NA,NA
-5.83,-2890,NA,NA
-5.5,-2900,NA,NA
-5.19,-2910,NA,NA
-5.25,-2925,NA,NA
-5.36,-2940,NA,NA
-5.35,-2955,NA,NA
-5.77,-2970,NA,NA
-5.5,-2985,NA,NA
-5.5,-3000,NA,NA
-5.54,-3015,NA,NA
-5.87,-3045,NA,NA
-5.96,-3060,NA,NA
-5.6,-3078,NA,NA
-5.59,-3096,NA,NA
-5.84,-3114,NA,NA
-5.22,-3150,NA,NA
-5.22,-3168,NA,NA
-4.53,-3186,NA,NA
-5.08,-3206,NA,NA
-6.1,-3226,NA,NA
-6.04,-3246,NA,NA
-5.52,-3266,NA,NA
-5.68,-3286,NA,NA
-5.33,-3306,NA,NA
-5.29,-3326,NA,NA
-5.36,-3346,NA,NA
-5.57,-3366,NA,NA
-5.7,-3390,NA,NA
-5.88,-3436,NA,NA
-5.82,-3496,NA,NA
-5.73,-3576,NA,NA
-6,-3676,NA,NA
-5.89,-3776,NA,NA
-5.64,-3976,NA,NA
-5.7,-4100,NA,NA
-5.9,-4200,NA,NA
-6.09,-4300,NA,NA
-5.72,-4400,NA,NA
-5.58,-4500,NA,NA
-5.57,-4600,NA,NA
-5.55,-4700,NA,NA
-5.74,-4800,NA,NA
-5.31,-4900,NA,NA
-5.98,-5000,NA,NA
-6.01,-5100,NA,NA
-6.02,-5200,NA,NA
-6.32,-5320,NA,NA
-6.45,-5540,NA,NA
-6.58,-5630,NA,NA
-6.01,-5720,NA,NA
-6.26,-5910,NA,NA
-6.12,-6010,NA,NA
-5.54,-6100,NA,NA
-6.16,-6175,NA,NA
-6.08,-6230,NA,NA
-5.86,-6270,NA,NA
-5.96,-6305,NA,NA
-5.97,-6320,NA,NA
-5.98,-6340,NA,NA
-6.36,-6340,NA,NA
-6.12,-6355,NA,NA
-6.32,-6370,NA,NA
-6.21,-6405.5,NA,NA
-6.29,-6410,NA,NA
-6.43,-6415,NA,NA
-6.55,-6420,NA,NA
-6.06,-6425,NA,NA
-6.13,-6430,NA,NA
-6.14,-6435,NA,NA
-6.12,-6440,NA,NA
-6,-6445,NA,NA
-6.03,-6450,NA,NA
-6.22,-6455,NA,NA
-6.1,-6460,NA,NA
-6.27,-6465,NA,NA
-6.47,-6470,NA,NA
-6.16,-6480,NA,NA
-6.08,-6490,NA,NA
-6.14,-6500,NA,NA
-6.14,-6510,NA,NA
-6.03,-6520,NA,NA
-6.18,-6535,NA,NA
-6.2,-6550,NA,NA
-5.84,-6565,NA,NA
-5.77,-6580,NA,NA
-5.72,-6600,NA,NA
-5.74,-6620,NA,NA
-5.67,-6640,NA,NA
-6.23,-6670,NA,NA
-6.04,-6710,NA,NA
-6,-6760,NA,NA
-5.93,-6820,NA,NA
-5.67,-6900,NA,NA
-6.04,-7000,NA,NA
-5.92,-7140,NA,NA
-5.66,-7340,NA,NA
-6.08,-7590,NA,NA
-6.02,-7890,NA,NA
-5.98,-8240,NA,NA
-5.75,-8590,NA,NA
-5.47,-8990,NA,NA
-5.18,-9100,NA,NA
-4.48,-9200,NA,NA
-4.49,-9420,NA,NA
-4.27,-9940,NA,NA
-4.18,-10300,NA,NA
-4.07,-10650,NA,NA
-4.19,-11000,NA,NA
-4.4,-11360,NA,NA
-4.63,-11720,NA,NA
-5.7,-11800,NA,NA
-5.63,-12000,NA,NA
-6,-12230,NA,NA
-5.87,-12410,NA,NA
-5.61,-12700,NA,NA
-5.69,-12900,NA,NA
-5.13,-13100,NA,NA
-4.75,-13400,NA,NA
-4.49,-13710,NA,NA
-3.94,-13755,NA,NA
-5.07,-13795,NA,NA
-4.73,-13850,NA,NA
-4.29,-13910,NA,NA
-4.17,-13960,NA,NA
-4.49,-14020,NA,NA
-4.3,-14070,NA,NA
-3.8,-14130,NA,NA
-3.77,-14180,NA,NA
-3.78,-14240,NA,NA
-3.96,-14290,NA,NA
-3.97,-14350,NA,NA
-4.25,-14400,NA,NA
-4.06,-14420,NA,NA
-4.13,-14440,NA,NA
-3.76,-14460,NA,NA
-3.73,-14470,NA,NA
-3.83,-14490,NA,NA
-3.82,-14510,NA,NA
-3.79,-14530,NA,NA
-3.96,-14550,NA,NA
-4.12,-14570,NA,NA
-3.85,-14590,NA,NA
-3.79,-14610,NA,NA
-3.68,-14620,NA,NA
-3.72,-14640,NA,NA
-3.79,-14660,NA,NA
-3.59,-14680,NA,NA
-3.01,-14700,NA,NA
-3.43,-14720,NA,NA
-3.61,-14770,NA,NA
-3.72,-14780,NA,NA
-3.64,-14800,NA,NA
-3.51,-14820,NA,NA
-3.4,-14850,NA,NA
-3.26,-14870,NA,NA
-3.05,-14880,NA,NA
-3.31,-14920,NA,NA
-3.77,-14950,NA,NA
