d13C (permil),year (AD),depth (cm)
-3.63,2006,0
-3.81,2001.6,0.05
-3.86,1997.2,0.1
-3.77,1992.8,0.15
-4.15,1988.4,0.2
-4.43,1984,0.25
-4.37,1979.6,0.3
-3.91,1975.2,0.35
-4.47,1970.8,0.4
-3.69,1966.4,0.45
-3.81,1962,0.5
-3.84,1957.6,0.55
-3.96,1953.2,0.6
-3.81,1948.8,0.65
-3.78,1944.4,0.7
-3.59,1940,0.75
-3.61,1935,0.8
-3.54,1930,0.85
-3.37,1925,0.9
-3.49,1920,0.95
-3.41,1915,1
-3.15,1910,1.05
-3.15,1905,1.1
-3.49,1900,1.15
-3.61,1895,1.2
-3.85,1890,1.25
-4.21,1885,1.3
-3.97,1880,1.35
-3.91,1875,1.4
-3.87,1870,1.45
-3.33,1865,1.5
-3.4,1860,1.55
-3.64,1855,1.6
-3.52,1850,1.65
-3.44,1845,1.7
-3.71,1840,1.75
-3.87,1835,1.8
-3.88,1830,1.85
-3.36,1825,1.9
-2.71,1820,1.95
-2.5,1815,2
-2.79,1810,2.05
-2.86,1805,2.1
-2.54,1800,2.15
-2.36,1795,2.2
-2.88,1790,2.25
-3.19,1785,2.3
-2.19,1779.7,2.35
-2.61,1774.5,2.4
-2.74,1769.2,2.45
-2.29,1764,2.5
-2.17,1758.7,2.55
-1.9,1753.4,2.6
-2.03,1748.2,2.65
-1.6,1742.9,2.7
-2.05,1737.7,2.75
-2.47,1732.4,2.8
-3.06,1727.1,2.85
-3.51,1721.9,2.9
-3.13,1716.6,2.95
-3.42,1711.4,3
-3.51,1706.1,3.05
-3.69,1700.9,3.1
-3.5,1695.6,3.15
-3.57,1690.3,3.2
-3.36,1685.1,3.25
-3.25,1679.8,3.3
-3.55,1674.6,3.35
-4.18,1669.3,3.4
-4.68,1664,3.45
-4.38,1658.8,3.5
-4.58,1653.5,3.55
-4.04,1648.3,3.6
-4.25,1643,3.65
-3.71,1636.9,3.7
-3.86,1630.9,3.75
-3.66,1624.8,3.8
-3.87,1618.8,3.85
-3.8,1612.7,3.9
-4.56,1606.6,3.95
-4.3,1600.6,4
-3.9,1594.5,4.05
-4.19,1588.5,4.1
-4.28,1582.4,4.15
-4.05,1576.3,4.2
-4.24,1570.3,4.25
-4.78,1564.2,4.3
-4.68,1558.2,4.35
-3.93,1552.1,4.4
-3.98,1546,4.45
-4.33,1540,4.5
-4.28,1533.9,4.55
-4.21,1527.9,4.6
-3.93,1521.8,4.65
-3.92,1515.7,4.7
-4.05,1509.7,4.75
-4.37,1503.6,4.8
-4.8,1497.6,4.85
-4.6,1491.5,4.9
-4.51,1485.4,4.95
-4.3,1479.4,5
-4.77,1473.3,5.05
-4.95,1467.3,5.1
-5.01,1461.2,5.15
-4.63,1455.1,5.2
-4.55,1449.1,5.25
-4.59,1443,5.3
-4.88,1437,5.35
-4.72,1430.9,5.4
-4.22,1424.8,5.45
-4.12,1418.8,5.5
-4.33,1412.7,5.55
-4.02,1406.7,5.6
-4.54,1400.6,5.65
-4.61,1394.5,5.7
-4.54,1388.5,5.75
-4.77,1382.4,5.8
-4.51,1376.3,5.85
-4.08,1370.3,5.9
-4.03,1364.2,5.95
-4.19,1358.2,6
-4.21,1352.1,6.05
-4.33,1346,6.1
-4.3,1340,6.15
-4.69,1333.9,6.2
-4.18,1327.9,6.25
-4.62,1321.8,6.3
-4.28,1315.7,6.35
-4.16,1309.7,6.4
-4.49,1303.6,6.45
