dD (permil),year (AD)
-309.5080565,1995
-303.9172008,1994
-302.4586966,1993
-294.844,1992
-265.526,1991
-301.262,1990
-275.12,1989
-280.249,1988
-285.474,1987
-285.738,1986
-271.042,1985
-263.499,1984
-277.158,1983
-298.116,1982
-288.047,1981
-290.025,1980
-291.552,1979
-301.62,1978
-285.397,1977
-294.468,1976
-301.022,1975
-322.219,1974
-286.54,1973
-268.81,1972
-295.168,1971
-291.199,1970
-311.147,1969
-284.006,1968
-281.633,1967
-299.281,1966
-304.242,1965
-290.474,1964
-304.006,1963
-309.525,1962
-299.887,1961
-292.965,1960
-273.682,1959
-281.592,1958
-275.252,1957
-275.029,1956
-290.121,1955
-304.938,1954
-287.813,1953
-283.686,1952
-281.015,1951
-267.1,1950
-298.358,1949
-308.197,1948
-311.975,1947
-293.205,1946
-267,1945
-259.657,1944
-292.959,1943
-286.461,1942
-268.076,1941
-239.575,1940
-263.085,1939
-274.267,1938
-281.46,1937
-281.409,1936
-280.974,1935
-272.793,1934
-277.576,1933
-295.344,1932
-279.496,1931
-275.89,1930
-282.432,1929
-290.716,1928
-293.451,1927
-294.264,1926
-273.411,1925
-256.098,1924
-260.278,1923
-267.578,1922
-243.427,1921
-267.001,1920
-264.024,1919
-265.291,1918
-297.432,1917
-289.141,1916
-265.467,1915
-254.183,1914
-279.734,1913
-268.094,1912
-280.321,1911
-298.289,1910
-314.034,1909
-300.102,1908
-305.577,1907
-301.569,1906
-297.934,1905
-304.578,1904
-312.937,1903
-281.655,1902
-256.508,1901
-252.238,1900
-256.807,1899
-260.278,1898
-264.563,1897
-294.936,1896
-281.314,1895
-287.006,1894
-302.619,1893
-298.173,1892
-286.267,1891
-264.827,1890
-276.798,1889
-303.004,1888
-297.878,1887
-294.136,1886
-289.372,1885
-286.457,1884
-285.249,1883
-275.395,1882
-258.826,1881
-266.843,1880
-270.92,1879
-282.304,1878
-295.058,1877
-307.252,1876
-294.117,1875
-256.46,1874
-268.106,1873
-270.269,1872
-287.028,1871
-303.443,1870
-295.518,1869
-284.681,1868
-296.107,1867
-300.04,1866
-276.026,1865
-279.156,1864
-290.765,1863
-297.839,1862
-298.222,1861
-290.715,1860
-281.647,1859
-294.96,1858
-293.628,1857
-287.015,1856
-284.57,1855
-268.992,1854
-289.704,1853
-282.328,1852
-274.637,1851
-295.893,1850
-303.056,1849
-290.994,1848
-277.987,1847
-259.707,1846
-256.519,1845
-260.49,1844
-271.793,1843
-285.054,1842
-277.11,1841
-283.349,1840
-296.491,1839
-291.384,1838
-285.111,1837
-280.623,1836
-279.753,1835
-287.463,1834
-294.577,1833
-301.413,1832
-295.146,1831
-294.728,1830
-305.908,1829
-296.795,1828
-276.292,1827
-267.088,1826
-273.062,1825
-287.972,1824
-295.089,1823
-290.552,1822
-284.167,1821
-282.43,1820
-269.408,1819
-268.14,1818
-261.966,1817
-286.886,1816
-314.911,1815
-327.089,1814
-295.457,1813
-279.789,1812
-290.413,1811
-292.915,1810
-284.179,1809
-283.48,1808
-286.971,1807
-284.749,1806
-278.451,1805
-293.734,1804
-292.935,1803
-297.666,1802
-300.959,1801
-293.041,1800
-296.123,1799
-299.259,1798
-285.499,1797
-278.719,1796
-281.547,1795
-289.503,1794
-288.302,1793
-283.47,1792
-283.562,1791
-279.309,1790
-274.663,1789
-273.904,1788
-289.404,1787
-300.797,1786
-313.204,1785
-325.488,1784
-313.72,1783
-289.634,1782
-281.71,1781
-290.136,1780
-293.871,1779
-296.462,1778
-295.321,1777
-289,1776
-286.602,1775
-284.476,1774
-274.38,1773
-274.969,1772
-280.998,1771
-296.725,1770
-301.035,1769
-292.714,1768
-290.3,1767
-287.616,1766
-283.31,1765
-284.242,1764
-291.122,1763
-296.759,1762
-284.941,1761
-286.192,1760
-300.731,1759
-302.654,1758
-291.008,1757
-282.681,1756
-286.381,1755
-289.414,1754
-310.478,1753
-310.555,1752
-296.383,1751
-285.274,1750
-278.993,1749
-274.624,1748
-271.434,1747
-274.93,1746
-284.843,1745
-278.655,1744
-269.492,1743
-287.598,1742
-300.113,1741
-290.827,1740
-275.494,1739
-276.526,1738
-302.753,1737
-325.301,1736
-331.425,1735
-326.278,1734
-312.963,1733
-309.823,1732
-306.617,1731
-297.727,1730
-289.106,1729
-295.72,1728
-281.868,1727
-272.021,1726
-290.091,1725
-292.104,1724
-295.708,1723
-291.363,1722
-291.543,1721
-299.352,1720
-297.34,1719
-285.568,1718
-279.446,1717
-282.134,1716
-281.913,1715
-271.287,1714
-267.584,1713
-276.913,1712
-281.971,1711
-283.892,1710
-291.151,1709
-291.016,1708
-280.807,1707
-272.147,1706
-273.183,1705
-276.861,1704
-284.151,1703
-289.598,1702
-295.136,1701
-309.707,1700
-305.832,1699
-291.731,1698
-292.855,1697
-288.655,1696
-287.082,1695
-297.599,1694
-322.504,1693
-298.976,1692
-272.268,1691
-273.021,1690
-292.099,1689
-300.833,1688
-306.421,1687
-304.014,1686
-288.686,1685
-278.424,1684
-282.886,1683
-281.459,1682
-270.715,1681
-259.137,1680
-254.082,1679
-257.251,1678
-272.649,1677
-294.956,1676
-298.539,1675
-302.22,1674
-301.982,1673
-294.549,1672
-292.515,1671
-287.487,1670
-253.889,1669
-238.922,1668
-253.992,1667
-270.923,1666
-272.539,1665
-273.776,1664
-279.259,1663
-288.746,1662
-277.513,1661
-253.813,1660
-258.32,1659
-265.827,1658
-267.541,1657
-270.414,1656
-268.895,1655
-277.15,1654
-290.03,1653
-293.547,1652
-280.822,1651
-277.14,1650
-278.946,1649
-284.936,1648
-291.612,1647
-295.917,1646
-304.24,1645
-308.315,1644
-305.56,1643
-296.406,1642
-293.717,1641
-294.997,1640
-289.287,1639
-286.298,1638
-289.396,1637
-291.415,1636
-293.491,1635
-294.841,1634
-284.862,1633
-284.944,1632
-309.982,1631
-312.019,1630
-298.859,1629
-290.31,1628
-293.291,1627
-307.959,1626
-324.654,1625
-311.157,1624
-288.64,1623
-283.878,1622
-286.192,1621
-284.498,1620
-284.654,1619
-296.586,1618
-303.451,1617
-302.325,1616
-304.132,1615
-298.63,1614
-287.958,1613
-288.205,1612
-283.232,1611
-280.267,1610
-284.381,1609
-276.752,1608
-265.573,1607
-262.762,1606
-274.311,1605
-283.088,1604
-286.355,1603
-290.095,1602
-295.055,1601
-289.005,1600
-279.659,1599
-277.216,1598
-281.723,1597
-291.153,1596
-291.918,1595
-287.974,1594
-291.537,1593
-293.912,1592
-299.219,1591
-304.855,1590
-298.061,1589
-289.909,1588
-288.523,1587
-285.363,1586
-294.46,1585
-302.636,1584
-294.433,1583
-283.028,1582
-277.241,1581
-280.259,1580
-289.574,1579
-287.504,1578
-278.299,1577
-283.952,1576
-295.507,1575
-291.836,1574
-282.824,1573
-290.738,1572
-291.711,1571
-299.509,1570
-300.605,1569
-302.157,1568
-302.043,1567
-290.516,1566
-271.035,1565
-258.525,1564
-263.303,1563
-279.497,1562
-286.607,1561
-274.945,1560
-258.462,1559
-260.308,1558
-269.641,1557
-272.404,1556
-274.393,1555
-278.392,1554
-281.47,1553
-281.731,1552
-287.988,1551
-294.459,1550
-291.227,1549
-292.421,1548
-285.009,1547
-290.552,1546
-300.35,1545
-295.451,1544
-288.967,1543
-284.343,1542
-285.158,1541
-292.616,1540
-293.107,1539
-288.625,1538
-286.411,1537
-289.587,1536
-289.516,1535
-277.354,1534
-268.102,1533
-272.845,1532
-284.289,1531
-287.355,1530
-282.367,1529
-276.52,1528
-278.95,1527
-280.626,1526
-275.893,1525
-275.485,1524
-287.289,1523
-288.846,1522
-281.908,1521
-276.105,1520
-280.583,1519
-287.437,1518
-290.426,1517
-290.304,1516
-287.297,1515
-280.71,1514
-270.336,1513
-272.657,1512
-284.237,1511
-291.034,1510
-293.249,1509
-293.502,1508
-293.482,1507
-293.207,1506
-293.088,1505
-290.231,1504
-282.148,1503
-277.471,1502
-278.618,1501
-288.053,1500
-282.079,1499
-264.765,1498
-269.193,1497
-280.512,1496
-283.593,1495
-285.256,1494
-283.689,1493
-286.974,1492
-285.223,1491
-277.976,1490
-270.223,1489
-266.83,1488
-272.755,1487
-286.627,1486
-287.218,1485
-288.818,1484
-294.712,1483
-289.272,1482
-278.973,1481
-279.833,1480
-275.13,1479
-269.495,1478
-260.752,1477
-272.828,1476
-285.221,1475
-297.51,1474
-300.453,1473
-296.337,1472
-302.32,1471
-304.593,1470
-293.211,1469
-287.163,1468
-287.388,1467
-289.265,1466
-290.146,1465
-282.31,1464
-278.095,1463
-286.456,1462
-294.587,1461
-287.953,1460
-291.169,1459
-301.837,1458
-308.273,1457
-310.48,1456
-305.928,1455
-296.534,1454
-295.922,1453
-292.585,1452
-283.26,1451
-286.984,1450
-295.361,1449
-287.289,1448
-278.614,1447
-290.679,1446
-287.35,1445
-293.793,1444
-281.775,1443
-273.915,1442
-276.699,1441
-287.772,1440
-293.657,1439
-296.482,1438
-294.729,1437
-289.525,1436
-282.989,1435
-285.907,1434
-294.321,1433
-297.848,1432
-280.826,1431
-273.047,1430
-275.371,1429
-273.695,1428
-269.495,1427
-270.127,1426
-278.641,1425
-293.468,1424
-300.978,1423
-294.262,1422
-289.566,1421
-289.238,1420
-287.574,1419
-282.434,1418
-276.875,1417
-280.93,1416
-287.265,1415
-285.8,1414
-279.516,1413
-273.886,1412
-280.827,1411
-285.895,1410
-284.883,1409
-289.347,1408
-288.69,1407
-278.742,1406
-262.797,1405
-253.402,1404
-277.721,1403
-297.538,1402
-298.794,1401
-293.71,1400
-285.34,1399
-277.545,1398
-275.627,1397
-271.837,1396
-267.284,1395
-267.077,1394
-268.757,1393
-271.671,1392
-270.703,1391
-269.658,1390
-275.259,1389
-281.074,1388
-287.188,1387
-286.837,1386
-278.927,1385
-286.708,1384
-285.895,1383
-289.831,1382
-303.253,1381
-307.85,1380
-293.574,1379
-288.577,1378
-272.038,1377
-261.803,1376
-267.557,1375
-286.007,1374
-286.525,1373
-280.793,1372
-283.189,1371
-283.207,1370
-278.846,1369
-282.93,1368
-292.452,1367
-296.303,1366
-291.272,1365
-294.316,1364
-298.45,1363
-290.835,1362
-289.1,1361
-271.79,1360
-263.031,1359
-269.15,1358
-272.439,1357
-273.055,1356
-267.307,1355
-271.372,1354
-276.298,1353
-273.245,1352
-270.585,1351
-272.127,1350
-279.596,1349
-289.26,1348
-296.333,1347
-295.509,1346
-289.244,1345
-296.07,1344
-288.233,1343
-311.445,1342
-281.12,1341
-300.251,1340
-292.525,1339
-292.942,1338
-297.848,1337
-302.089,1336
-304.746,1335
-299.5,1334
-296.275,1333
-300,1332
-295.975,1331
-293.511,1330
-295.529,1329
-288.442,1328
-280.687,1327
-280.973,1326
-273.456,1325
-267.507,1324
-266.73,1323
-274.842,1322
-283.479,1321
-284.564,1320
-282.954,1319
-280.209,1318
-276.366,1317
-278.991,1316
-285.107,1315
-286.13,1314
-284.652,1313
-283.141,1312
-284.2,1311
-291.359,1310
-297.352,1309
-301.208,1308
-300.887,1307
-295.588,1306
-293.598,1305
-283.67,1304
-287.816,1303
-288.439,1302
-288.221,1301
-291.293,1300
-282.091,1299
-275.501,1298
-283.746,1297
-291.857,1296
-281.499,1295
