d18O (permil),year (AD),depth (cm)
29.8,1994,0.25
28.6,1968,0.75
28.4,1943,1.25
27,1918,1.75
25.8,1843,3.25
26,1818,3.75
27.3,1794,4.25
27.4,1769,4.75
27.3,1744,5.25
29.2,1387,12.75
29,1364,13.25
28.7,1341,13.75
28.1,1298,14.75
27.6,1254,15.75
29,1212,16.75
26.5,983,22.75
28.4,933,24.25
26.1,791,29.25
25.5,600,39.25
28.7,528,44.25
28.2,450,49.25
28.6,349,54.25
27.5,210,59.25
28.3,34,64.25
27.1,-170,69.25
25.2,-390,74.25
29.1,-611,79.25
28.8,-1005,89.25
28,-1307,99.25
28,-1542,109.25
28.4,-1737,119.25
28.7,-1919,129.25
29,-2105,138.75
28.6,-2380,149.75
28.5,-3086,168.75
28.5,-3532,178.75
28.4,-3601,180.25
29,-3967,188.25
29.6,-4414,198.25
28,-4803,207.25
28.6,-5223,217.25
27.4,-5632,227.25
28.1,-6423,247.25
29.4,-6809,257.25
28.3,-7173,266.75
29,-7554,276.75
