d18O (permil),year (AD),depth (mm),d13C (permil)
-8.747,1716,0.03,-3.445
-8.619,1713,0.06,-3.44
-8.686,1711,0.09,-3.42
-8.618,1709,0.12,-3.434
-8.695,1707,0.15,-3.438
-8.635,1704,0.18,-3.43
-8.766,1702,0.21,-3.468
-8.569,1700,0.24,-3.414
-8.701,1697,0.27,-3.457
-8.584,1695,0.3,-3.348
-8.811,1693,0.33,-3.464
-8.631,1691,0.36,-3.48
-8.728,1688,0.39,-3.402
-8.691,1684,0.45,-3.477
-8.772,1682,0.48,-3.603
-8.725,1679,0.51,-3.75
-8.864,1677,0.54,-3.76
-8.781,1675,0.57,-3.545
-8.969,1672,0.6,-3.819
-8.778,1670,0.63,-3.686
-8.924,1668,0.66,-3.77
-8.78,1666,0.69,-3.626
-8.897,1663,0.72,-3.588
-8.854,1661,0.75,-3.519
-8.94,1659,0.78,-3.363
-8.871,1656,0.81,-3.203
-9.061,1654,0.84,-3.29
-8.982,1652,0.87,-3.346
-9.078,1647,0.93,-3.226
-8.963,1645,0.96,-3.223
-8.994,1643,0.99,-3.218
-8.921,1640,1.02,-3.203
-8.915,1638,1.05,-3.245
-8.761,1636,1.08,-3.34
-8.958,1634,1.11,-3.404
-8.742,1631,1.14,-3.437
-8.814,1629,1.17,-3.471
-8.837,1627,1.2,-3.594
-8.82,1625,1.23,-3.669
-8.673,1622,1.26,-3.788
-8.844,1620,1.29,-3.789
-8.757,1618,1.32,-3.777
-8.807,1615,1.35,-3.923
-8.816,1613,1.38,-3.69
-8.821,1611,1.41,-3.852
-8.857,1609,1.44,-3.881
-8.876,1604,1.5,-3.779
-8.91,1602,1.53,-3.86
-8.983,1599,1.56,-3.93
-8.945,1597,1.59,-3.856
-9.085,1595,1.62,-3.922
-9.081,1593,1.65,-3.771
-9.133,1586,1.74,-3.659
-9.042,1583,1.77,-3.708
-9.098,1581,1.8,-3.781
-9.183,1579,1.83,-3.972
-9.016,1577,1.86,-3.621
-9.132,1574,1.89,-3.885
-9.023,1572,1.92,-3.599
-8.873,1570,1.95,-3.468
-8.943,1568,1.98,-3.58
-9.002,1565,2.01,-3.434
-8.915,1563,2.04,-3.324
-8.819,1561,2.07,-3.215
-8.781,1558,2.1,-3.186
-8.896,1556,2.13,-3.144
-8.872,1554,2.16,-3.409
-8.809,1552,2.19,-3.087
-8.952,1549,2.22,-3.432
-8.79,1547,2.25,-3.027
-8.956,1545,2.28,-3.354
-8.883,1542,2.31,-3.233
-8.871,1540,2.34,-3.125
-8.917,1538,2.37,-3.225
-8.747,1536,2.4,-3.263
-8.901,1533,2.43,-3.564
-8.725,1531,2.46,-3.139
-8.808,1529,2.49,-3.272
-8.72,1526,2.52,-3.076
-8.939,1524,2.55,-3.514
-8.719,1522,2.58,-3.329
-8.825,1520,2.61,-3.351
-8.725,1517,2.64,-3.298
-8.832,1515,2.67,-3.52
-8.834,1513,2.7,-3.44
-8.792,1511,2.73,-3.489
-8.852,1508,2.76,-3.492
-8.846,1506,2.79,-3.499
-8.809,1504,2.82,-3.571
-8.908,1501,2.85,-3.694
-8.837,1499,2.88,-3.608
-8.882,1497,2.91,-3.424
-8.923,1495,2.94,-3.594
-8.894,1492,2.97,-3.41
-8.901,1490,3,-3.506
-8.942,1488,3.03,-3.465
-8.94,1485,3.06,-3.355
-8.882,1483,3.09,-3.578
-8.949,1481,3.12,-3.211
-8.812,1479,3.15,-3.41
-8.837,1476,3.18,-3.218
-8.837,1474,3.21,-3.372
-8.759,1472,3.24,-3.315
-8.838,1469,3.27,-3.511
-8.735,1467,3.3,-3.036
-8.858,1465,3.33,-3.207
-8.717,1463,3.36,-3.017
-8.639,1458,3.42,-3.379
-8.623,1456,3.45,-3.086
-8.703,1454,3.48,-2.958
-8.8,1451,3.51,-2.915
-8.632,1449,3.54,-3.082
-8.793,1447,3.57,-3.146
-8.671,1444,3.6,-2.867
-8.736,1442,3.63,-3.435
-8.831,1440,3.66,-3.345
-8.719,1438,3.69,-3.197
-8.85,1435,3.72,-3.03
-8.848,1433,3.75,-3.128
-8.813,1431,3.78,-3.268
-8.754,1428,3.81,-3.232
-8.822,1426,3.84,-3.35
-8.819,1424,3.87,-3.301
-8.931,1422,3.9,-3.415
-8.944,1419,3.93,-3.417
-8.883,1417,3.96,-3.442
-8.791,1415,3.99,-3.434
-8.999,1413,4.02,-3.405
-8.927,1410,4.05,-3.323
-8.913,1408,4.08,-3.383
-8.927,1406,4.11,-3.427
-8.861,1404,4.14,-3.387
-8.825,1401,4.17,-3.349
-8.815,1399,4.2,-3.41
-8.845,1397,4.23,-3.469
-8.74,1395,4.26,-3.461
-8.832,1393,4.29,-3.471
-8.829,1390,4.32,-3.632
-8.913,1388,4.35,-3.547
-8.89,1386,4.38,-3.688
-8.802,1384,4.41,-3.761
-8.867,1381,4.44,-3.581
-8.902,1379,4.47,-3.372
-8.869,1377,4.5,-3.593
-8.829,1375,4.53,-4.049
-8.886,1372,4.56,-3.463
-8.888,1370,4.59,-3.921
-8.943,1368,4.62,-3.646
-9.02,1366,4.65,-4.244
-9.061,1363,4.68,-3.719
-8.928,1361,4.71,-3.805
-9.082,1359,4.74,-3.583
-9.002,1356,4.77,-3.774
-9.047,1354,4.8,-3.978
-8.954,1352,4.83,-3.731
-9.061,1350,4.86,-3.352
-9.066,1347,4.89,-3.585
-9.08,1345,4.92,-3.823
-8.923,1343,4.95,-3.416
-9.038,1341,4.98,-3.755
-8.986,1338,5.01,-3.331
-9.068,1336,5.04,-3.921
-8.975,1334,5.07,-3.394
-9.091,1331,5.1,-3.864
-8.983,1329,5.13,-3.325
-9.068,1327,5.16,-3.672
-9.014,1325,5.19,-3.524
-8.965,1322,5.22,-3.113
-8.903,1320,5.25,-3.072
-9.018,1318,5.28,-3.292
-9.011,1315,5.31,-3.029
-9.047,1313,5.34,-3.161
