deuteriumExcess (permil),year (AD),depth (cm)
28.96116,1997,NA
-0.43646,1996,NA
11.06178,1995,NA
33.09648,1994,NA
9.4654,1993,NA
25.62952,1992,NA
9.884032,1991,NA
11.55207,1990,NA
10.3754,1989,NA
10.15894133,1988,NA
9.48594,1987,NA
9.112252,1986,NA
8.716154286,1985,NA
11.091888,1984,NA
10.92643429,1983,NA
10.80942,1982,NA
11.51464444,1981,NA
7.409693333,1980,NA
8.494457143,1979,NA
7.19076,1978,NA
7.948266667,1977,NA
9.205845,1976,NA
8.12256,1975,NA
10.13772,1974,NA
8.12024,1973,NA
8.87136,1971,NA
7.85824,1970,NA
7.21352,1969,NA
8.84144,1968,NA
8.92312,1967,NA
10.56316,1966,NA
10.869952,1965,NA
10.14318667,1964,NA
8.954511429,1963,NA
10.8264,1962,NA
11.81078667,1961,NA
11.125536,1960,NA
11.48542571,1959,NA
12.1919,1958,NA
12.0512,1957,NA
12.880485,1956,NA
13.316872,1955,NA
13.066625,1954,NA
12.950552,1953,NA
11.72052667,1952,NA
12.854985,1951,NA
12.09018571,1950,NA
9.015092,1949,NA
12.23644,1948,NA
12.628155,1947,NA
10.86420667,1946,NA
9.09212,1945,NA
9.93872,1944,NA
10.26650667,1943,NA
9.357270769,1942,NA
11.91882667,1941,NA
8.415137778,1940,NA
9.6310175,1939,NA
10.54652,1938,NA
9.21273,1937,NA
9.61966,1936,NA
8.96708,1935,NA
10.75624571,1934,NA
10.4399,1933,NA
9.14536,1932,NA
8.96298,1931,NA
10.2784,1930,NA
7.715866667,1929,NA
10.53784667,1928,NA
11.10327636,1927,NA
13.2441,1926,NA
7.034146667,1925,NA
6.60224,1924,NA
5.00002,1923,NA
8.0871,1922,NA
5.02802,1921,NA
9.57212,1920,NA
8.814946667,1919,NA
9.49568,1918,NA
7.542795,1917,NA
8.644644444,1916,NA
9.40435,1915,NA
7.301906667,1914,NA
7.9478,1913,NA
6.99864,1912,NA
8.605004444,1911,NA
7.864702857,1910,NA
9.759792,1909,NA
7.5626,1908,NA
7.79273,1907,NA
10.35072,1906,NA
11.43098,1905,NA
9.68922,1904,NA
9.152336,1903,NA
7.552773333,1902,NA
8.36472,1901,NA
9.19272,1899,NA
8.13204,1898,NA
7.43348,1897,NA
6.94808,1896,NA
5.27417,1895,NA
6.6268,1894,NA
5.231226667,1893,NA
2.72008,1892,NA
5.55832,1891,NA
5.060066667,1890,NA
6.099575,1889,NA
12.08824,1888,NA
11.69466667,1887,NA
8.18794,1885,NA
10.37396,1884,NA
9.08596,1883,NA
11.17866,1882,NA
9.291706667,1881,NA
11.24902,1880,NA
8.53848,1879,NA
1.94932,1878,NA
9.67196,1877,NA
5.203,1876,NA
8.566506667,1875,NA
7.79754,1874,NA
8.08336,1873,NA
9.15582,1872,NA
