d18O (permil),year (AD),depth (cm),core (),d18O (permil)
1.3,2001,0,POS287_26-1B,-0.01
NA,1998,1,POS287_26-1B,-0.15
0.67,1995,2,POS287_26-1B,-0.43
NA,1992,3,POS287_26-1B,-0.22
0.74,1988,4,POS287_26-1B,-0.17
NA,1985,5,POS287_26-1B,0.08
0.56,1982,6,POS287_26-1B,0.05
NA,1979,7,POS287_26-1B,-0.04
0.54,1976,8,POS287_26-1B,-0.12
NA,1973,9,POS287_26-1B,-0.09
NA,1969,10,POS287_26-1B,0.01
NA,1966,11,POS287_26-1B,-0.06
0.67,1963,12,POS287_26-1B,0.1
NA,1960,13,POS287_26-1B,0.2
NA,1957,14,POS287_26-1B,0.06
0.91,1954,15,POS287_26-1B,0.31
NA,1950,16,POS287_26-1B,0.12
NA,1947,17,POS287_26-1B,0.38
NA,1944,18,POS287_26-1B,0.14
NA,1941,19,POS287_26-1B,-0.1
0.48,1938,20,POS287_26-1B,0.04
NA,1935,21,POS287_26-1B,-0.12
0.59,1932,22,POS287_26-1B,-0.07
NA,1928,23,POS287_26-1B,0.12
NA,1925,24,POS287_26-1B,0.15
NA,1922,25,POS287_26-1B,-0.28
0.7,1919,26,POS287_26-1B,0.15
NA,1916,27,POS287_26-1B,0.03
NA,1913,28,POS287_26-1B,0.26
0.84,1909,29,POS287_26-1B,0.08
NA,1906,30,POS287_26-1B,0.03
NA,1903,31,POS287_26-1B,-0.02
0.32,1900,32,POS287_26-1B,0.07
0.78,1903,18,POS287_26-3G,-0.24
0.74,1897,20,POS287_26-3G,0.05
NA,1894,21,POS287_26-3G,0.19
NA,1891,22,POS287_26-3G,0.18
NA,1888,23,POS287_26-3G,0.09
NA,1885,24,POS287_26-3G,-0.13
NA,1882,25,POS287_26-3G,0.4
NA,1879,26,POS287_26-3G,0.19
NA,1876,27,POS287_26-3G,0.32
NA,1873,28,POS287_26-3G,0.22
NA,1871,29,POS287_26-3G,0.22
NA,1868,30,POS287_26-3G,0.05
0.74,1865,31,POS287_26-3G,0.07
NA,1862,32,POS287_26-3G,0.24
NA,1859,33,POS287_26-3G,-0.04
NA,1856,34,POS287_26-3G,0.23
NA,1853,35,POS287_26-3G,0.16
NA,1850,36,POS287_26-3G,0.35
NA,1847,37,POS287_26-3G,0.3
NA,1844,38,POS287_26-3G,0.3
NA,1841,39,POS287_26-3G,0.39
0.88,1838,40,POS287_26-3G,0.25
NA,1835,41,POS287_26-3G,0.26
NA,1832,42,POS287_26-3G,0.28
NA,1829,43,POS287_26-3G,0.19
NA,1826,44,POS287_26-3G,0.19
NA,1823,45,POS287_26-3G,0.3
NA,1820,46,POS287_26-3G,0.32
NA,1817,47,POS287_26-3G,0.16
NA,1814,48,POS287_26-3G,0.16
NA,1811,49,POS287_26-3G,0.47
0.7,1808,50,POS287_26-3G,-0.1
NA,1805,51,POS287_26-3G,0.24
NA,1803,52,POS287_26-3G,0.21
NA,1800,53,POS287_26-3G,0.4
NA,1797,54,POS287_26-3G,0.35
NA,1794,55,POS287_26-3G,0.09
NA,1791,56,POS287_26-3G,0.2
NA,1788,57,POS287_26-3G,0.09
NA,1785,58,POS287_26-3G,0.05
NA,1782,59,POS287_26-3G,0.07
0.61,1779,60,POS287_26-3G,0.17
NA,1776,61,POS287_26-3G,0.13
NA,1773,62,POS287_26-3G,0.01
NA,1770,63,POS287_26-3G,0.11
NA,1767,64,POS287_26-3G,0.23
NA,1764,65,POS287_26-3G,0.17
NA,1761,66,POS287_26-3G,0.04
NA,1758,67,POS287_26-3G,0.17
NA,1755,68,POS287_26-3G,-0.23
NA,1752,69,POS287_26-3G,0.22
0.65,1749,70,POS287_26-3G,0.35
NA,1746,71,POS287_26-3G,0.33
NA,1743,72,POS287_26-3G,-0.04
NA,1740,73,POS287_26-3G,0.11
NA,1737,74,POS287_26-3G,0.15
NA,1735,75,POS287_26-3G,0.15
NA,1732,76,POS287_26-3G,0.53
NA,1729,77,POS287_26-3G,0.34
NA,1726,78,POS287_26-3G,0.41
NA,1723,79,POS287_26-3G,0.48
0.79,1720,80,POS287_26-3G,0.39
NA,1714,82,POS287_26-3G,0.27
NA,1711,83,POS287_26-3G,0.5
NA,1708,84,POS287_26-3G,0.29
NA,1705,85,POS287_26-3G,0.29
NA,1702,86,POS287_26-3G,0.39
NA,1695,87,POS287_26-3G,0.48
NA,1687,88,POS287_26-3G,0.41
NA,1680,89,POS287_26-3G,0.3
NA,1673,90,POS287_26-3G,0.28
0.99,1665,91,POS287_26-3G,0.26
NA,1658,92,POS287_26-3G,0.24
NA,1651,93,POS287_26-3G,0.25
NA,1643,94,POS287_26-3G,0.24
NA,1636,95,POS287_26-3G,0.39
NA,1621,97,POS287_26-3G,0.22
NA,1614,98,POS287_26-3G,0.06
NA,1607,99,POS287_26-3G,0.14
0.91,1599,100,POS287_26-3G,0.16
NA,1592,101,POS287_26-3G,0.42
NA,1585,102,POS287_26-3G,0.37
NA,1577,103,POS287_26-3G,0.11
NA,1570,104,POS287_26-3G,0.34
NA,1563,105,POS287_26-3G,0.35
NA,1555,106,POS287_26-3G,0.33
NA,1548,107,POS287_26-3G,0.1
NA,1541,108,POS287_26-3G,0.22
NA,1533,109,POS287_26-3G,0.4
0.86,1526,110,POS287_26-3G,0
NA,1519,111,POS287_26-3G,0.45
NA,1511,112,POS287_26-3G,0.11
NA,1504,113,POS287_26-3G,0.14
NA,1496,114,POS287_26-3G,0.25
NA,1489,115,POS287_26-3G,0.04
NA,1482,116,POS287_26-3G,0.26
NA,1474,117,POS287_26-3G,0.33
NA,1467,118,POS287_26-3G,0.34
NA,1460,119,POS287_26-3G,0.34
0.65,1452,120,POS287_26-3G,0.15
NA,1445,121,POS287_26-3G,-0.03
NA,1438,122,POS287_26-3G,0.2
NA,1430,123,POS287_26-3G,0.2
NA,1423,124,POS287_26-3G,0.08
NA,1416,125,POS287_26-3G,-0.13
NA,1408,126,POS287_26-3G,0.15
NA,1401,127,POS287_26-3G,-0.08
NA,1394,128,POS287_26-3G,0.2
NA,1386,129,POS287_26-3G,-0.49
0.57,1379,130,POS287_26-3G,-0.93
NA,1372,131,POS287_26-3G,-0.1
NA,1364,132,POS287_26-3G,0.22
NA,1357,133,POS287_26-3G,0.07
NA,1350,134,POS287_26-3G,0.06
NA,1342,135,POS287_26-3G,0.06
NA,1335,136,POS287_26-3G,-0.28
NA,1328,137,POS287_26-3G,0.16
NA,1320,138,POS287_26-3G,-0.17
NA,1313,139,POS287_26-3G,0.2
0.69,1306,140,POS287_26-3G,0.39
NA,1298,141,POS287_26-3G,0.45
NA,1291,142,POS287_26-3G,0.24
NA,1285,143,POS287_26-3G,-0.02
NA,1280,144,POS287_26-3G,0.18
NA,1274,145,POS287_26-3G,0
NA,1269,146,POS287_26-3G,0.21
NA,1263,147,POS287_26-3G,0.14
NA,1258,148,POS287_26-3G,0.06
NA,1252,149,POS287_26-3G,0.03
0.95,1247,150,POS287_26-3G,NA
NA,1291,251,D13902,0.43
NA,1282,252,D13902,0.32
NA,1274,253,D13902,0.23
NA,1265,254,D13902,0
NA,1257,255,D13902,-0.1
NA,1248,256,D13902,0.03
NA,1240,257,D13902,0.11
NA,1231,258,D13902,0.42
NA,1223,259,D13902,-0.1
NA,1214,260,D13902,0.63
NA,1206,261,D13902,0.3
NA,1197,262,D13902,0.01
NA,1189,263,D13902,0.38
NA,1180,264,D13902,0.33
NA,1172,265,D13902,0.01
NA,1163,266,D13902,0.36
