d18O (permil),year (BP),depth (cm)
-14.7,1899.2,4.5
-15.9,1786.4,14.5
-16,1643,25
-16.5,1405.6,40
-15.5,1247.4,50
-15.1,1089.1,60
-15.9,982.4,70
-14,927.3,80
-15,872.2,90
-13.6,817.1,100
-12.4,762,110
-12.2,687.2,120
-12.1,555.3,135
-11.7,467.4,145
-11.7,379.5,155
-11.3,291.6,165
-12.2,93.8,175
-13,-361.3,185
-12.2,-815.4,195
-11.6,-1269.5,205
-13.5,-2495.6,232
-12.9,-2754.4,240
-12.5,-3059.3,250
-11.3,-3364.2,260
-13.4,-3669.1,270
-14.1,-3974,280
-12.1,-4278.9,290
-13.4,-4583.8,300
-15,-4888.7,310
-14.3,-5193.6,320
-14,-5559.5,332
-12.5,-5819.4,340
-13.3,-6156.3,350
-13.6,-6493.1,360
-10.8,-6954,375
-12.4,-7068.8,385
-15.1,-7183.6,395
-14.7,-7413.2,415
