d18O (permil),year (AD),depth (cm)
-7.4642,2004.5,1.2
-7.7154,1927.6,88.2
-8.1198,1923.9,92.2
-5.7385,1885.7,135
-7.0799,1802.4,228.6
-7.6174,1758.6,277.6
-5.1085,1599.7,464
-7.4412,1590.1,475.9
-8.1066,1587.7,478.7
-7.5081,1585.5,481.6
-7.6131,1584.8,482.4
-7.7448,1584.1,483.3
-7.599,1584,483.6
-6.8109,1571.4,499.2
-7.3715,1520.6,562.9
-7.5442,1515.8,569
-8.2799,1511.9,573.9
-8.4279,1510,576.5
-8.41,1508.4,578.5
-7.9617000000000004,1505.3,582.5
-8.2103,1499,590.5
-7.7495,1496.7,593.4
-8.1872,1342.9,762.6
-8.5803,1327.8,778.5
-8.0734,1202.2,910.3
-7.678,1200,912.6
