d18O (permil),year (AD),depth (m)
-0.51,1842,0.004
-0.45,1834,0.015
-0.7,1826,0.025
-0.59,1818,0.036
-0.49,1810,0.046
-0.46,1802,0.056
-0.72,1794,0.067
-0.64,1786,0.077
-0.62,1778,0.087
-0.66,1770,0.098
-0.39,1762,0.108
-0.34,1754,0.118
-0.44,1746,0.129
-0.42,1738,0.139
-0.47,1730,0.149
-0.6,1722,0.159
-0.63,1714,0.17
-0.59,1706,0.18
-0.53,1698,0.19
-0.46,1690,0.2
-0.37,1682,0.211
-0.4,1674,0.221
-0.42,1666,0.231
-0.4,1658,0.241
-0.36,1650,0.251
-0.26,1642,0.261
-0.19,1634,0.271
-0.35,1626,0.281
-0.62,1618,0.292
-0.55,1610,0.302
-0.24,1602,0.312
-0.32,1594,0.322
-0.37,1586,0.332
-0.37,1578,0.342
-0.4,1570,0.352
-0.25,1562,0.362
-0.18,1554,0.372
-0.23,1546,0.382
-0.52,1538,0.392
-0.54,1530,0.402
-0.57,1522,0.412
-0.69,1514,0.422
-0.54,1506,0.431
-0.35,1498,0.441
-0.31,1490,0.451
-0.15,1482,0.461
-0.16,1474,0.471
-0.3,1466,0.481
-0.29,1458,0.491
-0.08,1450,0.5
-0.02,1442,0.51
-0.07,1434,0.52
-0.03,1426,0.53
-0.17,1418,0.54
-0.29,1410,0.549
-0.36,1402,0.559
-0.29,1394,0.569
-0.14,1386,0.579
-0.14,1378,0.588
-0.07,1370,0.598
-0.1,1362,0.608
0,1354,0.617
0.08,1346,0.627
0.13,1338,0.637
0.02,1330,0.646
0.05,1322,0.656
-0.07,1314,0.666
-0.21,1306,0.675
-0.26,1298,0.685
-0.2,1290,0.695
-0.7,1282,0.704
-0.39,1274,0.714
-0.32,1266,0.723
-0.35,1258,0.733
-0.53,1250,0.742
-0.5,1242,0.752
-0.37,1234,0.761
-0.27,1226,0.771
-0.24,1218,0.78
-0.28,1210,0.79
-0.15,1202,0.798
0.01,1194,0.806
-0.3,1186,0.818
-0.24,1178,0.828
-0.11,1170,0.837
-0.3,1162,0.847
-0.38,1154,0.856
-0.19,1146,0.865
-0.04,1138,0.875
-0.11,1130,0.884
-0.41,1122,0.894
-0.72,1114,0.903
-0.51,1106,0.914
-0.46,1098,0.935
-0.61,1090,0.957
-0.67,1082,0.98
-0.73,1074,1.003
-0.86,1066,1.025
-0.81,1058,1.048
-1.07,1050,1.07
-0.67,1042,1.092
-0.81,1034,1.114
-0.87,1026,1.135
-1.01,1018,1.159
-0.76,1010,1.181
-0.57,1002,1.203
-0.77,994,1.225
-0.69,986,1.247
-0.74,978,1.269
-0.62,970,1.291
-0.76,962,1.312
-0.73,954,1.334
-0.71,946,1.356
-0.64,938,1.377
-0.38,930,1.399
-0.1,922,1.421
-0.08,914,1.442
-0.04,906,1.463
-0.16,898,1.485
-0.35,890,1.506
-0.29,882,1.527
-0.5,874,1.549
-0.34,866,1.57
-0.67,858,1.591
-0.47,850,1.612
-0.52,842,1.633
-0.42,834,1.654
-0.21,826,1.675
-0.51,818,1.696
-0.45,810,1.717
-0.39,802,1.737
-0.35,794,1.758
-0.45,786,1.779
-0.35,778,1.8
-0.03,770,1.82
-0.18,762,1.841
-0.16,754,1.861
-0.37,746,1.882
-0.11,738,1.902
-0.05,730,1.923
-0.18,722,1.943
0.01,714,1.963
-0.05,706,1.984
0.09,698,2.004
0.05,690,2.024
0.12,682,2.044
-0.11,674,2.064
-0.41,666,2.084
-0.13,658,2.104
-0.35,650,2.124
-0.05,642,2.144
0.04,634,2.164
0.15,626,2.184
-0.3,618,2.204
-0.25,610,2.223
-0.03,602,2.243
-0.39,594,2.263
-0.22,586,2.282
-0.29,578,2.302
-0.63,570,2.322
-0.55,562,2.341
-0.67,554,2.361
-0.38,546,2.38
-0.65,538,2.4
-0.23,530,2.419
-0.49,522,2.438
-0.47,514,2.458
-0.52,506,2.477
-0.63,498,2.496
-0.53,490,2.515
-0.6,482,2.535
-0.3,474,2.554
-0.14,466,2.573
-0.27,458,2.589
-0.29,450,2.616
-0.44,442,2.63
-0.3,434,2.649
-0.29,426,2.668
-0.48,418,2.687
-0.39,410,2.705
-0.35,402,2.724
