d18O (permil),year (AD),depth (cm)
-8.23,2003,0
-8.19,2002,0.1
-8.15,2001,0.1
-8.02,2000,0.3
-7.98,1999,0.3
-7.95,1998,0.4
-8.13,1997,0.5
-8.09,1996,0.6
-8.06,1995,0.6
-8.07,1994,0.7
-8.08,1993,0.8
-8.23,1992,0.9
-8.23,1991,1
-8.23,1990,1
-7.92,1989,1.2
-8.4,1988,1.3
-8.51,1987,1.5
-8.18,1986,1.7
-8.32,1985,1.8
-8.34,1984,1.9
-8.37,1983,2
-8.22,1982,2.2
-8.25,1981,2.3
-8.31,1980,2.5
-8.19,1979,2.7
-8.17,1978,2.8
-8.21,1977,3
-8.29,1976,3.1
-8.39,1975,3.2
-8.15,1974,3.3
-8.09,1972,3.7
-8.12,1971,3.8
-8.25,1970,4
-8.15,1969,4.2
-8.21,1968,4.3
-8.28,1967,4.4
-8.33,1966,4.5
-8.07,1965,4.7
-8.32,1964,4.8
-8.21,1963,5
-8.29,1962,5.2
-8.36,1961,5.3
-8.25,1960,5.5
-8.37,1959,5.7
-8.27,1958,5.8
-8.13,1957,6
-8.15,1956,6.1
-8.17,1955,6.2
-8.23,1954,6.3
-8.28,1953,6.5
-8.31,1952,6.7
-8.58,1951,6.8
-8.3,1950,7
-8.37,1949,7.2
-8.4,1948,7.3
-8.01,1947,7.5
-8.19,1946,7.7
-8.12,1945,7.8
-8.05,1943,8
-8.21,1942,8.2
-8.17,1941,8.3
-7.91,1939,8.5
-8.1,1938,8.7
-7.9,1936,8.8
-7.8,1935,9
-8.03,1933,9.2
-8.18,1932,9.3
-8.06,1930,9.5
-8.24,1929,9.7
-8.2,1927,9.8
-8.02,1926,10
-8.06,1924,10.2
-8.3,1923,10.3
-8.09,1921,10.5
-8.08,1920,10.7
-8.15,1918,10.8
-8.46,1917,11
-8.18,1915,11.2
-8.24,1914,11.3
-8.22,1912,11.5
-8.21,1911,11.7
-8.21,1909,11.8
-8.18,1908,12
-8.03,1906,12.2
-8.25,1904,12.3
-8.26,1903,12.5
-8.12,1901,12.7
-8.35,1900,12.8
-8.19,1898,13
-8.31,1897,13.2
-8.49,1895,13.3
-8.5,1894,13.5
-8.47,1892,13.7
-8.33,1890,13.8
-8.4,1888,14
-8.19,1887,14.2
-8.31,1885,14.3
-8.24,1883,14.5
-8.31,1881,14.7
-8.41,1880,14.8
-8.21,1878,15
-8.25,1876,15.2
-8.17,1874,15.3
-8.16,1873,15.5
-8.16,1871,15.7
-8.11,1869,15.8
-8.1,1868,16
-8,1864,16.2
-8.03,1860,16.3
-7.92,1856,16.5
-7.86,1852,16.7
-8.09,1848,16.8
-8.04,1844,17
-7.95,1840,17.2
-8,1836,17.3
-8.39,1833,17.5
-8.3,1831,17.5
-8.03,1828,17.7
-7.96,1824,17.8
-8.1,1820,18
