dD (permil),year (AD),depth (cm)
-103.341,1985,0.5
-100.575,1976,1.5
-104.309,1960,3.5
-117.579,1951,4.5
-120.328,1943,5.5
-117.935,1926,7.5
-119.134,1910,9.5
-111.931,1901,10.5
-107.184,1893,11.5
-118.688,1885,12.5
-130.926,1869,14.5
-131.524,1860,15.5
-131.609,1852,16.5
-130.965,1844,17.5
-136.612,1836,18.5
-129.779,1828,19.5
-132.199,1820,20.5
-132.493,1812,21.5
-134.629,1804,22.5
-133.814,1781,25.5
-136.655,1773,26.5
-133.41,1766,27.5
-135.05,1758,28.5
-131.905,1751,29.5
-133.661,1743,30.5
-135.792,1736,31.5
-134.723,1728,32.5
-133.196,1721,33.5
-134.2,1707,35.5
-135.757,1699,36.5
-123.555,1692,37.5
-123.069,1685,38.5
-122.561,1678,39.5
-118.968,1664,41.5
-133.068,1637,45.5
-133.059,1631,46.5
-130.263,1624,47.5
-128.654,1618,48.5
-125.185,1611,49.5
-127.878,1605,50.5
-130.554,1598,51.5
-130.083,1558,57.965
-123.854,1533,62.255
-129.307,1516,65.115
-133.739,1485,70.835
-133.701,1462,75.125
-132.807,1427,82.275
-130.232,1420,83.705
-133.654,1407,86.565
-138.295,1388,90.855
-132.254,1382,92.285
-138.202,1370,95.145
-132.088,1352,99.435
-132.6,1347,100.865
-133.751,1336,103.725
-137.625,1314,109.445
-135.605,1304,112.305
-135.389,1284,118.025
-135.416,1274,120.885
-130.179,1259,125.175
-134.754,1254,126.605
-136.658,1244,129.465
-136.927,1209,138.045
-131.729,1186,142.335
-132.513,1178,143.765
-136.011,1160,146.625
-126.682,1126,151.25
-127.479,1116,152.39
-131.56,1096,154.67
-134.117,1049,159.23
-135.69,1023,161.51
-134.689,982,164.93
-134.387,968,166.07
-133.402,938,168.35
-130.459,892,171.77
-130.336,877,172.91
-125.287,845,175.19
-126.866,783,179.75
-125.01,751,182.03
-124.644,691,186.59
-118.533,661,188.87
-117.921,620,192.29
-130.151,606,193.43
-129.659,581,195.71
-123.819,535,200.27
-121.492,515,202.55
-119.092,486,205.97
-125.863,461,209.39
-124.256,437,212.81
-126.791,416,216.23
-123.126,389,220.79
-124.572,377,223.07
-126.791,358,226.49
-122.777,352,227.63
-129.195,340,229.91
-119.62,302,236.75
-112.134,211,250.43
