d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil)
-0.06,1971.54,NA,-0.06,-5.05
-0.11,1971.62,NA,-0.11,-5.07
0.12,1971.71,NA,0.12,-4.86
0.03,1971.79,NA,0.03,-5.21
0,1971.87,NA,0,-5.21
-0.3,1971.96,NA,-0.3,-5.8
-0.35,1972.04,NA,-0.35,-5.76
-0.34,1972.12,NA,-0.34,-5.66
-0.33,1972.21,NA,-0.33,-5.57
-0.3,1972.29,NA,-0.3,-5.49
-0.26,1972.37,NA,-0.26,-5.41
-0.24,1972.46,NA,-0.24,-5.32
-0.26,1972.54,NA,-0.26,-5.19
-0.27,1972.62,NA,-0.27,-5.11
-0.24,1972.71,NA,-0.24,-5.07
-0.19,1972.79,NA,-0.19,-5.16
0.02,1972.87,NA,0.02,-5.21
0.21,1972.96,NA,0.21,-5.27
0.04,1973.04,NA,0.04,-5.39
-0.11,1973.12,NA,-0.11,-5.44
-0.44,1973.21,NA,-0.44,-5.68
-0.41,1973.29,NA,-0.41,-5.64
-0.38,1973.37,NA,-0.38,-5.58
-0.48,1973.46,NA,-0.48,-5.45
-0.43,1973.54,NA,-0.43,-5.24
-0.38,1973.62,NA,-0.38,-5.13
-0.42,1973.71,NA,-0.42,-5.14
-0.02,1973.79,NA,-0.02,-5.25
-0.09,1973.87,NA,-0.09,-5.39
-0.16,1973.96,NA,-0.16,-5.61
-0.13,1974.04,NA,-0.13,-5.53
-0.27,1974.12,NA,-0.27,-5.55
-0.29,1974.21,NA,-0.29,-5.49
-0.18,1974.29,NA,-0.18,-5.37
-0.29,1974.37,NA,-0.29,-5.52
-0.25,1974.46,NA,-0.25,-5.51
-0.08,1974.54,NA,-0.08,-5.21
-0.05,1974.62,NA,-0.05,-5.02
-0.33,1974.71,NA,-0.33,-5.2
-0.21,1974.79,NA,-0.21,-5.08
0.18,1974.87,NA,0.18,-4.94
0.46,1974.96,NA,0.46,-5.12
0.17,1975.04,NA,0.17,-5.32
-0.11,1975.12,NA,-0.11,-5.44
-0.25,1975.21,NA,-0.25,-5.59
-0.2,1975.29,NA,-0.2,-5.65
-0.13,1975.37,NA,-0.13,-5.6
-0.06,1975.46,NA,-0.06,-5.46
0.05,1975.54,NA,0.05,-5.3
0.04,1975.62,NA,0.04,-5.24
-0.1,1975.71,NA,-0.1,-5.26
0.03,1975.79,NA,0.03,-5.23
0.14,1975.87,NA,0.14,-5.37
0.32,1975.96,NA,0.32,-5.33
0.1,1976.04,NA,0.1,-5.53
-0.07,1976.12,NA,-0.07,-5.53
-0.1,1976.21,NA,-0.1,-5.56
-0.18,1976.29,NA,-0.18,-5.75
-0.32,1976.37,NA,-0.32,-5.84
-0.18,1976.46,NA,-0.18,-5.65
-0.01,1976.54,NA,-0.01,-5.37
-0.11,1976.62,NA,-0.11,-5.18
-0.04,1976.71,NA,-0.04,-5.07
0.15,1976.79,NA,0.15,-4.95
-0.11,1976.87,NA,-0.11,-5.36
0.02,1976.96,NA,0.02,-5.49
-0.14,1977.04,NA,-0.14,-5.51
-0.31,1977.12,NA,-0.31,-5.62
-0.24,1977.21,NA,-0.24,-5.55
-0.44,1977.29,NA,-0.44,-5.68
-0.16,1977.37,NA,-0.16,-5.28
-0.05,1977.46,NA,-0.05,-5.23
0.19,1977.54,NA,0.19,-4.93
-0.07,1977.62,NA,-0.07,-5.04
-0.04,1977.71,NA,-0.04,-4.99
0.16,1977.79,NA,0.16,-5.1
-0.01,1977.87,NA,-0.01,-5.32
0.83,1977.96,NA,0.83,-4.66
0.73,1978.04,NA,0.73,-4.71
0.48,1978.12,NA,0.48,-4.88
0.27,1978.21,NA,0.27,-5.01
0.46,1978.29,NA,0.46,-4.74
0.7,1978.37,NA,0.7,-4.42
0.7,1978.46,NA,0.7,-4.34
0.67,1978.54,NA,0.67,-4.29
0.44,1978.62,NA,0.44,-4.44
0.26,1978.71,NA,0.26,-4.58
0.48,1978.79,NA,0.48,-4.84
0.04,1978.87,NA,0.04,-5.27
0.08,1978.96,NA,0.08,-5.47
0.2,1979.04,NA,0.2,-5.39
0.36,1979.12,NA,0.36,-5.22
0.61,1979.21,NA,0.61,-4.94
0.81,1979.29,NA,0.81,-4.67
0.97,1979.37,NA,0.97,-4.39
0.68,1979.46,NA,0.68,-4.59
0.2,1979.54,NA,0.2,-5.07
-0.02,1979.62,NA,-0.02,-5.25
-0.03,1979.71,NA,-0.03,-5.26
0.25,1979.79,NA,0.25,-5.26
0.65,1979.87,NA,0.65,-4.86
-0.03,1979.96,NA,-0.03,-5.64
-0.11,1980.04,NA,-0.11,-5.73
-0.08,1980.12,NA,-0.08,-5.7
0,1980.21,NA,0,-5.63
0.14,1980.29,NA,0.14,-5.48
0.34,1980.37,NA,0.34,-5.25
0.27,1980.46,NA,0.27,-5.21
-0.01,1980.54,NA,-0.01,-5.3
0.05,1980.62,NA,0.05,-5.12
0.15,1980.71,NA,0.15,-4.89
0.69,1980.79,NA,0.69,-4.51
0.28,1980.87,NA,0.28,-5.12
0.59,1980.96,NA,0.59,-4.87
0.86,1981.04,NA,0.86,-4.6
1.02,1981.12,NA,1.02,-4.45
1.04,1981.21,NA,1.04,-4.43
0.38,1981.29,NA,0.38,-5.05
0.11,1981.37,NA,0.11,-5.28
0.1,1981.46,NA,0.1,-5.18
0.02,1981.54,NA,0.02,-5.18
0.07,1981.62,NA,0.07,-5.05
0.23,1981.71,NA,0.23,-4.84
0.19,1981.79,NA,0.19,-4.92
0.45,1981.87,NA,0.45,-4.76
0.43,1981.96,NA,0.43,-5.01
0.2,1982.04,NA,0.2,-5.3
-0.03,1982.12,NA,-0.03,-5.36
0.32,1982.21,NA,0.32,-5.02
0.48,1982.29,NA,0.48,-4.97
0.18,1982.37,NA,0.18,-5.21
0.11,1982.46,NA,0.11,-5.28
0.02,1982.54,NA,0.02,-5.3
-0.02,1982.62,NA,-0.02,-5.01
-0.01,1982.71,NA,-0.01,-4.68
0.15,1982.79,NA,0.15,-4.62
0.22,1982.87,NA,0.22,-4.78
0.28,1982.96,NA,0.28,-4.96
0.59,1983.04,NA,0.59,-4.58
0.51,1983.12,NA,0.51,-4.54
0.08,1983.21,NA,0.08,-4.77
0.18,1983.29,NA,0.18,-4.48
0.02,1983.37,NA,0.02,-4.44
-0.28,1983.46,NA,-0.28,-4.61
0.11,1983.54,NA,0.11,-4.11
0.08,1983.62,NA,0.08,-4.08
0.17,1983.71,NA,0.17,-4.45
0.29,1983.79,NA,0.29,-4.83
-0.01,1983.87,NA,-0.01,-5.06
0.05,1983.96,NA,0.05,-5.22
0.15,1984.04,NA,0.15,-5.12
0.24,1984.12,NA,0.24,-5.03
-0.13,1984.21,NA,-0.13,-5.36
-0.29,1984.29,NA,-0.29,-5.44
-0.33,1984.37,NA,-0.33,-5.37
-0.32,1984.46,NA,-0.32,-5.42
-0.39,1984.54,NA,-0.39,-5.43
-0.18,1984.62,NA,-0.18,-5.14
-0.18,1984.71,NA,-0.18,-5.09
0.23,1984.79,NA,0.23,-4.92
0.3,1984.87,NA,0.3,-5.02
0.68,1984.96,NA,0.68,-4.84
0.57,1985.04,NA,0.57,-4.94
0.21,1985.12,NA,0.21,-5.26
-0.07,1985.21,NA,-0.07,-5.54
-0.15,1985.29,NA,-0.15,-5.58
-0.24,1985.37,NA,-0.24,-5.49
-0.02,1985.46,NA,-0.02,-5.29
-0.02,1985.54,NA,-0.02,-5.29
-0.05,1985.62,NA,-0.05,-5.28
0.07,1985.71,NA,0.07,-5.12
0.07,1985.79,NA,0.07,-5.19
0.27,1985.87,NA,0.27,-5.07
0.55,1985.96,NA,0.55,-5.03
0.55,1986.04,NA,0.55,-5.03
0.51,1986.12,NA,0.51,-5.04
0.52,1986.21,NA,0.52,-5.02
0.69,1986.29,NA,0.69,-4.72
0.86,1986.37,NA,0.86,-4.38
1.04,1986.46,NA,1.04,-4.03
0.75,1986.54,NA,0.75,-4.25
0.46,1986.62,NA,0.46,-4.5
0.14,1986.71,NA,0.14,-4.77
0.14,1986.79,NA,0.14,-4.81
-0.03,1986.87,NA,-0.03,-5.26
0.19,1986.96,NA,0.19,-5.35
-0.02,1987.04,NA,-0.02,-5.49
0.13,1987.12,NA,0.13,-5.3
-0.12,1987.21,NA,-0.12,-5.43
-0.14,1987.29,NA,-0.14,-5.52
-0.15,1987.37,NA,-0.15,-5.47
0.12,1987.46,NA,0.12,-5.07
0.16,1987.54,NA,0.16,-4.95
-0.07,1987.62,NA,-0.07,-5.11
0.08,1987.71,NA,0.08,-4.95
0.17,1987.79,NA,0.17,-5.07
0.31,1987.87,NA,0.31,-5.06
0.43,1987.96,NA,0.43,-5.11
0.19,1988.04,NA,0.19,-5.22
0.11,1988.12,NA,0.11,-5.27
-0.05,1988.21,NA,-0.05,-5.36
-0.05,1988.29,NA,-0.05,-5.4
-0.08,1988.37,NA,-0.08,-5.32
0,1988.46,NA,0,-5.07
0,1988.54,NA,0,-5.07
0.01,1988.62,NA,0.01,-4.99
0,1988.71,NA,0,-4.99
0.24,1988.79,NA,0.24,-5.03
0.2,1988.87,NA,0.2,-5.28
0.24,1988.96,NA,0.24,-5.42
-0.14,1989.04,NA,-0.14,-5.52
-0.2,1989.12,NA,-0.2,-5.51
-0.18,1989.21,NA,-0.18,-5.45
-0.05,1989.29,NA,-0.05,-5.28
0.36,1989.37,NA,0.36,-4.83
0.16,1989.46,NA,0.16,-4.99
-0.11,1989.54,NA,-0.11,-5.19
-0.15,1989.62,NA,-0.15,-5.15
-0.17,1989.71,NA,-0.17,-5.04
0.16,1989.79,NA,0.16,-5.03
0.27,1989.87,NA,0.27,-5.16
0.31,1989.96,NA,0.31,-5.47
-0.03,1990.04,NA,-0.03,-5.6
-0.11,1990.12,NA,-0.11,-5.52
-0.13,1990.21,NA,-0.13,-5.44
-0.14,1990.29,NA,-0.14,-5.59
-0.2,1990.37,NA,-0.2,-5.46
-0.15,1990.46,NA,-0.15,-5.34
-0.1,1990.54,NA,-0.1,-5.11
-0.1,1990.62,NA,-0.1,-4.95
-0.03,1990.71,NA,-0.03,-4.82
-0.02,1990.79,NA,-0.02,-4.85
0.31,1990.87,NA,0.31,-4.97
0.49,1990.96,NA,0.49,-5.05
0.07,1991.04,NA,0.07,-5.23
-0.06,1991.12,NA,-0.06,-5.29
-0.12,1991.21,NA,-0.12,-5.27
-0.23,1991.29,NA,-0.23,-5.31
-0.19,1991.37,NA,-0.19,-5.36
-0.05,1991.46,NA,-0.05,-5.28
0,1991.54,NA,0,-5.08
0.08,1991.62,NA,0.08,-4.92
0.07,1991.71,NA,0.07,-4.92
0.34,1991.79,NA,0.34,-5.11
-0.05,1991.87,NA,-0.05,-5.31
0.28,1991.96,NA,0.28,-5.3
0.18,1992.04,NA,0.18,-5.34
0.06,1992.12,NA,0.06,-5.37
-0.1,1992.21,NA,-0.1,-5.41
-0.16,1992.29,NA,-0.16,-5.36
-0.21,1992.37,NA,-0.21,-5.29
-0.26,1992.46,NA,-0.26,-5.21
-0.25,1992.54,NA,-0.25,-5.17
-0.24,1992.62,NA,-0.24,-5.12
-0.22,1992.71,NA,-0.22,-5.05
0.08,1992.79,NA,0.08,-4.93
0.15,1992.87,NA,0.15,-4.84
0.37,1992.96,NA,0.37,-5.25
0.28,1993.04,NA,0.28,-5.24
0.14,1993.12,NA,0.14,-5.29
0.05,1993.21,NA,0.05,-5.34
-0.16,1993.29,NA,-0.16,-5.4
-0.11,1993.37,NA,-0.11,-5.41
-0.13,1993.46,NA,-0.13,-5.52
-0.03,1993.54,NA,-0.03,-5.24
-0.13,1993.62,NA,-0.13,-5.07
-0.17,1993.71,NA,-0.17,-5
0.1,1993.79,NA,0.1,-4.84
0.37,1993.87,NA,0.37,-4.85
0.1,1993.96,NA,0.1,-5.37
0,1994.04,NA,0,-5.36
-0.12,1994.12,NA,-0.12,-5.39
-0.17,1994.21,NA,-0.17,-5.48
-0.14,1994.29,NA,-0.14,-5.52
-0.2,1994.37,NA,-0.2,-5.42
-0.17,1994.46,NA,-0.17,-5.2
-0.18,1994.54,NA,-0.18,-5.1
-0.29,1994.62,NA,-0.29,-4.99
-0.24,1994.71,NA,-0.24,-4.79
-0.31,1994.79,NA,-0.31,-4.75
0.14,1994.87,NA,0.14,-4.88
0.19,1994.96,NA,0.19,-5.08
-0.2,1995.04,NA,-0.2,-5.29
-0.32,1995.12,NA,-0.32,-5.35
-0.33,1995.21,NA,-0.33,-5.44
-0.31,1995.29,NA,-0.31,-5.41
-0.21,1995.37,NA,-0.21,-5.31
-0.06,1995.46,NA,-0.06,-5.17
-0.02,1995.54,NA,-0.02,-5.05
-0.17,1995.62,NA,-0.17,-4.99
-0.15,1995.71,NA,-0.15,-4.9
-0.01,1995.79,NA,-0.01,-5.04
0.34,1995.87,NA,0.34,-5.11
0.39,1995.96,NA,0.39,-5.27
0.08,1996.04,NA,0.08,-5.4
-0.03,1996.12,NA,-0.03,-5.43
0.06,1996.21,NA,0.06,-5.37
0.21,1996.29,NA,0.21,-5.11
0.14,1996.37,NA,0.14,-5.24
0.18,1996.46,NA,0.18,-5.25
0.11,1996.54,NA,0.11,-5.25
-0.02,1996.62,NA,-0.02,-5.15
-0.15,1996.71,NA,-0.15,-5.18
0.05,1996.79,NA,0.05,-5.22
0.22,1996.87,NA,0.22,-5.22
0.22,1996.96,NA,0.22,-5.44
0.03,1997.04,NA,0.03,-5.53
-0.07,1997.12,NA,-0.07,-5.65
-0.16,1997.21,NA,-0.16,-5.63
-0.12,1997.29,NA,-0.12,-5.51
-0.06,1997.37,NA,-0.06,-5.48
-0.21,1997.46,NA,-0.21,-5.6
-0.14,1997.54,NA,-0.14,-5.42
-0.14,1997.62,NA,-0.14,-5.23
-0.28,1997.71,NA,-0.28,-4.95
0,1997.79,NA,0,-4.96
0.24,1997.87,NA,0.24,-5.06
-0.02,1997.96,NA,-0.02,-5.49
0.01,1998.04,NA,0.01,-5.42
-0.03,1998.12,NA,-0.03,-5.38
-0.05,1998.21,NA,-0.05,-5.44
-0.13,1998.29,NA,-0.13,-5.44
0.04,1998.37,NA,0.04,-5.31
-0.07,1998.46,NA,-0.07,-5.22
-0.04,1998.54,NA,-0.04,-5.27
0.05,1998.62,NA,0.05,-5.18
-0.1,1998.71,NA,-0.1,-5.13
0.13,1998.79,NA,0.13,-5.22
0.3,1998.87,NA,0.3,-5.33
0.35,1998.96,NA,0.35,-5.43
0.06,1999.04,NA,0.06,-5.64
-0.13,1999.12,NA,-0.13,-5.76
-0.26,1999.21,NA,-0.26,-5.8
-0.4,1999.29,NA,-0.4,-5.79
-0.54,1999.37,NA,-0.54,-5.61
-0.36,1999.46,NA,-0.36,-5.43
-0.32,1999.54,NA,-0.32,-5.19
-0.21,1999.62,NA,-0.21,-5.15
-0.47,1999.71,NA,-0.47,-5.26
0.1,1999.79,NA,0.1,-5.29
-0.33,1999.87,NA,-0.33,-5.75
-0.27,1999.96,NA,-0.27,-5.85
-0.26,2000.04,NA,-0.26,-5.77
-0.26,2000.12,NA,-0.26,-5.7
-0.28,2000.21,NA,-0.28,-5.59
-0.34,2000.29,NA,-0.34,-5.49
-0.27,2000.37,NA,-0.27,-5.42
-0.18,2000.46,NA,-0.18,-5.33
-0.13,2000.54,NA,-0.13,-5.28
-0.15,2000.62,NA,-0.15,-5.26
-0.22,2000.71,NA,-0.22,-5.25
0.03,2000.79,NA,0.03,-5.16
0.07,2000.87,NA,0.07,-5.29
0.09,2000.96,NA,0.09,-5.53
-0.24,2001.04,NA,-0.24,-5.71
-0.12,2001.12,NA,-0.12,-5.66
-0.26,2001.21,NA,-0.26,-5.57
-0.33,2001.29,NA,-0.33,-5.6
-0.22,2001.37,NA,-0.22,-5.63
-0.21,2001.46,NA,-0.21,-5.48
-0.13,2001.54,NA,-0.13,-5.24
-0.12,2001.62,NA,-0.12,-5.12
-0.4,2001.71,NA,-0.4,-5.27
-0.04,2001.79,NA,-0.04,-5.23
-0.02,2001.87,NA,-0.02,-5.42
0.06,2001.96,NA,0.06,-5.64
-0.35,2002.04,NA,-0.35,-5.86
-0.5,2002.12,NA,-0.5,-5.8
-0.53,2002.21,NA,-0.53,-5.92
-0.51,2002.29,NA,-0.51,-5.94
-0.27,2002.37,NA,-0.27,-5.76
-0.05,2002.46,NA,-0.05,-5.52
-0.06,2002.54,NA,-0.06,-5.33
-0.12,2002.62,NA,-0.12,-5.25
-0.25,2002.71,NA,-0.25,-5.2
-0.14,2002.79,NA,-0.14,-5.17
0.1,2002.87,NA,0.1,-5.31
0.13,2002.96,NA,0.13,-5.53
-0.14,2003.04,NA,-0.14,-5.68
-0.27,2003.12,NA,-0.27,-5.67
-0.31,2003.21,NA,-0.31,-5.7
-0.32,2003.29,NA,-0.32,-5.79
-0.22,2003.37,NA,-0.22,-5.58
-0.02,2003.46,NA,-0.02,-5.33
-0.15,2003.54,NA,-0.15,-5.26
-0.18,2003.62,NA,-0.18,-5.18
-0.17,2003.71,NA,-0.17,-5.12
0.09,2003.79,NA,0.09,-5.14
0.11,2003.87,NA,0.11,-5.33
0.08,2003.96,NA,0.08,-5.54
0.05,2004.04,NA,0.05,-5.53
0.02,2004.12,NA,0.02,-5.53
0.01,2004.21,NA,0.01,-5.53
-0.01,2004.29,NA,-0.01,-5.52
-0.05,2004.37,NA,-0.05,-5.52
NA,2004.46,NA,NA,-5.51
