d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
-0.02,1715,0,-1.02,-1.11,-1.16
-0.1,1524.55,6.5,NA,-1.2,-0.84
0.04,1422,10,-1.49,-1.27,-1.2
-0.2,1240,16.5,NA,-1.49,-1.12
0.01,1142,20,-1.05,-1.39,-1.28
-0.06,992,26,NA,-1.01,-0.99
-0.03,892,30,-1,-1.32,-1.18
-0.23,733.4,36.5,NA,-1.47,-0.96
0.01,648,40,-1.59,-1.25,-1.2
-0.24,522,45,NA,-1.42,-1.22
-0.05,396,50,-1.53,-1.46,-1.35
-0.3,253,55,NA,-1.17,-1.09
-0.03,120,60,-1.14,-1.01,-1.29
-0.18,-32,65,NA,-1.38,-1.23
-0.02,-174,70,-1.23,-1.01,-1.25
-0.06,-327.5,75,NA,-1.36,-0.91
-0.13,-481,80,-1.47,-1.32,-1.27
0,-647,85,NA,-1.12,-1.11
-0.03,-813,90,-1.32,-1.16,-1.14
-0.28,-986.5,95,NA,-1.27,-0.93
0.04,-1160,100,-1.57,-1.11,-1.35
0.24,-1347,105,NA,-0.93,-1.1
-0.08,-1534,110,-1.46,-0.9,-1.24
-0.22,-1729,115,NA,-1.2,-0.76
-0.04,-1924,120,-1.56,-0.89,-1.06
-0.27,-2059.5,125,NA,-1.39,-0.87
0,-2295,130,-1.53,-1.15,-1.21
-0.35,-2483,135,NA,-1.35,-0.98
0.03,-2671,140,-1.52,-0.75,-1.09
-0.18,-2873.5,145,NA,-1.03,-0.93
0.04,-3076,150,-1.52,-1.04,-1.1
-0.27,-3252.8,154,NA,-0.98,-0.97
-0.54,-3518,160,-1.44,-0.95,-1.08
-0.02,-3576,165,NA,-1.28,-1.04
0.22,-3889.2,192,NA,-0.63,-0.77
0.02,-3924,195,NA,NA,-0.73
0.41,-3982,200,-1.78,-0.92,-0.95
0.01,-4222.5,205,NA,-1.21,-0.89
0.13,-4463,210,-1.36,-1.32,-0.8
0.16,-4675.5,215,NA,-1.63,-0.82
0.17,-4888,220,-1.75,-1.33,-0.78
0.05,-5081.5,225,NA,-0.82,-0.68
0.19,-5275,230,-1.25,-1.03,-0.63
0.04,-5467.5,235,NA,-1.09,-0.62
0.13,-5660,240,-0.88,-0.7,-0.64
0.49,-5837.5,245,NA,-0.48,-0.68
0.18,-6015,250,-1.19,-0.67,-0.51
0.14,-6200.4,256,NA,-1.15,-0.54
0.21,-6324,260,-1.3,-1.16,-0.61
-0.1,-6458.5,265,NA,-0.79,-0.69
0.57,-6593,270,-1.15,-0.73,-0.64
0.39,-6714,275,NA,-0.86,-0.62
0.14,-6835,280,-1.14,-0.48,-0.52
-0.02,-6942.5,285,NA,-0.2,-0.34
0.06,-7050,290,-1.12,-0.86,-0.44
0.41,-7144,297,NA,0.04,-0.49
0.21,-7238,300,-1.12,-0.88,-0.33
0.41,-7305,305,NA,-0.29,-0.3
0.05,-7398.8,312,-1.03,-0.62,-0.31
0.37,-7452.4,316,NA,-0.72,-0.29
0.23,-7506,320,NA,-0.42,-0.31
0.43,-7554,325,NA,-0.05,-0.03
0.25,-7602,330,NA,-0.59,-0.32
0.12,-7643,336,NA,-0.61,-0.14
0.29,-7684,340,NA,-0.51,-0.33
0.19,-7721,345,NA,-0.43,-0.24
0.61,-7758,350,NA,-0.3,-0.13
0.31,-7793.5,355,NA,-0.39,-0.04
0.49,-7829,360,NA,0.04,-0.19
0.5,-7863.5,365,NA,-0.03,-0.05
0.81,-7898,370,NA,-0.05,-0.04
0.55,-7931.5,375,NA,0.02,0.11
0.72,-7965,380,NA,0.07,-0.09
0.46,-7998.5,385,NA,NA,-0.06
0.69,-8032,390,NA,-0.1,-0.01
0.74,-8065,395,NA,-0.01,-0.02
0.67,-8098,400,NA,0.15,-0.31
0.44,-8132,406,NA,0.08,-0.05
0.71,-8166,410,-0.4,-0.04,-0.14
0.52,-8200.5,415,NA,0.37,0.04
0.53,-8235,420,-0.19,0.09,-0.01
0.62,-8271,425,NA,0.14,0.11
0.64,-8307,430,0.05,0.24,-0.03
0.55,-8344,435,NA,0.17,0.03
0.53,-8381,440,0.07,0.1,-0.16
0.64,-8419.5,445,NA,0.14,0.06
0.69,-8458,450,NA,0.1,0.02
0.41,-8498,455,NA,0.46,-0.06
0.68,-8538,460,NA,-0.16,-0.12
0.58,-8580.5,466.5,NA,0.55,0.04
0.68,-8623,470,NA,0.27,0.12
0.58,-8668,475,NA,0.18,-0.04
0.8,-8713,480,NA,0.09,-0.03
0.37,-8761,485,NA,-0.19,-0.23
0.62,-8809,490,-0.61,0.28,0.18
0.65,-8860.5,495,NA,0.17,-0.03
0.75,-8912,500,-0.2,0.1,-0.08
0.49,-8967.5,505,NA,-0.21,0.04
0.62,-9023,510,-0.17,0.09,0.23
0.49,-9083,515,NA,-0.22,0.25
0.64,-9143,520,-0.32,0.39,0.32
0.39,-9209.5,525,NA,-0.21,0.06
0.58,-9276,530,-0.38,0.47,0.09
0.41,-9350,535,NA,-0.39,-0.14
0.65,-9424,540,-0.15,-0.2,0.02
0.34,-9502,545,NA,-0.16,-0.17
0.88,-9580,550,-0.22,-0.73,0.11
0.35,-3894,555,NA,-0.48,NA
0.34,-9738,560,-0.21,0.64,-0.05
0.29,-9815,565,NA,0.06,0.04
0.99,-9892,570,-0.23,0.04,0.16
0.45,-4046,575,NA,-0.27,NA
0.71,-10042,580,-0.26,0.12,-0.03
0.6,-10114.5,585,NA,-0.38,-0.09
0.77,-10187,590,-0.15,0.11,0.11
0.45,-10258,595,0.3,-0.17,0
0.82,-10329,600,-0.14,0.6,-0.06
0.52,-10398,605,0.28,0.02,-0.01
0.86,-10467,610,0.16,0.58,0.09
0.58,-10534.5,615,0.27,0.63,0
0.99,-10602,620,-0.28,-0.19,0.14
1.01,-10734,630,NA,0.32,0.05
1.04,-10861,640,NA,0.6,0.06
1.1,-10922.5,645,0.71,0.4,0.11
1.04,-10984,650,NA,0.41,0.05
0.84,-11044,655,NA,-0.35,0.11
0.9,-11104,660,NA,0.14,-0.02
0.77,-11163,665,0.44,0.37,0.07
1.01,-11222,670,NA,0.23,0.01
0.93,-11280,675,0.38,0.57,-0.05
0.97,-11338,680,NA,0.5,0.01
0.85,-11395.5,685,0.56,0.21,-0.09
1,-11453,690,NA,0.41,0.01
0.78,-11510.5,695,0.42,-0.02,-0.07
0.9,-11568,700,0.24,0.61,-0.16
NA,-11620.5,705,NA,0.01,-0.34
1.03,-11683,710,0.48,0.22,-0.02
0.71,-11741.5,715,NA,-0.1,-0.2
0.96,-11800,720,NA,0.01,-0.21
0.63,-11920,730,0.07,0.45,-0.07
0.56,-11982,735,NA,-0.42,-0.25
0.62,-12044,740,0.21,0.26,-0.34
0.47,-12103,745,NA,-0.05,-0.23
0.47,-12162,750,0.18,0.43,-0.32
0.71,-12234.5,755.5,NA,0.36,-0.36
1.15,-12307,760,0.26,0.42,-0.55
0.46,-12378.5,765,NA,0.09,-0.56
0.67,-12450,770,0.28,0.64,-0.17
1.28,-12525.5,775.5,NA,0.44,0.18
0.98,-12601,780,0.08,0.38,0.16
1.01,-12681,786,NA,0.41,0.33
1,-12761,790,0.33,0.68,0.28
0.8,-12845.52,795,NA,0.73,0.29
1.21,-12931,800,0.38,0.53,0.22
0.89,-13021.5,805,NA,0.64,0.32
1.41,-13112,810,NA,0.74,0.36
0.86,-13207,815.5,NA,0.78,0.41
1.2,-13302,820,NA,0.75,0.23
0.95,-13403,825,NA,0.45,0.37
1.34,-13504,830,NA,0.82,0.37
0.71,-13610.5,835,NA,0.95,0.62
1.27,-13717,840,NA,0.78,0.37
0.65,-13829.5,845,NA,1.04,0.43
1.19,-13942,850,NA,0.8,0.31
1.03,-14061,855,NA,0.99,0.4
1.27,-14180,860,NA,0.91,0.33
1.3,-14306.5,865,NA,0.59,0.25
1.14,-14433,870,NA,0.79,0.29
0.83,-14567,875,NA,0.62,0.38
1.28,-14701,880,NA,0.68,0.1
0.96,-14844,885,NA,0.88,0.52
1.31,-14987,890,NA,0.78,0.16
1.08,-15136,895,NA,0.85,0.36
1.27,-15285,900,NA,0.9,0.17
1.09,-15436,905,NA,0.82,0.42
1.25,-15587,910,NA,0.76,0.13
1.12,-15750,915,NA,0.85,0.15
1.22,-15913,920,NA,0.92,0.09
0.87,-16090.5,925,NA,0.79,0.06
1.42,-16268,930,NA,0.85,0.13
1.3,-16462.5,935,NA,0.88,-0.08
1.26,-16657,940,NA,0.78,0.23
0.93,-16872,945,NA,0.63,0
1.31,-17087,950,NA,0.89,0.06
1.01,-17327.5,955,NA,0.88,0.14
1.31,-17568,960,NA,0.81,0.3
0.91,-17834.5,965,NA,0.78,0.24
1.16,-18101,970,NA,0.77,0.28
0.95,-18395,975,NA,0.65,0.22
1.13,-18689,980,NA,0.85,0.27
1.16,-19081.6,985.5,NA,0.68,0.09
1.29,-19293,990,NA,0.71,0.33
