d18O (permil),year (AD),depth (cm),MgCa (mmol/mol),temperature (degC),d18O (permil)
-0.47,1479.9,13,3.84,26.774,-2.88
-0.423,1405.8,18,3.72,26.421,-2.76
-0.374,1331.6,23,3.85,26.803,-2.79
-0.056,1257.5,28,3.83,26.745,-2.46
-0.382,1183.4,33,3.77,26.57,-2.75
0.122,1109.3,38,4.28,27.98,-2.54
-0.218,1035.1,43,3.81,26.687,-2.61
-0.211,961,48,3.99,27.2,-2.71
-0.316,886.9,53,3.93,27.032,-2.78
-0.202,812.8,58,4.04,27.338,-2.73
0.124,738.6,63,4.36,28.185,-2.58
-0.226,672,68,3.93,27.032,-2.69
-0.145,610.2,73,4.07,27.421,-2.69
-0.348,548.5,78,4.03,27.311,-2.87
-0.104,486.7,83,4.09,27.475,-2.66
-0.446,425,88,3.7,26.362,-2.77
-0.156,335,93,3.83,26.745,-2.56
0.03,245,98,3.89,26.918,-2.41
0.263,155,103,4.12,27.556,-2.31
-0.279,75.3,108,4.01,27.256,-2.79
-0.058,37,113,4.1,27.502,-2.62
-0.039,-1.3,118,4.17,27.69,-2.64
-0.141,-42.8,123,3.99,27.2,-2.64
-0.258,-97.1,128,4.28,27.98,-2.92
-0.152,-151.3,133,4.11,27.529,-2.72
0.046,-205.6,138,4.27,27.954,-2.61
-0.128,-259.8,143,3.81,26.687,-2.52
-0.034,-314.1,148,4.16,27.664,-2.63
-0.106,-368.3,153,3.93,27.032,-2.57
-0.412,-422.5,158,3.87,26.861,-2.84
-0.047,-476.8,163,4.12,27.556,-2.62
-0.13,-531,168,3.84,26.774,-2.54
-0.342,-585.3,173,3.87,26.861,-2.77
-0.238,-639.5,178,3.81,26.687,-2.63
-0.25,-693.8,183,3.84,26.774,-2.66
0.212,-748,188,4.28,27.98,-2.45
-0.161,-825.6,193,4.13,27.583,-2.74
-0.264,-903.1,198,3.9,26.947,-2.71
-0.154,-980.7,203,3.95,27.088,-2.63
-0.212,-1058.2,208,4.11,27.529,-2.78
-0.079,-1213.4,218,4.26,27.928,-2.73
0.104,-1290.9,223,4.34,28.134,-2.59
-0.096,-1368.5,228,3.83,26.745,-2.5
-0.271,-1446.1,233,4.06,27.393,-2.81
-0.168,-1523.6,238,3.96,27.116,-2.65
-0.153,-1601.2,243,4.02,27.283,-2.67
-0.279,-1678.8,248,4.08,27.448,-2.83
0.159,-1756.3,253,4.13,27.583,-2.42
-0.197,-1833.9,258,4.21,27.796,-2.82
-0.29,-1911.4,263,3.89,26.918,-2.73
-0.396,-1989,268,3.93,27.032,-2.86
0.006,-2060.5,273,4.16,27.664,-2.59
-0.285,-2131.9,278,4,27.228,-2.79
-0.114,-2203.4,283,4.09,27.475,-2.67
-0.023,-2274.8,288,4.29,28.006,-2.69
0.05,-2346.3,293,4.39,28.262,-2.67
-0.179,-2417.7,298,4.17,27.69,-2.78
-0.058,-2489.2,303,4.19,27.743,-2.67
-0.526,-2560.6,308,3.83,26.745,-2.93
-0.036,-2632.1,313,4.23,27.849,-2.67
-0.496,-2703.5,318,3.83,26.745,-2.9
-0.167,-2775,323,4.12,27.556,-2.74
-0.127,-2846.5,328,4.32,28.083,-2.81
-0.494,-2917.9,333,4.09,27.475,-3.05
-0.211,-2989.4,338,4.13,27.583,-2.79
-0.134,-3060.8,343,4.16,27.664,-2.73
-0.09,-3132.3,348,4.24,27.875,-2.73
-0.163,-3203.7,353,4.29,28.006,-2.83
0.002,-3275.2,358,4.19,27.743,-2.61
-0.033,-3346.6,363,4.18,27.717,-2.64
0.004,-3418.1,368,4.36,28.185,-2.7
-0.022,-3489.5,373,4.2,27.77,-2.64
0.217,-3561,378,4.18,27.717,-2.39
-0.065,-3661.9,383,4.07,27.421,-2.61
-0.143,-3762.9,388,4.02,27.283,-2.66
0.012,-3863.8,393,4.19,27.743,-2.6
0.134,-3964.8,398,4.36,28.185,-2.57
-0.301,-4065.7,403,4.13,27.583,-2.88
-0.207,-4166.7,408,4.21,27.796,-2.83
0.001,-4267.6,413,4.43,28.362,-2.74
-0.162,-4368.6,418,4.2,27.77,-2.78
-0.004,-4469.5,423,4.16,27.664,-2.6
0.042,-4570.4,428,4.49,28.512,-2.73
0.018,-4671.4,433,4.31,28.057,-2.66
-0.218,-4772.3,438,4.19,27.743,-2.83
0.001,-4873.3,443,4.17,27.69,-2.6
0.048,-4994.4,449,4.52,28.586,-2.74
-0.009,-5075.2,453,4.17,27.69,-2.61
0.168,-5176.1,458,4.33,28.109,-2.52
-0.034,-5277.1,463,4.09,27.475,-2.59
0.126,-5378,468,4.27,27.954,-2.53
-0.391,-5497.2,473,4.22,27.823,-3.02
-0.324,-5616.3,478,4.16,27.664,-2.92
0.174,-5735.5,483,4.34,28.134,-2.52
0.047,-5854.6,488,4.29,28.006,-2.62
0.177,-5973.8,493,4.18,27.717,-2.43
0.174,-6093,498,3.93,27.032,-2.29
-0.34,-6212.1,503,4.15,27.637,-2.93
-0.208,-6331.3,508,4.28,27.98,-2.87
0.166,-6450.4,513,4.4,28.287,-2.56
0.114,-6569.6,518,4.34,28.134,-2.58
-0.065,-6688.8,523,4.14,27.61,-2.65
-0.025,-6807.9,528,4.14,27.61,-2.61
0.191,-6927.1,533,4.43,28.362,-2.55
0.116,-7046.2,538,4.16,27.664,-2.48
-0.025,-7165.4,543,4.14,27.61,-2.61
0.358,-7284.6,548,4.31,28.057,-2.32
-0.192,-7403.7,553,4.31,28.057,-2.87
0.126,-7499,558,4.4,28.287,-2.6
0.319,-7642,563,4.35,28.16,-2.38
0.301,-7761.2,568,4.43,28.362,-2.44
0.29,-7880.4,573,4.39,28.262,-2.43
0.15,-7999.5,578,4.37,28.211,-2.56
0.354,-8118.7,583,4.65,28.901,-2.5
0.538,-8237.8,588,4.72,29.067,-2.35
-0.044,-8357,593,4.16,27.664,-2.64
0.646,-8511.4,598,4.84,29.346,-2.3
0.448,-8634.9,602,4.52,28.586,-2.34
0.293,-8665.8,603,4.55,28.659,-2.51
0.359,-8696.7,604,4.35,28.16,-2.34
0.385,-8758.5,606,4.25,27.901,-2.26
0.427,-8820.2,608,4.505,28.535,-2.35
0.678,-8882,610,4.76,29.161,-2.23
0.309,-8943.8,612,4.22,27.823,-2.32
0.418,-8974.6,613,4.66,28.925,-2.44
0.438,-9005.5,614,4.11,27.529,-2.13
0.637,-9067.3,616,4.48,28.487,-2.13
0.648,-9129.1,618,4.43,28.349,-2.09
0.498,-9190.8,620,4.33,28.109,-2.19
0.347,-9252.6,622,4.29,28.006,-2.32
0.563,-9283.5,623,4.395,28.274,-2.16
0.461,-9314.4,624,4.17,27.69,-2.14
0.507,-9376.1,626,4.29,28.006,-2.16
0.528,-9437.9,628,4.22,27.818,-2.1
0.612,-9499.6,630,4.47,28.462,-2.15
0.481,-9561.4,632,4.43,28.362,-2.26
0.799,-9592.3,633,4.35,28.159,-1.9
0.752,-9623.2,634,4.49,28.512,-2.02
0.768,-9684.9,636,4.7,29.02,-2.11
1,-9746.7,638,4.41,28.309,-1.73
0.706,-9808.5,640,4.42,28.337,-2.03
0.958,-9870.2,642,4.66,28.925,-1.9
0.822,-9901.1,643,4.395,28.27,-1.9
0.726,-9932,644,4.16,27.664,-1.87
0.723,-9985.6,646,4.32,28.083,-1.96
0.726,-10039.1,648,4.16,27.664,-1.87
1,-10092.7,650,4.39,28.262,-1.72
0.868,-10146.2,652,4.11,27.529,-1.7
0.831,-10173,653,4.08,27.448,-1.72
1.064,-10199.8,654,4.61,28.805,-1.77
1.007,-10253.3,656,4.29,28.006,-1.66
0.944,-10306.9,658,3.93,27.032,-1.52
0.94,-10360.4,660,3.94,27.06,-1.53
1.143,-10414,662,4.57,28.708,-1.67
0.756,-10440.7,663,3.8,26.658,-1.63
0.542,-10467.5,664,3.91,26.975,-1.91
0.869,-10521.1,666,3.99,27.2,-1.63
0.609,-10574.6,668,3.74,26.481,-1.74
0.698,-10628.2,670,4.2,27.77,-1.92
0.552,-10681.7,672,3.81,26.687,-1.84
0.652,-10708.5,673,3.86,26.832,-1.77
0.639,-10735.3,674,4.13,27.583,-1.94
0.636,-10788.8,676,4.09,27.475,-1.92
0.78,-10842.4,678,3.89,26.918,-1.66
1.095,-10895.9,680,4.38,28.236,-1.62
0.726,-10949.5,682,3.9,26.947,-1.72
0.816,-10976.2,683,3.95,27.088,-1.66
0.941,-11003,684,4.17,27.69,-1.66
1.022,-11056.6,686,3.91,26.975,-1.43
0.955,-11110.1,688,4,27.228,-1.55
0.568,-11217.2,692,3.92,27.003,-1.89
0.563,-11244,693,3.73,26.451,-1.78
0.79,-11309.2,694,3.84,26.774,-1.62
0.502,-11439.6,696,4.03,27.311,-2.02
1.167,-11570,698,4.18,27.717,-1.44
