dD (permil),year (AD),depth (cm),dD (permil),dD (permil),dD (permil)
−121,1950,0,−131,−121,−127
−121,1652,50,−130,−121,−125
−123,1191,100,−138,−123,−127
−125,926,120,−140,−125,−135
NA,793,130,NA,NA,NA
−127,528,150,−138,−127,−132
−124,263,170,−135,−124,−123
−131,-134,200,−134,−131,−130
−153,-267,210,−147,−153,−140
−125,-399,220,−129,−125,−126
−129,-427,250,−117,−129,−132
−125,-446,270,−124,−125,−134
−113,-474,300,−122,−113,−131
−121,-510,310,−131,−121,−125
−139,-636,330,−133,−139,−126
−115,-761,350,−123,−115,−129
−159,-824,360,−153,−159,−146
−124,-887,370,−135,−124,−136
−137,-1075,400,−148,−137,−138
−140,-1200,420,−148,−140,−137
−120,-1451,460,−145,−120,−121
−112,-1577,480,−127,−112,−110
−110,-1702,500,−116,−110,−116
−121,-1828,520,−129,−121,−145
−124,-1953,540,−135,−124,−145
−131,-2204,580,−143,−131,−142
−139,-2392,610,−142,−139,−140
NA,-11792,620,NA,NA,NA
−135,-11792,640,−129,−135,−172
