d18O (permil),year (AD),depth (m)
-11.13746228,1999,NA
-11.21865374,1998,NA
-12.03388639,1997,NA
-12.71005183,1996,NA
-10.83606565,1995,NA
-12.62695305,1994,NA
-13.17312113,1993,NA
-13.85064083,1992,NA
-11.96269621,1991,NA
-11.75557446,1990,NA
-10.69764519,1989,NA
-11.61180911,1988,NA
-13.26857073,1987,NA
-13.6244946,1986,NA
-12.89258362,1985,NA
-13.72858337,1984,NA
-12.56202287,1983,NA
-12.7839731,1982,NA
-13.69639285,1981,NA
-11.96491056,1980,NA
-13.68648579,1979,NA
-11.27844957,1978,NA
-13.90974,1977,NA
-8.230509974,1976,NA
-10.03283399,1975,NA
-10.54143358,1974,NA
-9.667814159,1973,NA
-7.175128997,1972,NA
-9.131223668,1971,NA
-8.945375441,1970,NA
-11.0611078,1969,NA
-12.58204687,1968,NA
-10.13341375,1967,NA
-9.260658304,1966,NA
-12.36209966,1965,NA
-12.91742282,1964,NA
-12.13023544,1963,NA
-10.46605616,1962,NA
-10.47153482,1961,NA
-11.11039204,1960,NA
-10.654,1959,NA
-9.478,1958,NA
-10.914,1957,NA
-10.383,1956,NA
-9.338,1955,NA
-9.937,1954,NA
-9.492,1953,NA
-9.452,1952,NA
-9.655,1951,NA
-11.759,1950,NA
-12.766,1949,NA
-12.90962648,1948,NA
-12.37619948,1947,NA
-11.77021503,1946,NA
-11.71545544,1945,NA
-14.67482471,1944,NA
-11.31044658,1943,NA
-10.60169241,1942,NA
-10.61507225,1941,NA
-10.29662323,1940,NA
-10.38627879,1939,NA
-11.36487026,1938,NA
-9.803424835,1937,NA
-9.42458725,1936,NA
-11.54008007,1935,NA
-13.06477585,1934,NA
-12.02271811,1933,NA
-15.06512666,1932,NA
-13.32035796,1931,NA
-12.85449823,1930,NA
-14.66082827,1929,NA
-15.40780354,1928,NA
-14.28897619,1927,NA
-12.65439873,1926,NA
-14.15071464,1925,NA
-12.87987677,1924,NA
-12.60740995,1923,NA
-12.60313002,1922,NA
-12.53256702,1921,NA
-11.55280733,1920,NA
-12.28649664,1919,NA
-13.31434218,1918,NA
-12.63797983,1917,NA
-12.66792893,1916,NA
-13.26908112,1915,NA
-12.75114139,1914,NA
-14.08874788,1913,NA
-13.38536237,1912,NA
-12.78310259,1911,NA
-13.06369339,1910,NA
-14.39629648,1909,NA
-14.22045787,1908,NA
-15.23295683,1907,NA
-14.08517173,1906,NA
-12.40757404,1905,NA
-12.51109038,1904,NA
-14.10736943,1903,NA
-15.67375557,1902,NA
-15.98314811,1901,NA
-14.27302623,1900,NA
-13.23499838,1899,NA
-12.63758615,1898,NA
-16.43868005,1897,NA
-17.29053254,1896,NA
-18.26965646,1895,NA
-22.09974238,1894,NA
-21.08028423,1893,NA
-16.52384542,1892,NA
-13.93523526,1891,NA
-12.82967132,1890,NA
-14.73262507,1889,NA
-16.69240767,1888,NA
-14.90850689,1887,NA
-14.15470612,1886,NA
-14.53415478,1885,NA
-15.26129845,1884,NA
-14.88731031,1883,NA
-14.701473,1882,NA
-14.40984145,1881,NA
-15.36487749,1880,NA
-15.5362315,1879,NA
-15.55253143,1878,NA
-15.22043414,1877,NA
-15.06912785,1876,NA
-15.6100254,1875,NA
-15.76116292,1874,NA
-15.21367425,1873,NA
-15.29334388,1872,NA
-15.68777347,1871,NA
-15.34847547,1870,NA
-15.45291621,1869,NA
-15.42912608,1868,NA
-15.26175147,1867,NA
-15.3776506,1866,NA
-15.30077192,1865,NA
-15.05598119,1864,NA
-14.53017371,1863,NA
-14.93668816,1862,NA
-15.78183757,1861,NA
