d18O (permil),dD (permil),year (AD)
-16.43760818,-117.2641881,2006
-16.29762875,-116.3178199,2005
-16.64136296,-118.5626966,2004
-17.34429796,-127.6107547,2003
-17.34121761,-131.6585719,2002
-16.76205884,-117.614986,2001
-17.93858537,-133.6679872,2000
-15.89389022,-119.7502117,1999
-17.37748852,-120.6861802,1998
-18.13396165,-132.5570993,1997
-14.40578828,-98.2824594,1996
-17.08907355,-126.3728441,1995
-18.81549423,-136.8694569,1994
-17.79397986,-122.3937653,1993
-15.9578341,-117.238442,1992
-19.28560715,-145.2479969,1991
-17.56526105,-123.9186863,1990
-17.65093969,-127.3894936,1989
-15.39562674,-112.297347,1988
-18.88013031,-142.8290228,1987
-18.20131125,-132.3163026,1986
-17.72222878,-129.930079,1985
-20.0927013,-148.0025784,1984
-17.66874685,-127.0333795,1983
-17.0751501,-127.6937532,1982
-17.00329675,-122.5024284,1981
-17.97924084,-124.9934704,1980
-19.44132935,-143.0648784,1979
-21.99605357,-160.5546508,1978
-19.84948678,-144.5951724,1977
-20.02423554,-148.4981367,1976
-20.09443134,-145.6238732,1975
-19.28922448,-144.1346304,1974
-18.92326718,-135.001034,1973
-17.45631668,-117.675025,1972
-16.8919069,-135.2124872,1971
-16.7570285,-116.9899413,1970
-16.47536799,-127.0607197,1969
-18.19982051,-134.0442269,1968
-15.49308047,-110.8402178,1967
-14.73653379,-109.1377726,1966
-15.94303584,-115.3726379,1965
-16.0369535,-112.9975621,1964
-15.28163075,-110.4881705,1963
-13.19320411,-94.8068156,1962
-15.80658987,-109.4475499,1961
-13.35225672,-87.16062813,1960
-16.10975071,-114.3831429,1959
-14.11392125,-97.68616567,1958
-16.34252001,-120.9066651,1957
-18.72014912,-146.4368798,1956
-16.00796637,-117.7477501,1955
-16.86832991,-123.799231,1954
-17.22975554,-127.4168021,1953
-18.99074651,-140.2906856,1952
-17.82091429,-130.7349845,1951
-14.68185325,-98.07194053,1950
-17.03883185,-125.1140384,1949
-17.37796357,-126.6829771,1948
-17.77588843,-131.6734201,1947
-17.83860737,-128.9944009,1946
-17.99122073,-132.5614506,1945
-18.90100066,-137.607703,1944
-20.02787995,-149.3923003,1943
-18.64466813,-133.6521929,1942
-18.12569667,-133.7980776,1941
-15.93737412,-123.9389883,1940
-15.47749843,-109.7406783,1939
-18.38417546,-135.4014519,1938
-18.70220532,-133.9767015,1937
-19.34044528,-143.8048296,1936
-18.26071206,-138.4793896,1935
-16.03959666,-118.8971614,1934
-17.29392832,-129.833012,1933
-19.09105937,-142.4687208,1932
-16.48386296,-123.5788424,1931
-17.49444822,-131.3639912,1930
-17.3719947,-132.6671976,1929
-15.59870283,-119.1349832,1928
-17.65037919,-120.2127912,1927
-16.85979796,-126.3516328,1926
-19.98035081,-148.5123165,1925
-20.51099247,-150.030676,1924
-19.02057293,-138.0299175,1923
-16.77191357,-123.2132254,1922
-16.87795321,-127.099025,1921
-16.61858488,-114.5484968,1920
-15.89225283,-114.3765446,1919
-15.72214511,-113.5773972,1918
-14.16331622,-99.596184,1917
-15.26985541,-109.3567287,1916
-13.64289119,-101.863853,1915
-16.23607609,-123.210872,1914
-14.09875945,-97.575622,1913
-14.78133584,-107.3583696,1912
-14.3903079,-99.4980136,1911
-16.62773492,-127.5520741,1910
-19.4450874,-144.4863978,1909
-18.00062553,-133.9830924,1908
-16.54673719,-121.0731128,1907
-15.23944052,-114.5836271,1906
-16.09475698,-118.8964958,1905
-16.18944631,-122.9731897,1904
-16.23958576,-115.3096734,1903
-15.38004052,-113.1012783,1902
-15.84378774,-119.2835173,1901
-16.27134615,-115.3395358,1900
-16.10330198,-122.3092912,1899
-18.05668339,-136.375788,1898
-14.83750735,-106.7575278,1897
-15.00916762,-108.4907037,1896
-17.94484931,-137.4050668,1895
-15.48577123,-114.0146431,1894
-14.39822914,-102.9396568,1893
-14.8597129,-107.0319814,1892
-15.58336365,-110.2625864,1891
-15.66497076,-109.918101,1890
-16.65904353,-121.8942827,1889
-16.76229578,-120.7531959,1888
-16.95502317,-126.4547498,1887
-15.65411823,-115.6967508,1886
-15.98902895,-115.6687466,1885
-15.79275966,-111.5163648,1884
-16.17004181,-122.1802292,1883
-15.97687781,-114.9035234,1882
-15.28311278,-112.3176898,1881
-15.43626947,-109.1650242,1880
-14.33322824,-109.3493061,1879
-15.72841244,-111.4623213,1878
-15.27038675,-106.7563177,1877
-15.55197369,-116.1327964,1876
-15.40282987,-109.7522162,1875
-15.71808021,-116.3276956,1874
-14.78846647,-106.0421949,1873
-15.4859977,-116.4796222,1872
-14.86915508,-106.5448385,1871
-16.79852232,-128.0057444,1870
-15.84209869,-115.144089,1869
-16.89900886,-122.6883122,1868
-17.61182955,-131.2719978,1867
-15.36251768,-113.4575004,1866
-14.96699575,-109.2974514,1865
-15.74440458,-112.1997915,1864
