d18O (permil),year (AD),Sr_Ca (mmol/mol),d13C (permil)
-4.56,1992.46,9.024,-1.67
-4.7,1992.41,8.965,-1.41
-4.78,1992.37,8.971,-1.28
-5.04,1992.31,8.921,-1.05
-5.13,1992.25,8.895,-0.8
-5.04,1992.18,8.888,-0.69
-4.92,1992.12,8.893,-0.84
-4.87,1992.04,8.894,-0.99
-4.82,1991.96,8.939,-1.07
-4.76,1991.87,8.929,-0.95
-4.85,1991.79,8.945,-0.98
-4.97,1991.71,8.967,-1.12
-4.93,1991.64,8.946,-1.11
-4.9,1991.57,8.953,-1
-4.92,1991.5,8.933,-1.08
-4.93,1991.43,8.886,-1.16
-4.94,1991.36,8.863,-1.25
-5.03,1991.29,8.838,-1.3
-5.34,1991.16,8.861,-1.01
-5.38,1991.04,8.795,-0.89
-5.27,1990.99,8.819,-0.57
-5.22,1990.94,8.849,-0.75
-4.93,1990.89,8.892,-0.96
-4.91,1990.84,8.894,-0.93
-4.76,1990.79,8.966,-1.1
-4.72,1990.74,8.984,-1.08
-4.73,1990.69,8.943,-1.04
-4.77,1990.64,8.934,-1.07
-4.75,1990.59,8.887,-1.02
-4.87,1990.54,8.869,-1.15
-4.87,1990.47,8.888,-1.11
-5.01,1990.41,8.866,-1.14
-5.2,1990.34,8.852,-0.99
-5.4,1990.28,8.829,-0.89
-5.32,1990.21,8.805,-0.82
-5.23,1990.13,8.84,-0.85
-5.14,1990.04,8.823,-1.13
-5,1989.98,8.863,-1.15
-5.04,1989.93,8.836,-0.89
-5.04,1989.87,8.823,-1.06
-5.09,1989.8,8.83,-1.13
-5.17,1989.74,8.848,-1.12
-5.14,1989.67,8.87,-1.17
-5.22,1989.61,8.869,-1.21
-5.31,1989.54,8.877,-1.29
-5.21,1989.45,8.863,-1.26
-5.39,1989.36,8.784,-1.21
-5.41,1989.27,8.765,-0.96
-5.43,1989.18,8.763,-0.82
-5.36,1989.09,8.868,-0.88
-5.2,1988.99,8.789,-1.1
-5.06,1988.9,8.767,-1.31
-5.09,1988.86,8.849,-1.09
-5.06,1988.81,8.851,-0.93
-4.97,1988.72,8.883,-0.89
-4.98,1988.63,8.891,-0.85
-5.04,1988.54,8.915,-0.9
