d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-27.26,1,-27.43,1958,NA
-26.87,6,-27.571,1957,NA
-26.6,11,-27.132,1956,NA
-26.94,16,-25.3373,1955,NA
-28.43,21,-26.5075,1954,NA
-28.59,26,-28.7665,1953,NA
-27.55,31,-27.7872,1952,NA
-27.51,36,-28.08,1951,NA
-27.68,41,-27.1088,1950,NA
-27.31,46,-27.3137,1949,NA
-26.43,51,-25.9698,1948,NA
-25.8,56,-26.7343,1947,NA
-26.03,61,-27.4126,1946,NA
-26.15,66,-26.6817,1945,NA
-27.76,71,-26.8236,1944,NA
-27.69,76,-27.0249,1943,NA
-27.21,81,-26.8827,1942,NA
-27.09,86,-28.1692,1941,NA
-27.23,91,-29.4625,1940,NA
-27.1,96,-27.9435,1939,NA
-26.62,101,-26.6144,1938,NA
-26.48,106,-27.346800000000002,1937,NA
-27.14,111,-27.8837,1936,NA
-28.03,116,-28.0243,1935,NA
-27.84,121,-26.0971,1934,NA
-27.12,126,-26.4935,1933,NA
-26.9,131,-28.3024,1932,NA
-27.22,136,-27.5385,1931,NA
-27.4,141,-26.9172,1930,NA
-27.13,146,-28.0723,1929,NA
-27.14,151,-27.2038,1928,NA
-27.41,156,-27.63,1927,NA
-27.41,161,-25.7174,1926,NA
-27.32,166,-25.0201,1925,NA
-27.5,171,-26.6899,1924,NA
-27.66,176,-27.2901,1923,NA
-27.66,181,-27.1447,1922,NA
-27.43,186,-27.6169,1921,NA
-27.24,191,-27.659300000000002,1920,NA
-26.96,196,-27.889,1919,NA
-26.78,201,-27.8856,1918,NA
-27.31,206,-26.8859,1917,NA
-27.74,211,-27.3986,1916,NA
-27.12,216,-27.7585,1915,NA
-26.58,221,-27.3303,1914,NA
-26.48,226,-27.155,1913,NA
-26.54,231,-27.4379,1912,NA
-26.79,236,-28.0339,1911,NA
-27.01,241,-28.2529,1910,NA
-27.27,246,-27.8575,1909,NA
-28.21,251,-28.6807,1908,NA
-28.45,256,-30.3539,1907,NA
-27.8,261,-29.512,1906,NA
-26.84,266,-28.1093,1905,NA
-27.12,271,-26.25,1904,NA
-27.48,276,-28.0919,1903,NA
-27.36,281,-28.5469,1902,NA
-28.43,286,-26.1832,1901,NA
-27.87,291,-26.3776,1900,NA
-27.23,296,-27.017,1899,NA
-27.26,301,-28.3863,1898,NA
-27.77,306,-28.0131,1897,NA
-28.28,311,-26.2552,1896,NA
-27.9,316,-25.8762,1895,NA
-27.41,321,-27.8275,1894,NA
-26.95,326,-28.9352,1893,NA
-27.15,331,-26.0168,1892,NA
-27.14,336,-26.87,1891,NA
-27.45,341,-27.2278,1890,NA
-27.44,346,-29.1085,1889,NA
-26.62,351,-28.5238,1888,NA
-26.83,356,-27.8929,1887,NA
-27.04,361,-28.547,1886,NA
-27.42,366,-27.312,1885,NA
-26.94,371,-27.9313,1884,NA
-27.61,376,-29.173,1883,NA
-28,381,-28.7296,1882,NA
-28.17,386,-27.8262,1881,NA
-28.39,391,-28.0538,1880,NA
-28.28,396,-28.4955,1879,NA
-27.71,401,-28.0288,1878,NA
-27.42,406,-28.1213,1877,NA
-27.12,411,-29.8573,1876,NA
-26.66,416,-30.5693,1875,NA
-26.85,421,-27,1874,NA
-27.17,426,-26.6528,1873,NA
-26.92,431,-27.1429,1872,NA
-26.94,436,-28.2541,1871,NA
-27.03,441,-27.3014,1870,NA
-26.8,446,-26.1958,1869,NA
-27.26,451,-26.6441,1868,NA
-27.61,456,-27.9967,1867,NA
-28.2,461,-29.7946,1866,NA
-29.14,466,-31.0739,1865,NA
-28.91,471,-28.102,1864,NA
-27.62,476,-27.3,1863,NA
-26.72,481,-27.32,1862,NA
-26.85,486,-27.9825,1861,NA
-27.29,491,-27.3808,1860,NA
-27.06,496,-28.9685,1859,NA
-27.08,501,-29.2341,1858,NA
-27.51,506,-28.265,1857,NA
-27.73,511,-27.7985,1856,NA
-27.47,516,-28.4307,1855,NA
-27.52,521,-29.1684,1854,NA
-27.32,526,-30.1797,1853,NA
-26.83,531,-30.4377,1852,NA
-27.31,536,-28.3222,1851,NA
-27.31,541,-27.9803,1850,NA
-26.93,546,-28.6531,1849,NA
-26.58,551,-27.4922,1848,NA
-26.49,556,-28.2595,1847,NA
-27,561,-28.18,1846,NA
-27.37,566,-28.4548,1845,NA
-27.93,571,-27.8204,1844,NA
-27.87,576,-28.3141,1843,NA
-27.05,581,-28.2968,1842,NA
-27.79,586,-27.4435,1841,NA
-27.22,591,-27.4831,1840,NA
-27.03,596,-28.1122,1839,NA
-27.04,601,-27.8103,1838,NA
-27.19,606,-27.3218,1837,NA
-27.1,611,-27.4088,1836,NA
-28.44,616,-28.38,1835,NA
-28.55,621,-28.1862,1834,NA
-28.05,626,-27.2421,1833,NA
-28.07,631,-28.631,1832,NA
-28.05,636,-28.7622,1831,NA
-28.17,641,-27.3077,1830,NA
-28.22,646,-26.5972,1829,NA
-28.84,651,-26.9769,1828,NA
-28.24,656,-27.5379,1827,NA
-27.71,661,-28.7356,1826,NA
-27.28,666,-30.7721,1825,NA
-26.28,671,-31.0606,1824,NA
-26.08,676,-29.6249,1823,NA
-26.88,681,-28.4889,1822,NA
-26.88,686,-26.97,1821,NA
-26.42,691,-27.5916,1820,NA
-26.73,696,-28.6916,1819,NA
-27.63,701,-28.9891,1818,NA
-28.41,706,-29.278,1817,NA
-27.25,711,-28.9877,1816,NA
-26.66,716,-28.374,1815,NA
-27.25,721,-28.2596,1814,NA
-27.44,726,-28.7238,1813,NA
-27.34,731,-28.6509,1812,NA
-27.72,736,-27.5455,1811,NA
-26.85,741,-26.2,1810,NA
-26.79,746,-27.4496,1809,NA
-27,751,-29.9166,1808,NA
-28.28,756,-30.5792,1807,NA
-28.09,761,-30.1273,1806,NA
-26.98,766,-29.057,1805,NA
-27.16,771,-28.133,1804,NA
-27.39,776,-27.7189,1803,NA
-28.56,781,-27.8126,1802,NA
-27.75,786,-28.0548,1801,NA
-26.91,791,-27.6904,1800,NA
-28.24,796,-27.0691,1799,NA
-27.94,801,-27.3552,1798,NA
-27.04,806,-29.79,1797,NA
-26.58,811,-27.5978,1796,NA
-27.57,816,-27.8096,1795,NA
-27.86,821,-28.2377,1794,NA
-27.76,826,-28.8792,1793,NA
-27.68,831,-29.4303,1792,NA
-27.41,836,-29.5592,1791,NA
-27.31,841,-29.3706,1790,NA
-27.78,846,-28.9627,1789,NA
-27.46,851,-27.5056,1788,NA
-27.23,856,-28.1021,1787,NA
-27.54,861,-28.98,1786,NA
-28.05,866,-29.2867,1785,NA
-28.51,871,-29.0158,1784,NA
-28.36,876,-26.9811,1783,NA
-28.34,881,-27.5799,1782,NA
-27.61,886,-28.7387,1781,NA
-27.39,891,-28.0051,1780,NA
-26.92,896,-27.1254,1779,NA
-27.77,901,-27.0361,1778,NA
-27.44,906,-28.86,1777,NA
-27.78,911,-30.2677,1776,NA
-27.85,916,-27.4132,1775,NA
-27.2,921,-28.7924,1774,NA
-26.92,926,-28.6372,1773,NA
-26.86,931,-27.8321,1772,NA
-27.36,936,-27.4514,1771,NA
