d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),core (unitless),d18O (permil)
0.86,2000,0,0.87,NA,POS287_06-1B,0.31
0.88,1997,0.01,0.88,NA,POS287_06-1B,0.51
0.78,1994,0.02,0.87,NA,POS287_06-1B,0.62
0.85,1991,0.03,0.95,NA,POS287_06-1B,-0.33
0.74,1988,0.04,0.91,NA,POS287_06-1B,0.57
0.88,1985,0.05,0.91,NA,POS287_06-1B,0.5
0.75,1982,0.06,1.07,NA,POS287_06-1B,0.54
0.84,1979,0.07,1.09,NA,POS287_06-1B,0.59
NA,1976,0.08,0.97,0.86,POS287_06-1B,0.6
NA,1973,0.09,0.77,0.86,POS287_06-1B,0.56
NA,1971,0.1,0.95,0.77,POS287_06-1B,0.38
NA,1968,0.11,0.81,0.85,POS287_06-1B,0.62
NA,1965,0.12,1.03,0.87,POS287_06-1B,0.59
NA,1962,0.13,1.02,0.64,POS287_06-1B,0.56
NA,1959,0.14,1.11,0.95,POS287_06-1B,0.53
NA,1956,0.15,0.97,0.75,POS287_06-1B,0.66
NA,1953,0.16,0.73,0.79,POS287_06-1B,0.69
NA,1950,0.17,0.96,0.9,POS287_06-1B,0.74
NA,2000,0,1.22,NA,POS287_06-3G,0.68
NA,1991,0.05,0.92,1.04,POS287_06-3G,0.73
NA,1991,0.05,0.95,NA,POS287_06-3G,NA
NA,1981,0.1,0.99,1.01,POS287_06-3G,0.65
NA,1972,0.15,1.25,0.99,POS287_06-3G,0.7
NA,1963,0.2,1.1,1.08,POS287_06-3G,0.51
NA,1954,0.25,1.03,1.49,POS287_06-3G,0.46
NA,1944,0.3,1.09,1.83,POS287_06-3G,0.4
NA,1935,0.35,0.98,1.35,POS287_06-3G,0.46
NA,1933,0.36,NA,NA,POS287_06-3G,0.4
NA,1926,0.4,0.91,1.19,POS287_06-3G,0.49
NA,1917,0.45,0.91,NA,POS287_06-3G,0.5
NA,1916,0.45,NA,1.64,POS287_06-3G,NA
NA,1907,0.5,0.92,1.62,POS287_06-3G,0.45
NA,1898,0.55,1.08,1.56,POS287_06-3G,0.52
NA,1889,0.6,1.11,1.41,POS287_06-3G,0.58
NA,1880,0.65,0.91,NA,POS287_06-3G,0.54
NA,1879,0.65,NA,0.92,POS287_06-3G,NA
NA,1870,0.7,0.75,1.25,POS287_06-3G,0.65
NA,1861,0.75,0.75,1.08,POS287_06-3G,0.44
NA,1856,0.78,1.05,NA,POS287_06-3G,0.35
NA,1855,0.78,NA,0.71,POS287_06-3G,NA
NA,1852,0.8,0.23,0.9,POS287_06-3G,0.66
NA,1850,0.81,1.1,0.74,POS287_06-3G,0.72
NA,1843,0.85,0.97,NA,POS287_06-3G,0.77
NA,1842,0.85,NA,0.92,POS287_06-3G,NA
NA,1833,0.9,0.97,1.55,POS287_06-3G,0.71
NA,1824,0.95,0.89,1.11,POS287_06-3G,0.45
NA,1815,1,0.91,0.72,POS287_06-3G,0.65
NA,1813,1.01,0.94,0.72,POS287_06-3G,0.63
NA,1812,1.05,1.07,NA,POS287_06-3G,NA
NA,1806,1.05,NA,1.13,POS287_06-3G,NA
NA,1796,1.1,0.86,0.7,POS287_06-3G,0.44
NA,1794,1.11,0.89,0.7,POS287_06-3G,0.68
NA,1787,1.15,1.05,1.39,POS287_06-3G,0.57
NA,1778,1.2,NA,0.92,POS287_06-3G,0.59
NA,1776,1.21,NA,NA,POS287_06-3G,0.25
NA,1769,1.25,NA,NA,POS287_06-3G,0.62
NA,1768,1.25,NA,0.78,POS287_06-3G,NA
NA,1759,1.3,0.43,0.51,POS287_06-3G,NA
NA,1757,1.31,1.12,1.26,POS287_06-3G,0.54
NA,1750,1.35,NA,0.89,POS287_06-3G,0.84
NA,1748,1.36,NA,0.73,POS287_06-3G,0.43
NA,1746,1.37,0.74,0.64,POS287_06-3G,NA
NA,1731,1.45,0.83,0.83,POS287_06-3G,0.9
NA,1722,1.5,NA,0.85,POS287_06-3G,0.63
NA,1720,1.51,0.99,0.63,POS287_06-3G,1.08
NA,1713,1.55,1.05,0.9,POS287_06-3G,0.84
NA,1704,1.6,1.06,0.81,POS287_06-3G,0.63
NA,1694,1.65,0.89,0.56,POS287_06-3G,0.76
NA,1685,1.7,0.97,0.83,POS287_06-3G,NA
NA,1676,1.75,0.99,0.73,POS287_06-3G,0.31
NA,1667,1.8,0.91,NA,POS287_06-3G,0.74
NA,1666,1.8,NA,0.83,POS287_06-3G,NA
NA,1665,1.81,1,0.74,POS287_06-3G,0.63
NA,1657,1.85,NA,0.55,POS287_06-3G,0.85
NA,1656,1.86,0.84,NA,POS287_06-3G,0.68
NA,1655,1.86,NA,0.58,POS287_06-3G,NA
NA,1654,1.87,0.35,0.61,POS287_06-3G,0.13
NA,1648,1.9,1.22,NA,POS287_06-3G,0.47
NA,1646,1.91,1.17,0.93,POS287_06-3G,1.13
NA,1639,1.95,0.9,0.71,POS287_06-3G,1.2
NA,1630,2,0.76,NA,POS287_06-3G,0.65
NA,1629,2,NA,0.76,POS287_06-3G,NA
NA,1620,2.05,0.82,0.85,POS287_06-3G,1.08
NA,1611,2.1,NA,NA,POS287_06-3G,0.68
NA,1602,2.15,NA,NA,POS287_06-3G,0.47
NA,1593,2.2,NA,NA,POS287_06-3G,0.45
NA,1591,2.21,0.91,NA,POS287_06-3G,1.09
NA,1583,2.25,NA,NA,POS287_06-3G,0.3
