d18O (permil),year (AD),temperature (degC),Mg_Ca (mmol/mol),depth (cm),core (),d18O (permil)
NA,1986.64,NA,NA,2.5,MC31,-3.09
-0.4,1982.09,28.71,5.03,3.5,MC31,-3.21
-0.24,1977.55,28.79,5.07,4.5,MC31,-3.06
-0.19,1973,28.25,4.83,5.5,MC31,-2.9
-0.05,1968.45,29.16,5.24,6.5,MC31,-2.96
-0.39,1963.91,28.44,4.91,7.5,MC31,-3.15
-0.18,1959.36,29.05,5.19,8.5,MC31,-3.07
-0.36,1954.82,28.3,4.85,9.5,MC31,-3.09
-0.06,1950.27,28.52,4.95,10.5,MC31,-2.84
NA,1950,28.04,4.74,4,32GGC,NA
-0.3,1945.73,28.39,4.89,11.5,MC31,-3.05
NA,1942.67,NA,NA,5,32GGC,-3.08
-0.27,1941.18,27.76,4.62,12.5,MC31,-2.88
-0.33,1936.64,27.78,4.63,13.5,MC31,-2.95
-0.5,1934.99,28.06,4.75,6,32GGC,-3.18
-0.37,1932.09,28.15,4.79,14.5,MC31,-3.07
-0.56,1927.55,27.24,4.41,15.5,MC31,-3.06
-0.48,1927.48,28.49,4.94,7,32GGC,-3.25
-0.52,1923,27.76,4.62,16.5,MC31,-3.14
-0.09,1919.97,28.19,4.81,8,32GGC,-2.79
NA,1918.5,NA,NA,NA,MC31,-3.09
-0.37,1913.91,28.35,4.87,18.5,MC31,-3.11
-0.16,1912.46,27.98,4.71,9,32GGC,-2.82
-0.45,1909.36,27.85,4.66,19.5,MC31,-3.09
-0.37,1904.96,28.1,4.77,10,32GGC,-3.06
-0.61,1904.82,28.12,4.77,20.5,MC31,-3.3
NA,1900.53,NA,NA,10.75,32GGC,-2.85
-0.38,1900.27,27.2,4.4,21.5,MC31,-2.88
-0.27,1897.45,27.59,4.55,11,32GGC,-2.85
-0.17,1895.73,28.92,5.13,22.5,MC31,-3.03
NA,1893.21,NA,NA,11.75,32GGC,-3
-0.03,1891.18,28.07,4.75,23.5,MC31,-2.71
NA,1885.88,NA,NA,12.75,32GGC,-3.02
-0.19,1884.27,29,5.17,24.5,MC31,-3.06
NA,1883.02,NA,NA,13.14,32GGC,-3.04
-0.19,1877.36,28.17,4.79,25.5,MC31,-2.89
-0.28,1876.8,28.39,4.89,13.75,32GGC,-3.02
NA,1871.22,NA,NA,14.75,32GGC,-3.03
-0.37,1870.45,28.85,5.1,26.5,MC31,-3.21
-0.61,1863.54,27.76,4.62,27.5,MC31,-3.22
-0.23,1861.79,27.73,4.61,15.75,32GGC,-2.84
-0.61,1856.63,27.8,4.64,28.5,MC31,-3.23
-0.53,1854.28,27.6,4.56,16.75,32GGC,-3.11
-0.57,1849.72,27.3,4.44,29.5,MC31,-3.09
-0.63,1846.77,27.03,4.33,17.75,32GGC,-3.09
-0.39,1842.81,27.99,4.72,30.5,MC31,-3.05
0.09,1839.26,29.01,5.17,18.75,32GGC,-2.79
-0.35,1835.9,27.71,4.6,31.5,MC31,-2.95
NA,1834.58,NA,NA,19.75,32GGC,-2.8
-0.58,1828.98,27.45,4.49,32.5,MC31,-3.13
-0.14,1824.25,27.24,4.41,20.75,32GGC,-2.65
-0.7,1822.07,27.05,4.34,33.5,MC31,-3.17
-0.3,1815.16,27.51,4.52,34.5,MC31,-2.87
-0.25,1808.25,27.5,4.52,35.5,MC31,-2.82
-0.1,1801.34,28.93,5.13,36.5,MC31,-2.96
-0.53,1794.43,27.3,4.44,37.5,MC31,-3.05
NA,1788.78,NA,NA,26,32GGC,-2.92
-0.49,1787.52,27.84,4.65,38.5,MC31,-3.13
-0.39,1786.71,27.38,4.47,25.75,32GGC,-2.92
-0.41,1780.61,27.28,4.42,39.5,MC31,-2.93
-0.39,1773.7,28.02,4.73,40.5,MC31,-3.06
-0.52,1766.79,27.83,4.65,41.5,MC31,-3.15
-0.69,1759.88,28.39,4.89,42.5,MC31,-3.44
-0.42,1752.96,27.59,4.55,43.5,MC31,-3
NA,1752.13,NA,NA,31,32GGC,-3.14
-0.58,1749.18,27.49,4.51,30.75,32GGC,-3.14
-0.43,1746.05,27.82,4.65,44.5,MC31,-3.06
-0.61,1739.14,27.08,4.35,45.5,MC31,-3.08
-0.43,1732.23,27.75,4.62,46.5,MC31,-3.05
NA,1725.32,NA,NA,47.5,MC31,-3.09
-0.55,1718.41,26.93,4.29,48.5,MC31,-2.99
-0.6,1711.64,27.43,4.49,35.75,32GGC,-3.15
-0.42,1711.5,28.06,4.75,49.5,MC31,-3.1
-0.57,1674.1,27.5,4.51,40.75,32GGC,-3.13
-0.35,1636.56,27.92,4.69,45.75,32GGC,-3
-0.7,1622.47,27.21,4.15,0.5,34GGC,-3.2
-0.32,1618.41,28.44,4.67,1.5,34GGC,-3.08
-0.29,1614.34,28.68,4.77,2.5,34GGC,-3.1
-0.46,1610.28,28.68,4.77,3.5,34GGC,-3.27
-0.23,1606.22,28.52,4.7,4.5,34GGC,-3
-0.53,1599.03,27.32,4.44,50.75,32GGC,-3.05
-1.02,1581.84,27.56,4.29,10.5,34GGC,-3.59
-0.51,1577.78,27.5,4.27,11.5,34GGC,-3.07
NA,1570.76,NA,NA,55.75,32GGC,-3
-0.46,1569.66,27.72,4.36,13.5,34GGC,-3.07
-0.67,1561.53,27.76,4.37,15.5,34GGC,-3.29
-0.24,1559.61,28.45,4.92,56,32GGC,-3
-0.19,1557.47,28.22,4.57,16.5,34GGC,-2.9
-0.36,1545.28,27.54,4.28,19.5,34GGC,-2.93
NA,1541.22,NA,NA,20.5,34GGC,-2.98
NA,1537.16,27.43,4.24,21.5,34GGC,NA
-0.39,1533.09,27.86,4.42,22.5,34GGC,-3.03
NA,1532.28,NA,NA,61,32GGC,-3.06
-0.73,1520.91,27.54,4.28,25.5,34GGC,-3.3
-0.56,1516.84,28.24,4.58,26.5,34GGC,-3.28
-0.9,1512.78,27.34,4.2,27.5,34GGC,-3.43
-0.47,1508.72,28.34,4.62,28.5,34GGC,-3.21
-0.58,1504.66,27.43,4.24,29.5,34GGC,-3.13
-0.59,1500.59,27.36,4.21,30.5,34GGC,-3.12
NA,1496.53,NA,NA,31.5,34GGC,-3.26
NA,1492.47,NA,NA,32.5,34GGC,-3.2
-0.14,1484.54,28.9,5.12,66,32GGC,-2.99
-0.32,1484.34,28.01,4.48,34.5,34GGC,-2.99
-0.39,1480.28,28.32,4.61,35.5,34GGC,-3.12
-0.19,1476.22,28.52,4.7,36.5,34GGC,-2.96
-0.39,1472.16,28.65,4.76,37.5,34GGC,-3.2
NA,1449.15,NA,NA,76,32GGC,-2.85
-0.24,1447.78,27.42,4.23,43.5,34GGC,-2.79
-0.16,1447,27.5,4.52,71,32GGC,-2.73
-0.45,1443.72,27.7,4.35,44.5,34GGC,-3.05
NA,1439.66,NA,NA,45.5,34GGC,-2.98
NA,1439.31,NA,NA,81,32GGC,-2.77
-0.59,1435.59,27.99,4.47,46.5,34GGC,-3.25
NA,1431.53,NA,NA,47.5,34GGC,-3.37
-0.47,1427.47,28.03,4.49,48.5,34GGC,-3.14
-0.32,1423.41,27.92,4.44,49.5,34GGC,-2.97
NA,1419.62,NA,NA,91,32GGC,-2.98
-0.3,1419.34,28.9,4.87,50.5,34GGC,-3.15
-0.18,1415.62,27.94,4.7,86,32GGC,-2.84
-0.71,1415.28,27.84,4.4,51.5,34GGC,-3.35
