MShellCrn (unitless),d18O (per mil),yr (AD)
0.713,-999.9,1880
1.251,-999.9,1881
1.713,-999.9,1882
1.02,-999.9,1883
1.412,-999.9,1884
1.193,-999.9,1885
0.817,-999.9,1886
1.307,-999.9,1887
0.798,-999.9,1888
0.998,-999.9,1889
0.607,-999.9,1890
0.871,-999.9,1891
0.661,-999.9,1892
0.528,-999.9,1893
0.383,-999.9,1894
0.534,-999.9,1895
1.191,-999.9,1896
0.765,-999.9,1897
0.9,-999.9,1898
0.316,-999.9,1899
1.143,3.442,1900
0.56,3.323,1901
0.647,3.346,1902
0.941,3.384,1903
1.273,2.866,1904
1.349,3.098,1905
0.824,3.077,1906
0.679,2.943,1907
0.471,3.159,1908
0.893,3.301,1909
0.679,3.251,1910
1.007,3.323,1911
0.895,3.093,1912
0.74,3.132,1913
0.796,2.908,1914
1.484,3.077,1915
1.502,3.521,1916
0.906,2.954,1917
0.967,3.286,1918
0.997,3.196,1919
0.657,2.85,1920
0.679,2.997,1921
1.265,3.418,1922
0.976,3.016,1923
1.03,3.341,1924
0.639,3.18,1925
1.179,3.156,1926
0.901,3.26,1927
0.807,3.095,1928
0.899,3.091,1929
1.109,3.178,1930
0.874,2.974,1931
0.777,3.289,1932
0.799,2.298,1933
0.834,2.199,1934
1.02,2.364,1935
1.072,2.671,1936
0.999,2.51,1937
0.933,2.283,1938
0.506,2.125,1939
1.031,2.575,1940
0.301,2.126,1941
0.952,2.126,1942
0.726,3.263,1943
0.751,2.529,1944
1.089,2.37,1945
0.891,2.271,1946
0.479,2.321,1947
0.822,2.315,1948
0.609,2.522,1949
0.859,2.495,1950
0.714,2.454,1951
0.41,2.927,1952
0.964,2.873,1953
1.304,2.607,1954
0.765,2.882,1955
0.825,3.358,1956
1.094,3.007,1957
0.694,3.329,1958
0.547,2.737,1959
0.678,2.921,1960
1.131,2.596,1961
1.028,2.977,1962
1.617,2.929,1963
1.9,2.816,1964
0.918,2.803,1965
1.232,3.035,1966
0.97,2.868,1967
0.828,3.3,1968
1.639,2.817,1969
0.645,3.116,1970
0.623,2.928,1971
0.919,3.135,1972
0.753,2.899,1973
1.424,2.541,1974
1.6,2.996,1975
1.907,2.881,1976
1.699,3.029,1977
1.144,2.943,1978
1.216,2.391,1979
1.263,2.789,1980
0.778,3.05,1981
0.524,3.084,1982
1.729,2.725,1983
1.567,2.914,1984
1.242,2.717,1985
1.636,2.829,1986
0.845,2.903,1987
0.528,2.974,1988
1.034,2.975,1989
0.834,2.721,1990
1.708,2.706,1991
1.442,2.822,1992
1.51,2.861,1993
0.987,3.057,1994
1.284,2.859,1995
1.004,2.988,1996
0.828,2.695,1997
1.127,2.549,1998
1.201,2.55,1999
1.289,2.549,2000
0.706,2.291,2001
0.657,2.222,2002
0.437,2.525,2003
0.526,2.526,2004
0.658,2.24,2005
0.649,2.369,2006
0.527,2.4,2007
0.547,2.322,2008
0.248,2.459,2009
0.189,2.534,2010
0.211,3.008,2011
0.201,3.039,2012
