depth (cm),year (AD),d18O (permil),year (AD) [1-2],d18O (permil) [1-2]
0.2,1995.21,-5.13,1994.92,-4.52
0.4,1995.04,-4.61,1994.75,-4.4
0.8,1994.71,-4.37,1994.58,-4.56
1,1994.54,-4.62,1994.42,-4.9
1.2,1994.37,-4.99,1994.25,-5.05
1.4,1994.21,-5.08,1994.08,-4.73
1.6,1994.04,-4.62,1993.92,-4.34
1.8,1993.87,-4.24,1993.75,-4.19
2,1993.71,-4.18,1993.58,-4.34
2.2,1993.51,-4.44,1993.42,-4.66
2.4,1993.31,-4.93,1993.25,-4.9
2.6,1993.11,-4.82,1993.08,-4.8
2.8,1992.91,-4.69,1992.92,-4.69
3,1992.71,-4.45,1992.75,-4.5
3.3,1992.48,-4.84,1992.58,-4.66
3.5,1992.32,-5.01,1992.42,-4.91
3.7,1992.17,-4.9,1992.25,-4.96
3.9,1992.02,-4.48,1992.08,-4.67
4.1,1991.86,-4.39,1991.92,-4.43
4.3,1991.71,-4.3,1991.75,-4.32
4.5,1991.54,-4.71,1991.58,-4.61
4.7,1991.37,-4.94,1991.42,-4.88
4.9,1991.21,-4.98,1991.25,-4.97
5.1,1991.04,-4.67,1991.08,-4.75
5.3,1990.87,-4.49,1990.92,-4.54
5.5,1990.71,-4.42,1990.75,-4.44
5.7,1990.51,-4.53,1990.58,-4.48
5.9,1990.31,-5,1990.42,-4.74
6.1,1990.11,-5.17,1990.25,-5.05
6.3,1989.91,-4.57,1990.08,-5.1
6.5,1989.71,-4.49,1989.92,-4.6
6.7,1989.57,-4.52,1989.75,-4.5
6.9,1989.42,-4.82,1989.58,-4.52
7.1,1989.28,-5.23,1989.42,-4.84
7.3,1989.14,-5.29,1989.25,-5.25
7.5,1988.99,-4.78,1989.08,-5.1
7.7,1988.85,-4.62,1988.92,-4.69
7.9,1988.71,-4.58,1988.75,-4.59
8.1,1988.54,-4.6,1988.58,-4.59
8.3,1988.37,-5.09,1988.42,-4.97
8.5,1988.21,-5.03,1988.25,-5.05
8.7,1988.04,-4.52,1988.08,-4.65
8.9,1987.87,-4.51,1987.92,-4.51
9.1,1987.71,-4.48,1987.75,-4.49
9.3,1987.51,-4.66,1987.58,-4.59
9.5,1987.31,-5.1,1987.42,-4.86
9.7,1987.11,-4.87,1987.25,-5.04
9.9,1986.91,-4.49,1987.08,-4.83
10.1,1986.71,-4.15,1986.92,-4.51
10.3,1986.54,-4.38,1986.75,-4.22
10.5,1986.37,-4.75,1986.58,-4.32
10.7,1986.21,-5.07,1986.42,-4.65
10.9,1986.04,-4.68,1986.25,-4.99
11.1,1985.87,-4.5,1986.08,-4.78
11.3,1985.71,-4.38,1985.92,-4.54
11.5,1985.58,-4.45,1985.75,-4.41
11.7,1985.46,-4.74,1985.58,-4.45
11.9,1985.33,-5.08,1985.42,-4.85
12.1,1985.21,-5.22,1985.25,-5.18
12.3,1985.08,-4.83,1985.08,-4.83
12.5,1984.96,-4.6,1984.92,-4.57
12.7,1984.83,-4.51,1984.75,-4.49
12.9,1984.71,-4.48,1984.58,-4.84
13.1,1984.54,-4.96,1984.42,-5.07
13.3,1984.37,-5.11,1984.25,-5.15
13.5,1984.21,-5.17,1984.08,-4.82
13.7,1984.04,-4.7,1983.92,-4.59
13.9,1983.87,-4.56,1983.75,-4.5
14.1,1983.71,-4.48,1983.58,-4.54
14.3,1983.57,-4.55,1983.42,-4.97
14.5,1983.42,-4.96,1983.25,-5.02
14.7,1983.28,-5.02,1983.08,-4.89
14.9,1983.14,-5.02,1982.92,-4.52
15.1,1982.99,-4.66,1982.75,-4.36
15.3,1982.85,-4.41,1982.58,-4.46
15.5,1982.71,-4.27,1982.42,-4.63
15.5,1982.71,-4.35,1982.25,-4.75
15.7,1982.51,-4.57,1982.08,-4.85
16.1,1982.11,-4.85,1981.92,-4.84
16.3,1981.91,-4.84,1981.75,-4.56
16.5,1981.71,-4.49,1981.58,-4.67
16.7,1981.54,-4.74,1981.42,-4.97
16.9,1981.37,-5.05,1981.25,-5.07
17.1,1981.21,-5.08,1981.08,-4.86
17.3,1981.04,-4.78,1980.92,-4.41
17.5,1980.87,-4.28,1980.75,-4.17
17.7,1980.71,-4.13,1980.58,-4.33
18.1,1980.37,-4.67,1980.42,-4.6
18.3,1980.21,-4.83,1980.25,-4.79
18.5,1980.04,-4.65,1980.08,-4.7
18.9,1979.71,-4.03,1979.92,-4.42
19.1,1979.54,-4.49,1979.75,-4.11
19.3,1979.37,-4.67,1979.58,-4.37
19.5,1979.21,-4.83,1979.42,-4.63
19.7,1979.04,-4.33,1979.25,-4.79
19.9,1978.87,-4.23,1979.08,-4.45
20.1,1978.71,-4.13,1978.92,-4.25
20.3,1978.54,-4.26,1978.75,-4.15
20.5,1978.37,-4.58,1978.58,-4.23
20.7,1978.21,-4.8,1978.42,-4.5
20.9,1978.04,-4.59,1978.25,-4.74
21.1,1977.87,-4.21,1978.08,-4.65
21.3,1977.71,-4.18,1977.92,-4.31
21.5,1977.57,-4.41,1977.75,-4.18
21.7,1977.42,-4.72,1977.58,-4.38
21.9,1977.28,-5.03,1977.42,-4.73
22.1,1977.14,-4.94,1977.25,-5.01
22.3,1976.99,-4.8,1977.08,-4.89
22.5,1976.85,-4.37,1976.92,-4.57
22.7,1976.71,-4.29,1976.75,-4.32
22.9,1976.54,-4.63,1976.58,-4.54
23.1,1976.37,-4.93,1976.42,-4.85
23.3,1976.21,-4.9,1976.25,-4.91
23.5,1976.04,-4.54,1976.08,-4.63
23.7,1975.87,-4.44,1975.92,-4.47
23.9,1975.71,-4.32,1975.75,-4.35
24.1,1975.57,-4.37,1975.58,-4.37
24.3,1975.42,-4.52,1975.42,-4.54
24.5,1975.28,-4.92,1975.25,-4.96
24.7,1975.14,-5.1,1975.08,-4.95
24.9,1974.99,-4.68,1974.92,-4.62
25.1,1974.85,-4.56,1974.75,-4.4
25.3,1974.71,-4.33,1974.58,-4.47
25.5,1974.54,-4.51,1974.42,-4.91
25.7,1974.37,-5.04,1974.25,-4.95
25.9,1974.21,-4.92,1974.08,-4.78
26.1,1974.04,-4.73,1973.92,-4.51
26.3,1973.87,-4.44,1973.75,-4.31
26.5,1973.71,-4.27,1973.58,-4.42
26.7,1973.54,-4.47,1973.42,-4.8
26.9,1973.37,-4.91,1973.25,-4.97
27.1,1973.21,-4.98,1973.08,-4.73
27.3,1973.04,-4.65,1972.92,-4.44
27.5,1972.87,-4.37,1972.75,-4.3
27.7,1972.71,-4.27,1972.58,-4.46
27.9,1972.51,-4.57,1972.42,-4.7
28.1,1972.31,-4.86,1972.25,-4.92
28.3,1972.11,-5.06,1972.08,-5
28.5,1971.91,-4.6,1971.92,-4.62
28.7,1971.71,-4.3,1971.75,-4.36
29.7,1970.99,-4.5,1971.58,-4.34
29.9,1970.85,-4.36,1971.42,-4.38
30.1,1970.71,-4.31,1971.25,-4.43
30.3,1970.54,-4.7,1971.08,-4.47
30.5,1970.37,-4.73,1970.92,-4.43
30.7,1970.21,-4.92,1970.75,-4.32
30.9,1970.04,-4.56,1970.58,-4.6
31.1,1969.87,-4.54,1970.42,-4.72
31.3,1969.71,-4.33,1970.25,-4.87
31.5,1969.54,-4.42,1970.08,-4.65
31.7,1969.37,-4.81,1969.92,-4.54
31.9,1969.21,-5.06,1969.75,-4.38
32.1,1969.04,-4.82,1969.58,-4.4
32.3,1968.87,-4.57,1969.42,-4.71
32.5,1968.71,-4.05,1969.25,-5
32.7,1968.57,-4.36,1969.08,-4.88
32.9,1968.42,-4.61,1968.92,-4.63
33.1,1968.28,-4.75,1968.75,-4.18
33.3,1968.14,-4.46,1968.58,-4.32
33.5,1967.99,-4.37,1968.42,-4.62
33.7,1967.85,-4.33,1968.25,-4.69
33.9,1967.71,-4.16,1968.08,-4.43
34.1,1967.54,-4.85,1967.92,-4.35
34.3,1967.37,-5,1967.75,-4.21
34.7,1967.04,-4.92,1967.58,-4.68
34.9,1966.87,-4.42,1967.42,-4.96
35.1,1966.71,-4.07,1967.25,-4.97
35.3,1966.54,-4.5,1967.08,-4.93
35.5,1966.37,-4.8,1966.92,-4.55
35.7,1966.21,-4.83,1966.75,-4.16
35.9,1966.04,-4.71,1966.58,-4.39
36.1,1965.87,-4.39,1966.42,-4.72
36.3,1965.71,-4.23,1966.25,-4.82
36.5,1965.57,-4.28,1966.08,-4.74
36.7,1965.42,-4.65,1965.92,-4.47
36.9,1965.28,-4.91,1965.75,-4.27
37.1,1965.14,-5.07,1965.58,-4.28
37.3,1964.99,-4.92,1965.42,-4.66
37.5,1964.85,-4.62,1965.25,-4.94
37.7,1964.71,-4.01,1965.08,-5.02
37.9,1964.54,-4.68,1964.92,-4.76
38.1,1964.37,-4.7,1964.75,-4.19
38.3,1964.21,-4.92,1964.58,-4.51
38.5,1964.04,-4.85,1964.42,-4.7
38.7,1963.87,-4.55,1964.25,-4.86
38.9,1963.71,-4.36,1964.08,-4.86
39.1,1963.54,-4.39,1963.92,-4.63
39.3,1963.37,-4.69,1963.75,-4.41
39.5,1963.21,-5.08,1963.58,-4.38
39.7,1963.04,-5.13,1963.42,-4.61
39.9,1962.87,-4.77,1963.25,-4.98
40.1,1962.71,-4.29,1963.08,-5.12
40.5,1962.49,-4.73,1962.92,-4.86
40.7,1962.37,-5.03,1962.75,-4.41
40.9,1962.26,-4.95,1962.58,-4.54
41.1,1962.15,-4.96,1962.42,-4.92
41.3,1962.04,-4.82,1962.25,-4.95
41.5,1961.93,-4.56,1962.08,-4.87
41.7,1961.82,-4.21,1961.92,-4.52
41.9,1961.71,-4.1,1961.75,-4.14
42.1,1961.57,-4.26,1961.58,-4.24
42.3,1961.42,-4.66,1961.42,-4.66
42.5,1961.28,-4.71,1961.25,-4.75
42.7,1961.14,-4.91,1961.08,-4.73
42.9,1960.99,-4.42,1960.92,-4.29
43.1,1960.85,-4.17,1960.75,-4.15
43.3,1960.71,-4.13,1960.58,-4.2
43.5,1960.51,-4.24,1960.42,-4.36
43.7,1960.31,-4.49,1960.25,-4.56
43.9,1960.11,-4.73,1960.08,-4.73
44.1,1959.91,-4.71,1959.92,-4.71
44.3,1959.71,-4.36,1959.75,-4.43
44.5,1959.57,-4.45,1959.58,-4.44
44.7,1959.42,-4.48,1959.42,-4.48
44.9,1959.28,-4.53,1959.25,-4.59
45.1,1959.14,-4.8,1959.08,-4.77
45.3,1958.99,-4.72,1958.92,-4.7
45.5,1958.85,-4.67,1958.75,-4.31
45.7,1958.71,-4.16,1958.58,-4.44
45.9,1958.57,-4.48,1958.42,-4.82
46.1,1958.42,-4.81,1958.25,-5.09
46.3,1958.28,-5.07,1958.08,-4.97
46.5,1958.14,-5.14,1957.92,-4.5
46.7,1957.99,-4.69,1957.75,-4.21
46.9,1957.85,-4.33,1957.58,-4.5
47.1,1957.71,-4.15,1957.42,-4.85
47.3,1957.54,-4.62,1957.25,-4.99
47.5,1957.37,-4.93,1957.08,-4.62
47.7,1957.21,-5,1956.92,-4.51
47.9,1957.04,-4.5,1956.75,-4.4
48.1,1956.87,-4.51,1956.58,-4.62
48.3,1956.71,-4.37,1956.42,-4.87
48.5,1956.51,-4.78,1956.25,-4.91
