d18O (permil),year (AD),depth (cm),core (),d18O (permil)
-1.156,1990,0,PL07-71 BC,-0.91
NA,1989,0.1,PL07-71 BC,-0.937
NA,1988,0.2,PL07-71 BC,-0.872
-1.767,1987,0.3,PL07-71 BC,NA
-0.889,1985,0.4,PL07-71 BC,-0.606
NA,1984,0.5,PL07-71 BC,-0.693
-1.345,1983,0.6,PL07-71 BC,-0.828
-1.402,1982.25,0.7,PL07-71 BC,-0.614
-1.413,1981.5,0.8,PL07-71 BC,-1.205
-1.37,1981,0.9,PL07-71 BC,-1.167
-1.459,1980.3,1,PL07-71 BC,-1.233
-1.758,1979.25,1.1,PL07-71 BC,-0.795
-1.582,1978.38,1.2,PL07-71 BC,-1.101
-1.032,1977.5,1.3,PL07-71 BC,-1.197
-1.555,1977,1.4,PL07-71 BC,-1.399
-1.425,1975.75,1.5,PL07-71 BC,-1.129
-1.464,1974.88,1.6,PL07-71 BC,-1.1
-1.214,1974.25,1.7,PL07-71 BC,-0.789
-1.478,1973.5,1.8,PL07-71 BC,-1.13
-1.539,1972.8,1.9,PL07-71 BC,-1.17
-1.141,1971.7,2,PL07-71 BC,-1.061
-1.046,1971,2.1,PL07-71 BC,-1
-1.793,1970,2.2,PL07-71 BC,-1.255
-1.225,1969.2,2.3,PL07-71 BC,-0.952
-1.334,1967.88,2.4,PL07-71 BC,-1.189
-1.2,1967.15,2.5,PL07-71 BC,-1.115
-1.532,1966.07,2.6,PL07-71 BC,-1.209
-1.313,1965.13,2.7,PL07-71 BC,-1.2
-1.322,1963.2,2.8,PL07-71 BC,-1.028
-1.399,1962.2,2.9,PL07-71 BC,-1.36
-1.573,1961.8,3,PL07-71 BC,-1.065
-1.327,1961.4,3.1,PL07-71 BC,-0.71
-1.427,1960.67,3.2,PL07-71 BC,-0.936
-1.267,1960.2,3.3,PL07-71 BC,-1.09
-1.523,1959.2,3.4,PL07-71 BC,-1.067
-1.593,1958.2,3.5,PL07-71 BC,-1.219
-1.253,1957.1,3.6,PL07-71 BC,-0.683
-1.831,1955.8,3.7,PL07-71 BC,-0.968
-1.281,1954.87,3.8,PL07-71 BC,-0.71
-1.602,1953,3.9,PL07-71 BC,-1.092
-1.635,1952,4,PL07-71 BC,-0.96
-1.767,1951.1,4.1,PL07-71 BC,-1.135
-1.656,1949.3,4.2,PL07-71 BC,-0.891
-1.835,1948.2,4.3,PL07-71 BC,-1.071
-1.411,1947.05,4.4,PL07-71 BC,-1.049
-1.48,1946.58,4.5,PL07-71 BC,-1.01
-1.638,1946.11,4.6,PL07-71 BC,-1.007
-1.626,1945.63,4.7,PL07-71 BC,-0.975
-1.603,1945.16,4.8,PL07-71 BC,-0.85
-1.826,1944.68,4.9,PL07-71 BC,-0.794
-1.945,1944.21,5,PL07-71 BC,-0.697
-1.452,1943.74,5.1,PL07-71 BC,-0.886
-1.732,1943.26,5.2,PL07-71 BC,-0.865
-1.686,1942.79,5.3,PL07-71 BC,-0.651
-1.366,1942.32,5.4,PL07-71 BC,-1.042
NA,1941.84,5.5,PL07-71 BC,-0.968
-1.53,1941.37,5.6,PL07-71 BC,-0.811
-1.711,1940.89,5.7,PL07-71 BC,-1.137
-1.643,1940.42,5.8,PL07-71 BC,-0.553
-1.492,1939.95,5.9,PL07-71 BC,-0.566
-1.442,1939.47,6,PL07-71 BC,-0.86
-1.847,1939,6.1,PL07-71 BC,-0.877
-1.757,1938.11,6.2,PL07-71 BC,-0.946
-1.781,1937.21,6.3,PL07-71 BC,-1.116
-1.606,1936.32,6.4,PL07-71 BC,-1.124
-1.449,1935.42,6.5,PL07-71 BC,-1.028
-1.26,1934.53,6.6,PL07-71 BC,-0.938
NA,1933.63,6.7,PL07-71 BC,-1.31
-1.745,1932.74,6.8,PL07-71 BC,-1.007
-1.379,1931.84,6.9,PL07-71 BC,-1.363
-1.448,1930.95,7,PL07-71 BC,-0.979
NA,1930.05,7.1,PL07-71 BC,-1.037
-1.268,1929.16,7.2,PL07-71 BC,-1.043
-1.84,1928.26,7.3,PL07-71 BC,-1.16
-1.378,1927.37,7.4,PL07-71 BC,-0.788
-1.471,1926.47,7.5,PL07-71 BC,-1.223
-1.44,1925.58,7.6,PL07-71 BC,-1.22
-1.75,1924.68,7.7,PL07-71 BC,-0.977
-1.513,1923.79,7.8,PL07-71 BC,-1.193
-1.703,1922.89,7.9,PL07-71 BC,-1.12
-1.539,1922,8,PL07-71 BC,-1.017
-1.759,1920.6,8.1,PL07-71 BC,-0.515
-1.496,1919.2,8.2,PL07-71 BC,-0.92
-1.382,1917.8,8.3,PL07-71 BC,-1.157
-1.374,1916.4,8.4,PL07-71 BC,-1.193
-1.455,1915,8.5,PL07-71 BC,-1.127
-1.688,1914.67,8.6,PL07-71 BC,-1.233
-1.502,1914.33,8.7,PL07-71 BC,-0.955
-1.62,1914,8.8,PL07-71 BC,-1.178
-1.309,1913.67,8.9,PL07-71 BC,-1.141
-1.563,1913.33,9,PL07-71 BC,-1.322
-1.355,1913,9.1,PL07-71 BC,-1.116
-1.595,1911.67,9.2,PL07-71 BC,-1.218
-1.745,1910.33,9.3,PL07-71 BC,-1.181
-1.883,1909,9.4,PL07-71 BC,-1.304
-1.243,1908.5,9.5,PL07-71 BC,-1.066
-1.754,1908,9.6,PL07-71 BC,-1.079
-1.54,1907,9.7,PL07-71 BC,-1.102
-1.333,1906.5,9.8,PL07-71 BC,-1.134
-1.804,1906,9.9,PL07-71 BC,-1.207
-1.569,1905.6,10,PL07-71 BC,-1.189
-1.406,1905.2,10.1,PL07-71 BC,-1.222
-1.941,1904.8,10.2,PL07-71 BC,-0.875
-1.571,1904.4,10.3,PL07-71 BC,-0.977
-1.492,1904,10.4,PL07-71 BC,-1.171
-1.517,1903.4,10.5,PL07-71 BC,-1.169
-1.756,1902.8,10.6,PL07-71 BC,-1.163
-1.779,1902.2,10.7,PL07-71 BC,-1.209
-1.89,1901.6,10.8,PL07-71 BC,-1.192
-1.44,1901,10.9,PL07-71 BC,-1.172
