d18O (permil),year (AD),depth (cm),d18O (permil)
-33.99,1970,NA,-30.71
-32,1969,NA,-31.89
-35.83,1968,NA,-28.53
-33.99,1967,NA,-28.53
-34.1,1966,NA,-30.92
-33.07,1965,NA,-30.22
-34.68,1964,NA,-29.42
-33.39,1963,NA,-29.42
-36.15,1962,NA,-30.89
-34.86,1961,NA,-28.08
-35.19,1960,NA,-31.14
-36.16,1959,NA,-28.19
-35.96,1958,NA,-29.71
-37.51,1957,NA,-31.02
-36.34,1956,NA,-31.04
-38.67,1955,NA,-31.7
-36.68,1954,NA,-30.48
-31.82,1953,NA,-30.78
-33.27,1952,NA,-27.03
-35.61,1951,NA,-31.61
-39.44,1950,NA,-26.91
-38.15,1949,NA,-32.41
-35.76,1948,NA,-31.91
-33.04,1947,NA,-31.72
-33.87,1946,NA,-29.19
-35.35,1945,NA,-28.42
-35.71,1944,NA,-32.67
-35.99,1943,NA,-32.76
-34.95,1942,NA,-31.02
-36.5,1941,NA,-30.76
-32.73,1940,NA,-29.64
-35.26,1939,NA,-27.73
-34.25,1938,NA,-30.94
-34.6,1937,NA,-31.21
-34.43,1936,NA,-29.83
-37.54,1935,NA,-29.1
-33.41,1934,NA,-29.07
-33.65,1933,NA,-28.76
-34.47,1932,NA,-27.91
-34.45,1931,NA,-26.64
-36.36,1930,NA,-27.05
-36.03,1929,NA,-30.09
-37.77,1928,NA,-27.32
-36.48,1927,NA,-30.51
-35.03,1926,NA,-30.61
-38.12,1925,NA,-30.26
-36.72,1924,NA,-33.23
-33.53,1923,NA,-31.88
-37.48,1922,NA,-31.41
-35.22,1921,NA,-32.13
-38.32,1920,NA,-29.96
-35.91,1919,NA,-28.4
-38.17,1918,NA,-31.59
-33.02,1917,NA,-31.26
-34.78,1916,NA,-25.79
-37.3,1915,NA,-29.99
-38.73,1914,NA,-31.36
-35.26,1913,NA,-33.16
-36.82,1912,NA,-28.52
-35.56,1911,NA,-31.76
-36.62,1910,NA,-31.22
-33.78,1909,NA,-29.19
-34.94,1908,NA,-26.94
-37.96,1907,NA,-30.81
-38.58,1906,NA,-29.39
-35.54,1905,NA,-29.65
-33.8,1904,NA,-30.1
-36.06,1903,NA,-30.28
-32.2,1902,NA,-27.38
-31.99,1901,NA,-30.99
-36.97,1900,NA,-31.49
-36.61,1899,NA,-31.17
-36.78,1898,NA,-28.03
-34.28,1897,NA,-29.22
-34.87,1896,NA,-30.76
-33.45,1895,NA,-30.72
-34.9,1894,NA,-28.44
-34.91,1893,NA,-30.38
-36.4,1892,NA,-31.26
-36.12,1891,NA,-30.06
-37.52,1890,NA,-30.85
-35.9,1889,NA,-29.06
-33.9,1888,NA,-29.67
-37.04,1887,NA,-31.15
-38.31,1886,NA,-30.24
-36.81,1885,NA,-29.78
-35.51,1884,NA,-30.11
-39.26,1883,NA,-30.88
-36.29,1882,NA,-32.28
-34.17,1881,NA,-31.12
-33.99,1880,NA,-29.78
-32.81,1879,NA,-30.19
-35.72,1878,NA,-31.46
-35.82,1877,NA,-26.85
-34.86,1876,NA,-28.15
-36.35,1875,NA,-31.39
-37.99,1874,NA,-32.35
-33.77,1873,NA,-30.39
-32.66,1872,NA,-29.23
-34.76,1871,NA,-28.13
-36.99,1870,NA,-28.77
-37.3,1869,NA,-29.83
-36.2,1868,NA,-32.28
-36.27,1867,NA,-31.85
-38.98,1866,NA,-33.54
-34.04,1865,NA,-32.03
-41.73,1864,NA,-31.13
-38.29,1863,NA,-26.23
-35.35,1862,NA,-32.01
-35.93,1861,NA,-30.02
-38.22,1860,NA,-30.61
-36.57,1859,NA,-30.54
-34.74,1858,NA,-32.54
-33.69,1857,NA,-28.15
-33.97,1856,NA,-31.32
-36.15,1855,NA,-31.61
-33.76,1854,NA,-29.87
-33.09,1853,NA,-29.09
-32.13,1852,NA,-29.71
-33.58,1851,NA,-30.89
-36.57,1850,NA,-29.85
-35.48,1849,NA,-31.27
-36.72,1848,NA,-30.95
-34.26,1847,NA,-29.26
-36.48,1846,NA,-31.45
-37.7,1845,NA,-28.79
-36.82,1844,NA,-30.35
-34.86,1843,NA,-29.38
-36.98,1842,NA,-29.41
-32.42,1841,NA,-27.44
-36.22,1840,NA,-30.85
-35.65,1839,NA,-29.96
-33.33,1838,NA,-28.93
-37.43,1837,NA,-28.93
-36.31,1836,NA,-32.41
-38.55,1835,NA,-32.17
-38.39,1834,NA,-28.57
-34.83,1833,NA,-27.3
-36.08,1832,NA,-30.15
-33.66,1831,NA,-30.21
-32.24,1830,NA,-30.52
-35.43,1829,NA,-29.66
-33.07,1828,NA,-29.4
-33.91,1827,NA,-30.02
-36.34,1826,NA,-31.08
-37.81,1825,NA,-27.28
-35.01,1824,NA,-31.82
-31.32,1823,NA,-30.49
-37.37,1822,NA,-27.99
-35.99,1821,NA,-31.17
-34.18,1820,NA,-28.1
-34.8,1819,NA,-29.69
-35.42,1818,NA,-32.12
-40,1817,NA,-31.51
-34.91,1816,NA,-29.62
-35.12,1815,NA,-28.73
-38.33,1814,NA,-30.7
-37.92,1813,NA,-28.35
-37.28,1812,NA,-30.27
-36.59,1811,NA,-31.29
-38.16,1810,NA,-28.46
-35.2,1809,NA,-32.18
-34.63,1808,NA,-30.43
-35.14,1807,NA,-30.6
-34.3,1806,NA,-28.36
-36.2,1805,NA,-27.62
-34.22,1804,NA,-31.17
-39.17,1803,NA,-31.92
-36.36,1802,NA,-33.82
-36.4,1801,NA,-26.6
-32.77,1800,NA,-30.53
-35.66,1799,NA,-30.85
-35.84,1798,NA,-32.51
-34.31,1797,NA,-26.97
-44.24,1796,NA,-30.29
-35.21,1795,NA,-30.73
-36.57,1794,NA,-29.33
-36.02,1793,NA,-32.6
-34.6,1792,NA,-29.43
-37.14,1791,NA,-28.47
-38.86,1790,NA,-31.65
-35.12,1789,NA,-29.37
-33.96,1788,NA,-31.31
-33.86,1787,NA,-30.57
-31.57,1786,NA,-29.57
-33.59,1785,NA,-30.28
-33.81,1784,NA,-29.88
-37.96,1783,NA,-27.92
-33.74,1782,NA,-29.56
-35.29,1781,NA,-30.23
-33.78,1780,NA,-32.34
-37.4,1779,NA,-32.27
-35.17,1778,NA,-31.95
