d18O (permil),year (AD),depth (cm)
-7.87,1329,1129
-7.82,1269,1069
-8.96,1210,1010
-9.55,1151,951
-7.65,1092,892
-7.97,1034,834
-8.66,975,775
-10.75,909,709
-10.97,850,650
-8.32,733,533
-9.12,674,474
-9.28,615,415
-9.1,557,357
-7.23,498,298
-8.5,439,239
-8.27,380,180
-10.54,322,122
-9.44,263,63
-9.65,183,-17
-7.54,129,-71
-7.88,21,-179
-7.83,-88,-288
-9.21,-196,-396
-8.8,-304,-504
-9.16,-412,-612
-10.44,-520,-720
-9.52,-628,-828
-9.79,-736,-936
-9.95,-844,-1044
