d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1]
-3.937,1940.37,-4.186,1929.92
-4.141,1940.5,-3.923,1930.04
-4.247,1940.63,-3.725,1930.17
-4.283,1940.75,-4.126,1930.25
-4.309,1940.88,-4.276,1930.33
-4.116,1941.01,-4.149,1930.42
-4.052,1941.13,-4.05,1930.5
-4.476,1941.5,-4.146,1930.59
-4.067,1941.62,-4.379,1930.67
-4.244,1941.88,-4.067,1931.09
-3.656,1942.13,-4.024,1931.13
-4.509,1942.25,-3.962,1931.17
-4.08,1942.37,-4.015,1931.28
-4.361,1942.62,-4.083,1931.38
-3.916,1943.09,-4.499,1931.5
-4.427,1943.25,-4.33,1931.61
-4.034,1943.58,-4.542,1931.72
-4.658,1943.75,-4.177,1932.17
-4.393,1943.87,-4.371,1932.33
-3.924,1944,-4.358,1932.5
-3.802,1944.13,-999,1932.67
-3.744,1944.25,-4.17,1932.84
-4.542,1944.37,-4.007,1933.01
-4.538,1944.5,-3.874,1933.17
-4.457,1944.63,-4.036,1933.42
-3.896,1944.75,-3.955,1933.54
-3.866,1944.92,-4.211,1933.67
-4.314,1945.25,-4.118,1933.92
-3.838,1945.42,-4.202,1934.17
-3.97,1945.59,-4.07,1934.39
-3.995,1946.04,-3.814,1934.72
-4.211,1946.23,-4.04,1934.94
-4.271,1946.43,-4.002,1935.06
-3.784,1946.63,-3.777,1935.17
-4.128,1946.75,-4.019,1935.37
-3.948,1946.88,-3.742,1935.47
-4.283,1947.13,-3.7,1935.57
-4.281,1947.25,-3.674,1935.67
-4.024,1947.5,-3.953,1935.77
-4.033,1947.62,-3.997,1935.87
-3.892,1947.75,-3.996,1935.97
-3.849,1947.86,-3.875,1936.07
-4.016,1947.97,-3.774,1936.17
-4.168,1948.19,-3.935,1936.3
-4.074,1948.42,-3.839,1936.44
-3.656,1948.53,-3.815,1936.59
-4.013,1948.64,-4.065,1936.73
-3.694,1948.86,-4.31,1936.88
-3.86,1948.97,-4.28,1937.02
-3.681,1949.09,-4.112,1937.17
-4.152,1949.19,-4.375,1937.5
-3.911,1949.3,-4.057,1937.67
-3.618,1949.42,-3.804,1937.84
-3.805,1949.53,-4.165,1938
-4.055,1949.75,-3.996,1938.17
-4.079,1949.88,-3.962,1938.3
-3.683,1950.01,-3.954,1938.43
-3.912,1950.13,-3.91,1938.5
-4.341,1950.25,-4.243,1938.56
-3.953,1950.37,-4.083,1938.63
-3.594,1950.5,-4.192,1938.7
-3.709,1950.62,-4.01,1938.77
