Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1949.3332,-3.78,9.358
1949.1665,-3.7333,9.3336
1948.9998,-3.6866,9.3093
1948.8332,-3.6401,9.2851
1948.6665,-3.7099,9.371
1948.4998,-3.5605,9.4009
1948.3332,-4.05,9.322
1948.1665,-4.0099,9.3629
1947.9998,-3.95,9.298
1947.8332,-3.9403,9.3069
1947.6665,-4.7295,9.2119
1947.4998,-4.4996,9.234
1947.3332,-4.3699,9.302
1947.1665,-4.2499,9.272
1946.9998,-4.11,9.297
1946.8332,-4.0601,9.321
1946.6665,-4.1401,9.293
1946.4998,-4.1867,9.2636
1946.3332,-4.2,9.233
1946.1665,-4.1867,9.283
1945.9998,-4.1065,9.3284
1945.8332,-3.96,9.369
1945.6665,-3.9867,9.4494
1945.4998,-4.1202,9.3258
1945.3332,-4.6199,9.1371
1945.1665,-4.5133,9.1842
1944.9999,-4.3664,9.2145
1944.8332,-4.18,9.225
1944.6665,-4.2267,9.243
1944.4999,-4.2734,9.261
1944.3332,-4.3198,9.279
1944.1665,-4.1299,9.292
1943.9999,-4.0098,9.3431
1943.8332,-3.7701,9.451
1943.6665,-3.8501,9.4517
1943.4999,-3.9367,9.4356
1943.3332,-4.0297,9.403
1943.1665,-3.6602,9.4379
1942.9999,-3.91,9.353
1942.8332,-3.9005,9.3496
1942.6665,-4.447,9.087
1942.4999,-4.5167,9.1303
1942.3332,-4.5697,9.142
1942.1665,-4.2164,9.18
1941.9999,-3.9532,9.2574
1941.8332,-3.7801,9.3739
1941.6665,-3.88,9.2981
1941.4999,-3.8402,9.375
1941.3332,-4.1299,9.3468
1941.1665,-3.96,9.1092
1940.9999,-3.97,9.309
1940.8332,-3.9301,9.3369
1940.6665,-4.117,9.2354
1940.4999,-4.31,9.1972
1940.3332,-4.4299,9.166
1940.1665,-4.3366,9.2147
1939.9999,-4.27,9.2163
1939.8332,-4.23,9.171
1939.6665,-4.24,9.1531
1939.4999,-4.2502,9.2259
1939.3332,-4.4999,9.128
1939.1665,-4.3732,9.1393
1938.9999,-4.2466,9.1507
1938.8332,-4.1202,9.162
1938.6665,-4.2766,9.171
1938.4999,-4.1566,9.2277
1938.3332,-4.12,9.241
1938.1665,-4.06,9.261
1937.9999,-3.9966,9.2763
1937.8332,-3.93,9.287
1937.6665,-3.9167,9.297
