dD (permil),year (AD)
-145.751666666667,1677
-148.36,1676
-145.3425,1675
-140.72,1674
-156.365,1673
-150.798333333333,1672
-132.5125,1671
-135.025,1670
-151.983333333333,1669
-154.63,1668
-143.425,1667
-147.8375,1666
-148.855,1665
-154.375,1664
-146.5975,1663
-144.4525,1662
-148.14,1661
-148.1025,1660
-146.2275,1659
-154.4625,1658
-140.3,1657
-156.0725,1656
-151.99,1655
-158.4125,1654
-165.27,1653
-150.721666666667,1652
-136.965,1651
-175.8925,1650
-155.3675,1649
-151.0625,1648
-146.153333333333,1647
-140.685,1646
-160.935,1645
-147.835,1644
-160.105,1643
-167.57,1642
-151.32,1641
-168.145,1640
-146.565,1639
-153.125,1638
-151.625,1637
-140.32,1636
-158.33666666666701,1635
-144.355,1634
-163.12,1633
-142.125,1632
-139.7,1631
-140.025,1630
-132.985,1629
-157.085,1628
-153.073333333333,1627
-156.965,1626
-152.54,1625
-154.39,1624
-142.05,1623
-146.7,1622
-123.435,1621
-147.64,1620
-151.41,1619
-144.16,1618
-140.386666666667,1617
-138.21,1616
-158.265,1615
-142.59,1614
-157.355,1613
-141.92,1612
-151.445,1611
-151.945,1610
-155.745,1609
-155.375,1608
-145.315,1607
-161.265,1606
-147.635,1605
-149.845,1604
-140.155,1603
-152.855,1602
-138.895,1601
-140.98,1600
-141.09,1599
-138.3375,1598
-148.48,1597
-152.5,1596
-152.1,1595
-138.8375,1594
-133.355,1593
-124.91,1592
-143.225,1591
-156.8875,1590
-160.91,1589
-147.505,1588
-147.32,1587
-159.71,1586
-170.075,1585
-156.495,1584
-144.925,1583
-162.905,1582
-174.69,1581
-148.955,1580
-156.35,1579
-170.19,1578
-164.83,1577
-144.84,1576
-155.27,1575
-150.42,1574
-136.315,1573
-137.61,1572
-155.04,1571
-143.855,1570
-162.18,1569
-156.05,1568
-145.39,1567
-131.32,1566
-137.34,1565
-139.05,1564
-152.735,1563
-140.645,1562
-148.94,1561
-157.995,1560
-167.85,1559
-173.005,1558
-156.51,1557
-156.35,1556
-147.605,1555
-146.12,1554
-168.335,1553
-174.905,1552
-158.75,1551
-147.58,1550
-144.065,1549
-148.575,1548
-153.43,1547
-154.085,1546
-148.3,1545
-165.815,1544
-154.31,1543
-150.225,1542
-159.76,1541
-153.765,1540
-155.095,1539
-147.14,1538
-148.135,1537
-153.99,1536
-140.69,1535
-153.135,1534
-140.46,1533
-145.175,1532
-159.22,1531
-158.25,1530
-156.17,1529
-164.02,1528
-157.38,1527
-154.335,1526
-150.92,1525
-142.915,1524
-153.37,1523
-144.69,1522
-147.585,1521
-152.37,1520
-155.085,1519
-163.1,1518
-178.15,1517
-149.55,1516
-142.99,1515
-152.56,1514
-155.03,1513
-158.1,1512
-163.535,1511
-144.75,1510
-147.97,1509
-149.175,1508
-137.29,1507
-147.76,1506
-160.49,1505
-147.25,1504
-142.515,1503
-139.35,1502
-160.465,1501
-164.96,1500
-162.48,1499
